Region;Province;Municipality_City;Mun_Code;Housing_Units
Region III (Central Luzon);Aurora;San Luis;PH037708000;6027
Region IV-A (CALABARZON);Batangas;Agoncillo;PH041001000;7806
Region IV-A (CALABARZON);Batangas;Alitagtag;PH041002000;5089
Region IV-A (CALABARZON);Batangas;Balayan;PH041003000;20414
Region IV-A (CALABARZON);Batangas;Balete;PH041004000;4580
Region IV-A (CALABARZON);Batangas;Batangas City (Capital);PH041005000;75485
Region IV-A (CALABARZON);Batangas;Bauan;PH041006000;20241
Region IV-A (CALABARZON);Batangas;Calaca;PH041007000;17707
Region IV-A (CALABARZON);Batangas;Calatagan;PH041008000;13337
Region IV-A (CALABARZON);Batangas;Cuenca;PH041009000;7160
Region IV-A (CALABARZON);Batangas;Ibaan;PH041010000;12005
Region IV-A (CALABARZON);Batangas;Laurel;PH041011000;8551
Region IV-A (CALABARZON);Batangas;Lemery;PH041012000;19635
Region IV-A (CALABARZON);Batangas;Lian;PH041013000;12507
Region IV-A (CALABARZON);Batangas;City of Lipa;PH041014000;72177
Region IV-A (CALABARZON);Batangas;Lobo;PH041015000;8945
Region IV-A (CALABARZON);Batangas;Mabini;PH041016000;9757
Region IV-A (CALABARZON);Batangas;Malvar;PH041017000;12833
Region IV-A (CALABARZON);Batangas;Mataasnakahoy;PH041018000;6415
Region IV-A (CALABARZON);Batangas;Nasugbu;PH041019000;30482
Region IV-A (CALABARZON);Batangas;Padre Garcia;PH041020000;10782
Region IV-A (CALABARZON);Batangas;Rosario;PH041021000;25971
Region IV-A (CALABARZON);Batangas;San Jose;PH041022000;17972
Region IV-A (CALABARZON);Batangas;San Juan;PH041023000;23713
Region IV-A (CALABARZON);Batangas;San Luis;PH041024000;7218
Region IV-A (CALABARZON);Batangas;San Nicolas;PH041025000;4473
Region IV-A (CALABARZON);Batangas;San Pascual;PH041026000;14589
Region IV-A (CALABARZON);Batangas;Santa Teresita;PH041027000;4218
Region IV-A (CALABARZON);Batangas;Santo Tomas;PH041028000;42118
Region IV-A (CALABARZON);Batangas;Taal;PH041029000;11900
Region IV-A (CALABARZON);Batangas;Talisay;PH041030000;9685
Region IV-A (CALABARZON);Batangas;City of Tanauan;PH041031000;37426
Region IV-A (CALABARZON);Batangas;Taysan;PH041032000;8479
Region IV-A (CALABARZON);Batangas;Tingloy;PH041033000;4054
Region IV-A (CALABARZON);Batangas;Tuy;PH041034000;10034
Region IV-A (CALABARZON);Cavite;Alfonso;PH042101000;11762
Region IV-A (CALABARZON);Cavite;Amadeo;PH042102000;8761
Region IV-A (CALABARZON);Cavite;City of Bacoor;PH042103000;144707
Region IV-A (CALABARZON);Cavite;Carmona;PH042104000;23448
Region IV-A (CALABARZON);Cavite;City of Cavite;PH042105000;23828
Region IV-A (CALABARZON);Cavite;City of DasmariÃƒÂ±as;PH042106000;145166
Region IV-A (CALABARZON);Cavite;General Emilio Aguinaldo;PH042107000;4365
Region IV-A (CALABARZON);Cavite;City of General Trias;PH042108000;76687
Region IV-A (CALABARZON);Cavite;City of Imus;PH042109000;95234
Region IV-A (CALABARZON);Cavite;Indang;PH042110000;14797
Region IV-A (CALABARZON);Cavite;Kawit;PH042111000;19510
Region IV-A (CALABARZON);Cavite;Magallanes;PH042112000;4766
Region IV-A (CALABARZON);Cavite;Maragondon;PH042113000;8201
Region IV-A (CALABARZON);Cavite;Mendez (Mendez-NuÃƒÂ±ez);PH042114000;7016
Region IV-A (CALABARZON);Cavite;Naic;PH042115000;25703
Region IV-A (CALABARZON);Cavite;Noveleta;PH042116000;11088
Region IV-A (CALABARZON);Cavite;Rosario;PH042117000;27856
Region IV-A (CALABARZON);Cavite;Silang;PH042118000;56961
Region IV-A (CALABARZON);Cavite;City of Tagaytay;PH042119000;15969
Region IV-A (CALABARZON);Cavite;Tanza;PH042120000;53692
Region IV-A (CALABARZON);Cavite;Ternate;PH042121000;5645
Region IV-A (CALABARZON);Cavite;City of Trece Martires (Capital);PH042122000;32795
Region IV-A (CALABARZON);Cavite;Gen. Mariano Alvarez;PH042123000;33914
Region IV-A (CALABARZON);Laguna;Alaminos;PH043401000;11025
Region IV-A (CALABARZON);Laguna;Bay;PH043402000;14987
Region IV-A (CALABARZON);Laguna;City of BiÃƒÂ±an;PH043403000;82168
Region IV-A (CALABARZON);Laguna;City of Cabuyao;PH043404000;78730
Region IV-A (CALABARZON);Laguna;City of Calamba;PH043405000;113431
Region IV-A (CALABARZON);Laguna;Calauan;PH043406000;17591
Region IV-A (CALABARZON);Laguna;Cavinti;PH043407000;5355
Region IV-A (CALABARZON);Laguna;Famy;PH043408000;3611
Region IV-A (CALABARZON);Laguna;Kalayaan;PH043409000;5109
Region IV-A (CALABARZON);Laguna;Liliw;PH043410000;8990
Region IV-A (CALABARZON);Laguna;Los BaÃƒÂ±os;PH043411000;27722
Region IV-A (CALABARZON);Laguna;Luisiana;PH043412000;4635
Region IV-A (CALABARZON);Laguna;Lumban;PH043413000;6933
Region IV-A (CALABARZON);Laguna;Mabitac;PH043414000;4490
Region IV-A (CALABARZON);Laguna;Magdalena;PH043415000;5754
Region IV-A (CALABARZON);Laguna;Majayjay;PH043416000;6464
Region IV-A (CALABARZON);Laguna;Nagcarlan;PH043417000;15212
Region IV-A (CALABARZON);Laguna;Paete;PH043418000;5425
Region IV-A (CALABARZON);Laguna;Pagsanjan;PH043419000;9581
Region IV-A (CALABARZON);Laguna;Pakil;PH043420000;4571
Region IV-A (CALABARZON);Laguna;Pangil;PH043421000;5393
Region IV-A (CALABARZON);Laguna;Pila;PH043422000;11326
Region IV-A (CALABARZON);Laguna;Rizal;PH043423000;4061
Region IV-A (CALABARZON);Laguna;City of San Pablo;PH043424000;60788
Region IV-A (CALABARZON);Laguna;City of San Pedro;PH043425000;71496
Region IV-A (CALABARZON);Laguna;Santa Cruz (Capital);PH043426000;27061
Region IV-A (CALABARZON);Laguna;Santa Maria;PH043427000;6983
Region IV-A (CALABARZON);Laguna;City of Santa Rosa;PH043428000;94323
Region IV-A (CALABARZON);Laguna;Siniloan;PH043429000;8315
Region IV-A (CALABARZON);Laguna;Victoria;PH043430000;10362
Region IV-A (CALABARZON);Quezon;Agdangan;PH045601000;3156
Region IV-A (CALABARZON);Quezon;Alabat;PH045602000;3539
Region IV-A (CALABARZON);Quezon;Atimonan;PH045603000;14422
Region IV-A (CALABARZON);Quezon;Buenavista;PH045605000;6754
Region IV-A (CALABARZON);Quezon;Burdeos;PH045606000;5634
Region IV-A (CALABARZON);Quezon;Calauag;PH045607000;16451
Region IV-A (CALABARZON);Quezon;Candelaria;PH045608000;26841
Region IV-A (CALABARZON);Quezon;Catanauan;PH045610000;15231
Region IV-A (CALABARZON);Quezon;Dolores;PH045615000;6463
Region IV-A (CALABARZON);Quezon;General Luna;PH045616000;5666
Region IV-A (CALABARZON);Quezon;General Nakar;PH045617000;6357
Region IV-A (CALABARZON);Quezon;Guinayangan;PH045618000;10189
Region IV-A (CALABARZON);Quezon;Gumaca;PH045619000;17334
Region IV-A (CALABARZON);Quezon;Infanta;PH045620000;16209
Region IV-A (CALABARZON);Quezon;Jomalig;PH045621000;1522
Region IV-A (CALABARZON);Quezon;Lopez;PH045622000;20674
Region IV-A (CALABARZON);Quezon;Lucban;PH045623000;11342
Region IV-A (CALABARZON);Quezon;City of Lucena (Capital);PH045624000;57743
Region IV-A (CALABARZON);Quezon;Macalelon;PH045625000;5921
Region IV-A (CALABARZON);Quezon;Mauban;PH045627000;14682
Region IV-A (CALABARZON);Quezon;Mulanay;PH045628000;11589
Region IV-A (CALABARZON);Quezon;Padre Burgos;PH045629000;5166
Region IV-A (CALABARZON);Quezon;Pagbilao;PH045630000;17130
Region IV-A (CALABARZON);Quezon;Panukulan;PH045631000;2890
Region IV-A (CALABARZON);Quezon;Patnanungan;PH045632000;3279
Region IV-A (CALABARZON);Quezon;Perez;PH045633000;2758
Region IV-A (CALABARZON);Quezon;Pitogo;PH045634000;5046
Region IV-A (CALABARZON);Quezon;Plaridel;PH045635000;2249
Region IV-A (CALABARZON);Quezon;Polillo;PH045636000;6915
Region IV-A (CALABARZON);Quezon;Quezon;PH045637000;3654
Region IV-A (CALABARZON);Quezon;Real;PH045638000;7955
Region IV-A (CALABARZON);Quezon;Sampaloc;PH045639000;2988
Region IV-A (CALABARZON);Quezon;San Andres;PH045640000;8643
Region IV-A (CALABARZON);Quezon;San Antonio;PH045641000;7290
Region IV-A (CALABARZON);Quezon;San Francisco (Aurora);PH045642000;13871
Region IV-A (CALABARZON);Quezon;San Narciso;PH045644000;10638
Region IV-A (CALABARZON);Quezon;Sariaya;PH045645000;34174
Region IV-A (CALABARZON);Quezon;Tagkawayan;PH045646000;11627
Region IV-A (CALABARZON);Quezon;City of Tayabas;PH045647000;23198
Region IV-A (CALABARZON);Quezon;Tiaong;PH045648000;22287
Region IV-A (CALABARZON);Quezon;Unisan;PH045649000;6172
Region IV-A (CALABARZON);Rizal;Angono;PH045801000;24914
Region IV-A (CALABARZON);Rizal;City of Antipolo (Capital);PH045802000;169078
Region IV-A (CALABARZON);Rizal;Baras;PH045803000;16186
Region IV-A (CALABARZON);Rizal;Binangonan;PH045804000;66734
Region IV-A (CALABARZON);Rizal;Cainta;PH045805000;69983
Region IV-A (CALABARZON);Rizal;Cardona;PH045806000;11089
Region IV-A (CALABARZON);Rizal;Jala-Jala;PH045807000;6836
Region IV-A (CALABARZON);Rizal;Rodriguez (Montalban);PH045808000;81333
Region IV-A (CALABARZON);Rizal;Morong;PH045809000;13057
Region IV-A (CALABARZON);Rizal;Pililla;PH045810000;13854
Region IV-A (CALABARZON);Rizal;San Mateo;PH045811000;55563
Region IV-A (CALABARZON);Rizal;Tanay;PH045812000;25463
Region IV-A (CALABARZON);Rizal;Taytay;PH045813000;72439
Region IV-A (CALABARZON);Rizal;Teresa;PH045814000;13411
Region V (Bicol Region);Albay;Bacacay;PH050501000;14348
Region V (Bicol Region);Albay;Camalig;PH050502000;14763
Region V (Bicol Region);Albay;Daraga (Locsin);PH050503000;27551
Region V (Bicol Region);Albay;Guinobatan;PH050504000;17882
Region V (Bicol Region);Albay;Jovellar;PH050505000;3811
Region V (Bicol Region);Albay;City of Legazpi (Capital);PH050506000;41437
Region V (Bicol Region);Albay;Libon;PH050507000;15461
Region V (Bicol Region);Albay;City of Ligao;PH050508000;22491
Region V (Bicol Region);Albay;Malilipot;PH050509000;8059
Region V (Bicol Region);Albay;Malinao;PH050510000;9748
Region V (Bicol Region);Albay;Manito;PH050511000;5056
Region V (Bicol Region);Albay;Oas;PH050512000;14036
Region V (Bicol Region);Albay;Pio Duran;PH050513000;9452
Region V (Bicol Region);Albay;Polangui;PH050514000;18188
Region V (Bicol Region);Albay;Rapu-Rapu;PH050515000;7395
Region V (Bicol Region);Albay;Santo Domingo (Libog);PH050516000;7415
Region V (Bicol Region);Albay;City of Tabaco;PH050517000;27533
Region V (Bicol Region);Albay;Tiwi;PH050518000;10975
Region V (Bicol Region);Camarines Norte;Basud;PH051601000;9078
Region V (Bicol Region);Camarines Norte;Capalonga;PH051602000;7091
Region V (Bicol Region);Camarines Norte;Daet (Capital);PH051603000;22803
Region V (Bicol Region);Camarines Norte;San Lorenzo Ruiz (Imelda);PH051604000;3154
Region V (Bicol Region);Camarines Norte;Jose Panganiban;PH051605000;13381
Region V (Bicol Region);Camarines Norte;Labo;PH051606000;22201
Region V (Bicol Region);Camarines Norte;Mercedes;PH051607000;10866
Region V (Bicol Region);Camarines Norte;Paracale;PH051608000;13096
Region V (Bicol Region);Camarines Norte;San Vicente;PH051609000;2394
Region V (Bicol Region);Camarines Norte;Santa Elena;PH051610000;9182
Region V (Bicol Region);Camarines Norte;Talisay;PH051611000;5801
Region V (Bicol Region);Camarines Norte;Vinzons;PH051612000;9632
Region V (Bicol Region);Camarines Sur;Baao;PH051701000;11390
Region V (Bicol Region);Camarines Sur;Balatan;PH051702000;5801
Region V (Bicol Region);Camarines Sur;Bato;PH051703000;9720
Region V (Bicol Region);Camarines Sur;Bombon;PH051704000;3441
Region V (Bicol Region);Camarines Sur;Buhi;PH051705000;16266
Region V (Bicol Region);Camarines Sur;Bula;PH051706000;13482
Region V (Bicol Region);Camarines Sur;Cabusao;PH051707000;3897
Region V (Bicol Region);Camarines Sur;Calabanga;PH051708000;17035
Region V (Bicol Region);Camarines Sur;Camaligan;PH051709000;4737
Region V (Bicol Region);Camarines Sur;Canaman;PH051710000;6968
Region V (Bicol Region);Camarines Sur;Caramoan;PH051711000;9878
Region V (Bicol Region);Camarines Sur;Del Gallego;PH051712000;5243
Region V (Bicol Region);Camarines Sur;Gainza;PH051713000;2206
Region V (Bicol Region);Camarines Sur;Garchitorena;PH051714000;5094
Region V (Bicol Region);Camarines Sur;Goa;PH051715000;12791
Region V (Bicol Region);Camarines Sur;City of Iriga;PH051716000;21717
Region V (Bicol Region);Camarines Sur;Lagonoy;PH051717000;11176
Region V (Bicol Region);Camarines Sur;Libmanan;PH051718000;23343
Region V (Bicol Region);Camarines Sur;Lupi;PH051719000;6996
Region V (Bicol Region);Camarines Sur;Magarao;PH051720000;5317
Region V (Bicol Region);Camarines Sur;Milaor;PH051721000;6154
Region V (Bicol Region);Camarines Sur;Minalabac;PH051722000;10263
Region V (Bicol Region);Camarines Sur;Nabua;PH051723000;16509
Region V (Bicol Region);Camarines Sur;City of Naga;PH051724000;41280
Region V (Bicol Region);Camarines Sur;Ocampo;PH051725000;9267
Region V (Bicol Region);Camarines Sur;Pamplona;PH051726000;7567
Region V (Bicol Region);Camarines Sur;Pasacao;PH051727000;9838
Region V (Bicol Region);Camarines Sur;Pili (Capital);PH051728000;18062
Region V (Bicol Region);Camarines Sur;Presentacion (Parubcan);PH051729000;4038
Region V (Bicol Region);Camarines Sur;Ragay;PH051730000;12453
Region V (Bicol Region);Camarines Sur;SagÃƒÂ±ay;PH051731000;6947
Region V (Bicol Region);Camarines Sur;San Fernando;PH051732000;7214
Region V (Bicol Region);Camarines Sur;San Jose;PH051733000;8597
Region V (Bicol Region);Camarines Sur;Sipocot;PH051734000;13472
Region V (Bicol Region);Camarines Sur;Siruma;PH051735000;3762
Region V (Bicol Region);Camarines Sur;Tigaon;PH051736000;11444
Region V (Bicol Region);Camarines Sur;Tinambac;PH051737000;13277
Region V (Bicol Region);Catanduanes;Bagamanoc;PH052001000;2408
Region V (Bicol Region);Catanduanes;Baras;PH052002000;2798
Region V (Bicol Region);Catanduanes;Bato;PH052003000;4517
Region V (Bicol Region);Catanduanes;Caramoran;PH052004000;5865
Region V (Bicol Region);Catanduanes;Gigmoto;PH052005000;1744
Region V (Bicol Region);Catanduanes;Pandan;PH052006000;4192
Region V (Bicol Region);Catanduanes;Panganiban (Payo);PH052007000;2007
Region V (Bicol Region);Catanduanes;San Andres (Calolbon);PH052008000;7646
Region V (Bicol Region);Catanduanes;San Miguel;PH052009000;3029
Region V (Bicol Region);Catanduanes;Viga;PH052010000;4318
Region V (Bicol Region);Catanduanes;Virac (Capital);PH052011000;14958
Region V (Bicol Region);Masbate;Aroroy;PH054101000;17039
Region V (Bicol Region);Masbate;Baleno;PH054102000;5341
Region V (Bicol Region);Masbate;Balud;PH054103000;7843
Region V (Bicol Region);Masbate;Batuan;PH054104000;3587
Region V (Bicol Region);Masbate;Cataingan;PH054105000;10764
Region V (Bicol Region);Masbate;Cawayan;PH054106000;15039
Region V (Bicol Region);Masbate;Claveria;PH054107000;9159
Region V (Bicol Region);Masbate;Dimasalang;PH054108000;5386
Region V (Bicol Region);Masbate;Esperanza;PH054109000;4062
Region V (Bicol Region);Masbate;Mandaon;PH054110000;8724
Region V (Bicol Region);Masbate;City of Masbate (Capital);PH054111000;19083
Region V (Bicol Region);Masbate;Milagros;PH054112000;11439
Region V (Bicol Region);Masbate;Mobo;PH054113000;7721
Region V (Bicol Region);Masbate;Monreal;PH054114000;5256
Region V (Bicol Region);Masbate;Palanas;PH054115000;5843
Region V (Bicol Region);Masbate;Pio V. Corpuz (Limbuhan);PH054116000;5269
Region V (Bicol Region);Masbate;Placer;PH054117000;11934
Region V (Bicol Region);Masbate;San Fernando;PH054118000;5397
Region V (Bicol Region);Masbate;San Jacinto;PH054119000;7060
Region V (Bicol Region);Masbate;San Pascual;PH054120000;9819
Region V (Bicol Region);Masbate;Uson;PH054121000;11534
Region V (Bicol Region);Sorsogon;Barcelona;PH056202000;4788
Region V (Bicol Region);Sorsogon;Bulan;PH056203000;20598
Region V (Bicol Region);Sorsogon;Bulusan;PH056204000;5285
Region V (Bicol Region);Sorsogon;Casiguran;PH056205000;7088
Region V (Bicol Region);Sorsogon;Castilla;PH056206000;12266
Region V (Bicol Region);Sorsogon;Donsol;PH056207000;10252
Region V (Bicol Region);Sorsogon;Gubat;PH056208000;13454
Region V (Bicol Region);Sorsogon;Irosin;PH056209000;11395
Region V (Bicol Region);Sorsogon;Juban;PH056210000;6636
Region V (Bicol Region);Sorsogon;Magallanes;PH056211000;7470
Region V (Bicol Region);Sorsogon;Matnog;PH056212000;8347
Region V (Bicol Region);Sorsogon;Pilar;PH056213000;14960
Region V (Bicol Region);Sorsogon;Prieto Diaz;PH056214000;4773
Region V (Bicol Region);Sorsogon;Santa Magdalena;PH056215000;3587
Region V (Bicol Region);Sorsogon;City of Sorsogon (Capital);PH056216000;35207
Region VI (Western Visayas);Aklan;Altavas;PH060401000;5950
Region VI (Western Visayas);Aklan;Balete;PH060402000;6974
Region VI (Western Visayas);Aklan;Banga;PH060403000;9243
Region VI (Western Visayas);Aklan;Batan;PH060404000;7929
Region VI (Western Visayas);Aklan;Buruanga;PH060405000;4219
Region VI (Western Visayas);Aklan;Ibajay;PH060406000;10931
Region VI (Western Visayas);Aklan;Kalibo (Capital);PH060407000;17784
Region VI (Western Visayas);Aklan;Lezo;PH060408000;3491
Region VI (Western Visayas);Aklan;Libacao;PH060409000;6556
Region VI (Western Visayas);Aklan;Madalag;PH060410000;4239
Region VI (Western Visayas);Aklan;Makato;PH060411000;6538
Region VI (Western Visayas);Aklan;Malay;PH060412000;12618
Region VI (Western Visayas);Aklan;Malinao;PH060413000;5411
Region VI (Western Visayas);Aklan;Nabas;PH060414000;7829
Region VI (Western Visayas);Aklan;New Washington;PH060415000;10820
Region VI (Western Visayas);Aklan;Numancia;PH060416000;7332
Region VI (Western Visayas);Aklan;Tangalan;PH060417000;4920
Region VI (Western Visayas);Antique;Anini-Y;PH060601000;4611
Region VI (Western Visayas);Antique;Barbaza;PH060602000;5439
Region VI (Western Visayas);Antique;Belison;PH060603000;3051
Region VI (Western Visayas);Antique;Bugasong;PH060604000;7341
Region VI (Western Visayas);Antique;Caluya;PH060605000;7978
Region VI (Western Visayas);Antique;Culasi;PH060606000;9472
Region VI (Western Visayas);Antique;Tobias Fornier (Dao);PH060607000;6863
Region VI (Western Visayas);Antique;Hamtic;PH060608000;10501
Region VI (Western Visayas);Antique;Laua-An;PH060609000;5944
Region VI (Western Visayas);Antique;Libertad;PH060610000;3633
Region VI (Western Visayas);Antique;Pandan;PH060611000;7760
Region VI (Western Visayas);Antique;Patnongon;PH060612000;8540
Region VI (Western Visayas);Antique;San Jose (Capital);PH060613000;13488
Region VI (Western Visayas);Antique;San Remigio;PH060614000;6579
Region VI (Western Visayas);Antique;Sebaste;PH060615000;3983
Region VI (Western Visayas);Antique;Sibalom;PH060616000;13186
Region VI (Western Visayas);Antique;Tibiao;PH060617000;6233
Region VI (Western Visayas);Antique;Valderrama;PH060618000;4151
Region VI (Western Visayas);Capiz;Cuartero;PH061901000;6428
Region VI (Western Visayas);Capiz;Dao;PH061902000;7720
Region VI (Western Visayas);Capiz;Dumalag;PH061903000;7028
Region VI (Western Visayas);Capiz;Dumarao;PH061904000;10988
Region VI (Western Visayas);Capiz;Ivisan;PH061905000;6622
Region VI (Western Visayas);Capiz;Jamindan;PH061906000;8540
Region VI (Western Visayas);Capiz;Ma-Ayon;PH061907000;9245
Region VI (Western Visayas);Capiz;Mambusao;PH061908000;9661
Region VI (Western Visayas);Capiz;Panay;PH061909000;10938
Region VI (Western Visayas);Capiz;Panitan;PH061910000;9558
Region VI (Western Visayas);Capiz;Pilar;PH061911000;10678
Region VI (Western Visayas);Capiz;Pontevedra;PH061912000;11150
Region VI (Western Visayas);Capiz;President Roxas;PH061913000;6883
Region VI (Western Visayas);Capiz;City of Roxas (Capital);PH061914000;37291
Region VI (Western Visayas);Capiz;Sapi-An;PH061915000;6106
Region VI (Western Visayas);Capiz;Sigma;PH061916000;7373
Region VI (Western Visayas);Capiz;Tapaz;PH061917000;12094
Region VI (Western Visayas);Iloilo;Ajuy;PH063001000;12162
Region VI (Western Visayas);Iloilo;Alimodian;PH063002000;8057
Region VI (Western Visayas);Iloilo;Anilao;PH063003000;6509
Region VI (Western Visayas);Iloilo;Badiangan;PH063004000;5878
Region VI (Western Visayas);Iloilo;Balasan;PH063005000;8083
Region VI (Western Visayas);Iloilo;Banate;PH063006000;7664
Region VI (Western Visayas);Iloilo;Barotac Nuevo;PH063007000;11935
Region VI (Western Visayas);Iloilo;Barotac Viejo;PH063008000;11076
Region VI (Western Visayas);Iloilo;Batad;PH063009000;5143
Region VI (Western Visayas);Iloilo;Bingawan;PH063010000;3429
Region VI (Western Visayas);Iloilo;Cabatuan;PH063012000;12689
Region VI (Western Visayas);Iloilo;Calinog;PH063013000;13069
Region VI (Western Visayas);Iloilo;Carles;PH063014000;15249
Region VI (Western Visayas);Iloilo;Concepcion;PH063015000;10044
Region VI (Western Visayas);Iloilo;Dingle;PH063016000;10365
Region VI (Western Visayas);Iloilo;DueÃƒÂ±as;PH063017000;7812
Region VI (Western Visayas);Iloilo;Dumangas;PH063018000;15640
Region VI (Western Visayas);Iloilo;Estancia;PH063019000;11102
Region VI (Western Visayas);Iloilo;Guimbal;PH063020000;7446
Region VI (Western Visayas);Iloilo;Igbaras;PH063021000;7009
Region VI (Western Visayas);Iloilo;City of Iloilo (Capital);PH063022000;91487
Region VI (Western Visayas);Iloilo;Janiuay;PH063023000;13792
Region VI (Western Visayas);Iloilo;Lambunao;PH063025000;15692
Region VI (Western Visayas);Iloilo;Leganes;PH063026000;7018
Region VI (Western Visayas);Iloilo;Lemery;PH063027000;7773
Region VI (Western Visayas);Iloilo;Leon;PH063028000;10739
Region VI (Western Visayas);Iloilo;Maasin;PH063029000;7357
Region VI (Western Visayas);Iloilo;Miagao;PH063030000;14039
Region VI (Western Visayas);Iloilo;Mina;PH063031000;4981
Region VI (Western Visayas);Iloilo;New Lucena;PH063032000;5001
Region VI (Western Visayas);Iloilo;Oton;PH063034000;20203
Region VI (Western Visayas);Iloilo;City of Passi;PH063035000;19027
Region VI (Western Visayas);Iloilo;Pavia;PH063036000;12703
Region VI (Western Visayas);Iloilo;Pototan;PH063037000;15941
Region VI (Western Visayas);Iloilo;San Dionisio;PH063038000;8961
Region VI (Western Visayas);Iloilo;San Enrique;PH063039000;7618
Region VI (Western Visayas);Iloilo;San Joaquin;PH063040000;11079
Region VI (Western Visayas);Iloilo;San Miguel;PH063041000;6028
Region VI (Western Visayas);Iloilo;San Rafael;PH063042000;3826
Region VI (Western Visayas);Iloilo;Santa Barbara;PH063043000;13518
Region VI (Western Visayas);Iloilo;Sara;PH063044000;13122
Region VI (Western Visayas);Iloilo;Tigbauan;PH063045000;13304
Region VI (Western Visayas);Iloilo;Tubungan;PH063046000;4840
Region VI (Western Visayas);Iloilo;Zarraga;PH063047000;5848
Region VI (Western Visayas);Guimaras;Buenavista;PH067901000;12077
Region VI (Western Visayas);Guimaras;Jordan (Capital);PH067902000;8304
Region VI (Western Visayas);Guimaras;Nueva Valencia;PH067903000;9157
Region VI (Western Visayas);Guimaras;San Lorenzo;PH067904000;5991
Region VI (Western Visayas);Guimaras;Sibunag;PH067905000;4968
Region VII (Central Visayas);Bohol;Alburquerque;PH071201000;2395
Region VII (Central Visayas);Bohol;Alicia;PH071202000;5095
Region VII (Central Visayas);Bohol;Anda;PH071203000;3755
Region VII (Central Visayas);Bohol;Antequera;PH071204000;3478
Region VII (Central Visayas);Bohol;Baclayon;PH071205000;4358
Region VII (Central Visayas);Bohol;Balilihan;PH071206000;4080
Region VII (Central Visayas);Bohol;Batuan;PH071207000;2848
Region VII (Central Visayas);Bohol;Bilar;PH071208000;3758
Region VII (Central Visayas);Bohol;Buenavista;PH071209000;5868
Region VII (Central Visayas);Bohol;Calape;PH071210000;7396
Region VII (Central Visayas);Bohol;Candijay;PH071211000;6762
Region VII (Central Visayas);Bohol;Carmen;PH071212000;10264
Region VII (Central Visayas);Bohol;Catigbian;PH071213000;5117
Region VII (Central Visayas);Bohol;Clarin;PH071214000;4600
Region VII (Central Visayas);Bohol;Corella;PH071215000;1900
Region VII (Central Visayas);Bohol;Cortes;PH071216000;3611
Region VII (Central Visayas);Bohol;Dagohoy;PH071217000;4170
Region VII (Central Visayas);Bohol;Danao;PH071218000;3892
Region VII (Central Visayas);Bohol;Dauis;PH071219000;9806
Region VII (Central Visayas);Bohol;Dimiao;PH071220000;3219
Region VII (Central Visayas);Bohol;Duero;PH071221000;4000
Region VII (Central Visayas);Bohol;Garcia Hernandez;PH071222000;4967
Region VII (Central Visayas);Bohol;Guindulman;PH071223000;7218
Region VII (Central Visayas);Bohol;Inabanga;PH071224000;9786
Region VII (Central Visayas);Bohol;Jagna;PH071225000;7485
Region VII (Central Visayas);Bohol;Getafe;PH071226000;6423
Region VII (Central Visayas);Bohol;Lila;PH071227000;2082
Region VII (Central Visayas);Bohol;Loay;PH071228000;3562
Region VII (Central Visayas);Bohol;Loboc;PH071229000;3475
Region VII (Central Visayas);Bohol;Loon;PH071230000;9924
Region VII (Central Visayas);Bohol;Mabini;PH071231000;6240
Region VII (Central Visayas);Bohol;Maribojoc;PH071232000;4723
Region VII (Central Visayas);Bohol;Panglao;PH071233000;7006
Region VII (Central Visayas);Bohol;Pilar;PH071234000;5961
Region VII (Central Visayas);Bohol;Pres. Carlos P. Garcia (Pitogo);PH071235000;5145
Region VII (Central Visayas);Bohol;Sagbayan (Borja);PH071236000;5149
Region VII (Central Visayas);Bohol;San Isidro;PH071237000;2194
Region VII (Central Visayas);Bohol;San Miguel;PH071238000;5393
Region VII (Central Visayas);Bohol;Sevilla;PH071239000;2238
Region VII (Central Visayas);Bohol;Sierra Bullones;PH071240000;5408
Region VII (Central Visayas);Bohol;Sikatuna;PH071241000;1515
Region VII (Central Visayas);Bohol;City of Tagbilaran (Capital);PH071242000;21423
Region VII (Central Visayas);Bohol;Talibon;PH071243000;14272
Region VII (Central Visayas);Bohol;Trinidad;PH071244000;6849
Region VII (Central Visayas);Bohol;Tubigon;PH071245000;10265
Region VII (Central Visayas);Bohol;Ubay;PH071246000;16509
Region VII (Central Visayas);Bohol;Valencia;PH071247000;5580
Region VII (Central Visayas);Bohol;Bien Unido;PH071248000;5604
Region VII (Central Visayas);Cebu;Alcantara;PH072201000;3416
Region VII (Central Visayas);Cebu;Alcoy;PH072202000;3383
Region VII (Central Visayas);Cebu;Alegria;PH072203000;4969
Region VII (Central Visayas);Cebu;Aloguinsan;PH072204000;6886
Region VII (Central Visayas);Cebu;Argao;PH072205000;16504
Region VII (Central Visayas);Cebu;Asturias;PH072206000;10211
Region VII (Central Visayas);Cebu;Badian;PH072207000;8200
Region VII (Central Visayas);Cebu;Balamban;PH072208000;19575
Region VII (Central Visayas);Cebu;Bantayan;PH072209000;18354
Region VII (Central Visayas);Cebu;Barili;PH072210000;15679
Region VII (Central Visayas);Cebu;City of Bogo;PH072211000;19217
Region VII (Central Visayas);Cebu;Boljoon;PH072212000;3353
Region VII (Central Visayas);Cebu;Borbon;PH072213000;8301
Region VII (Central Visayas);Cebu;City of Carcar;PH072214000;26585
Region VII (Central Visayas);Cebu;Carmen;PH072215000;11207
