,year,actual,predicted,typhoon
2026,,0.0,0.2657263,bopha2012
2030,,0.0,0.3890278,bopha2012
2031,,0.0,0.2469909,bopha2012
2032,,0.0,0.26550996,bopha2012
2036,,0.3974638024037097,0.81479776,bopha2012
2037,,0.0,0.23931639,bopha2012
2038,,0.0,0.10867645,bopha2012
2041,,0.0,0.24186085,bopha2012
2042,,0.0,0.2414037,bopha2012
2043,,0.0,0.17362598,bopha2012
2044,,0.0,-0.09347433,bopha2012
2047,,0.0,0.09885044,bopha2012
2048,,0.0,0.07972778,bopha2012
2049,,0.6108897742363878,5.135208,bopha2012
2050,,0.0,0.13165084,bopha2012
2051,,0.175438596491228,0.98527664,bopha2012
2052,,0.0,0.1701523,bopha2012
2055,,0.0,0.08240377,bopha2012
2057,,0.0,0.11819341,bopha2012
2058,,0.0,0.026824074,bopha2012
2061,,0.0,0.06289553,bopha2012
2062,,0.0,0.16006972,bopha2012
2064,,0.0,0.0076899906,bopha2012
2065,,0.7222586999343401,2.1770828,bopha2012
2066,,0.0,0.04436782,bopha2012
2067,,0.0,0.048975836,bopha2012
2068,,0.0,0.057227086,bopha2012
2069,,0.6263048016701461,1.876336,bopha2012
2072,,0.0,0.16232516,bopha2012
2074,,92.77708592777088,30.699564,bopha2012
2076,,0.0,-0.18122327,bopha2012
2077,,0.6451612903225806,0.628509,bopha2012
2078,,0.673551863493489,1.5993085,bopha2012
2079,,0.0,0.37707895,bopha2012
2080,,0.0,0.030156631,bopha2012
2082,,0.1704158145875937,0.50698805,bopha2012
2083,,0.0073152889539136,1.5280448,bopha2012
2084,,0.0,0.20360127,bopha2012
2085,,0.0,0.1903641,bopha2012
2086,,0.0,0.052539907,bopha2012
2087,,0.0,0.05193515,bopha2012
2088,,0.0,0.09763676,bopha2012
2092,,17.421259842519685,7.407751,bopha2012
2094,,0.0,0.32801333,bopha2012
2095,,0.0,0.3452187,bopha2012
2096,,0.0,0.0811775,bopha2012
2097,,0.0,0.3652312,bopha2012
2098,,0.0,0.13957846,bopha2012
2100,,0.0,0.08130855,bopha2012
2101,,0.0,0.31633273,bopha2012
2103,,0.0160059755642106,0.5485265,bopha2012
2105,,0.0,0.14115262,bopha2012
2106,,0.0,0.02060981,bopha2012
2107,,0.7804596039890157,23.497196,bopha2012
2108,,0.0,-0.017461209,bopha2012
2109,,0.0,0.22907399,bopha2012
2110,,0.0,0.04898382,bopha2012
2112,,0.0183519911910442,25.726631,bopha2012
2113,,1.090909090909091,1.5773696,bopha2012
2114,,0.026816840976133,0.23905832,bopha2012
2115,,0.3936096318592266,0.53193533,bopha2012
2117,,0.0,0.03999098,bopha2012
2118,,0.0549450549450549,0.5046131,bopha2012
2120,,0.0,0.028551614,bopha2012
2121,,0.0,0.24783748,bopha2012
2122,,0.0,0.13655493,bopha2012
2123,,0.0,0.19598283,bopha2012
2124,,0.0,0.15622465,bopha2012
2125,,0.0,0.119000696,bopha2012
2126,,0.0,0.01645045,bopha2012
2127,,0.0,0.045204822,bopha2012
2130,,0.0,0.57616276,bopha2012
2132,,22.17945898394546,11.851481,bopha2012
2133,,0.0,0.18922925,bopha2012
2135,,0.0,0.5478414,bopha2012
2138,,0.0903016073686111,1.8387458,bopha2012
2140,,0.4537597234226448,1.584759,bopha2012
2141,,0.0432152117545375,0.27727473,bopha2012
2142,,0.0,0.07303506,bopha2012
2144,,0.1231527093596059,1.4454079,bopha2012
2145,,100.0,66.6727,bopha2012
2149,,0.0,0.07481641,bopha2012
2150,,0.0,0.07687142,bopha2012
2151,,0.0,0.2639604,bopha2012
2154,,2.7443680794196257,2.9272187,bopha2012
2157,,0.0,0.23664358,bopha2012
2159,,0.0,0.021509985,bopha2012
2161,,0.0594782904239952,23.298315,bopha2012
2162,,0.0,-0.13063677,bopha2012
2165,,0.0,0.015049011,bopha2012
2168,,0.2417354723259975,0.22597045,bopha2012
2171,,0.0,0.25922903,bopha2012
2172,,0.0,0.11737933,bopha2012
2173,,0.0,-0.025535077,bopha2012
2178,,0.0249708673214582,0.4374025,bopha2012
2179,,0.0,-0.01041166,bopha2012
2180,,0.6884720951509606,4.389352,bopha2012
2181,,0.0,0.65714276,bopha2012
2183,,0.4099843241287833,2.3631628,bopha2012
2184,,0.0138869601444243,0.20254336,bopha2012
2185,,0.0,0.26450172,bopha2012
2186,,0.0091033227127901,-1.2919995,bopha2012
2189,,48.20924910861583,16.76601,bopha2012
2190,,0.0,0.11400627,bopha2012
2192,,0.0,-0.1573302,bopha2012
2194,,0.0,0.055463016,bopha2012
2197,,0.0,0.06139841,bopha2012
2199,,0.4545454545454545,0.32022882,bopha2012
2201,,0.0,0.10776616,bopha2012
2202,,0.0,0.20230496,bopha2012
2204,,0.0,0.42355198,bopha2012
2205,,0.0,0.08429208,bopha2012
2207,,0.0,0.43080193,bopha2012
2210,,0.0,-0.049032457,bopha2012
2211,,0.0,-0.023381112,bopha2012
2212,,0.2453385672227674,1.0736582,bopha2012
2216,,0.0193685841564981,3.8407834,bopha2012
2217,,0.0,0.27937704,bopha2012
2218,,0.0,0.13642223,bopha2012
2219,,0.1169818678104893,0.2598256,bopha2012
2221,,0.0,0.17249714,bopha2012
2235,,0.0,0.15663446,bopha2012
2236,,0.0,-0.11902119,bopha2012
2237,,0.0,0.0005718765,bopha2012
2239,,0.0310655483069276,0.49465773,bopha2012
2240,,0.0460405156537753,0.18925738,bopha2012
2242,,0.0,0.19232167,bopha2012
2243,,0.0,0.43115297,bopha2012
2246,,0.2530364372469635,0.8004813,bopha2012
2247,,0.0,0.30663526,bopha2012
2251,,0.0,0.1312042,bopha2012
2252,,0.025,0.27700216,bopha2012
2254,,0.0,0.4150438,bopha2012
2256,,0.0,0.22644877,bopha2012
2257,,0.0,0.11667891,bopha2012
2259,,0.0521104742053152,13.235408,bopha2012
2260,,0.0,0.082173415,bopha2012
2262,,0.0,0.04187218,bopha2012
2263,,0.0,-0.035889722,bopha2012
2264,,0.0,0.108802974,bopha2012
2266,,0.0,0.15615997,bopha2012
2267,,0.136147038801906,5.8177643,bopha2012
2269,,0.0261802949646566,5.0654874,bopha2012
2270,,0.0,0.23588817,bopha2012
2271,,0.0,-0.072367266,bopha2012
2272,,0.0,0.3968984,bopha2012
2273,,0.0,0.25633347,bopha2012
2276,,0.0,-0.01938634,bopha2012
2279,,0.0,-0.04408583,bopha2012
2280,,0.1556904873112252,0.5011048,bopha2012
2282,,1.66369578134284,2.463278,bopha2012
2283,,0.9085034401490096,2.535822,bopha2012
2284,,0.2076843198338525,29.487843,bopha2012
2285,,0.0,-0.10617977,bopha2012
2287,,0.0,0.026082,bopha2012
2289,,0.0,0.21734317,bopha2012
2293,,0.0688705234159779,1.8488508,bopha2012
2298,,0.0,0.099869624,bopha2012
2302,,2.5485714285714285,0.66552275,bopha2012
2304,,0.0,-0.029407276,bopha2012
2307,,0.0,-0.06457145,bopha2012
2308,,0.0,0.08658,bopha2012
2310,,0.0,0.15615997,bopha2012
2311,,0.0,-0.033806335,bopha2012
2312,,0.1098503623722319,8.565834,bopha2012
2315,,1.2430655434559277,39.261818,bopha2012
2317,,0.0,0.1064405,bopha2012
2324,,0.0,0.08319121,bopha2012
2325,,0.0,0.112314954,bopha2012
2328,,0.0,0.15303992,bopha2012
2329,,0.0,0.05250145,bopha2012
2333,,0.0158553987632788,2.594102,bopha2012
2334,,0.0,0.029796861,bopha2012
2336,,0.0,-0.17675103,bopha2012
2342,,0.0,0.0067317756,bopha2012
2343,,0.0,0.01019697,bopha2012
2348,,0.0,0.32553157,bopha2012
2349,,0.0,-0.0044360477,bopha2012
2352,,0.4079254079254079,1.4670626,bopha2012
2353,,0.0058309037900874,14.422051,bopha2012
2354,,0.0,0.06544235,bopha2012
2355,,0.0223613595706618,0.6175682,bopha2012
2356,,0.2442996742671009,0.5389435,bopha2012
2357,,0.0,-0.16704609,bopha2012
2359,,0.0190294957183634,3.7821915,bopha2012
2360,,0.0,-0.13753815,bopha2012
2361,,0.0,-0.13210626,bopha2012
2362,,0.0,-0.005766796,bopha2012
2365,,0.0,0.03797228,bopha2012
2366,,0.1340482573726541,1.9308044,bopha2012
2368,,0.0745897563401292,0.07466885,bopha2012
2369,,0.0161368404066483,3.141778,bopha2012
2373,,0.0,0.44277465,bopha2012
2374,,10.655737704918032,29.777058,bopha2012
2375,,0.0,-0.008275156,bopha2012
2376,,33.41761967703006,29.8322,bopha2012
2379,,0.0,0.0059952824,bopha2012
2380,,0.0,0.01004728,bopha2012
2381,,0.0,0.17934372,bopha2012
2382,,0.0,-0.016727516,bopha2012
2383,,0.0,0.34164813,bopha2012
2385,,0.0178443968593861,12.282623,bopha2012
2386,,0.0,-0.21086547,bopha2012
2388,,0.0,0.06019928,bopha2012
2389,,0.0465085376386951,0.8517126,bopha2012
2391,,0.0,-0.0047009103,bopha2012
2392,,0.0,-0.022782769,bopha2012
2393,,0.0,0.33990136,bopha2012
2394,,0.0234980809900524,0.80363476,bopha2012
2395,,0.0,0.045804434,bopha2012
2396,,0.0367511944138184,0.3492097,bopha2012
2397,,0.0,0.27926198,bopha2012
2398,,0.0,0.19371076,bopha2012
2401,,1.2345679012345678,4.944827,bopha2012
2402,,0.0354107648725212,0.6434243,bopha2012
2403,,0.0,0.037314516,bopha2012
2404,,0.0,0.32541263,bopha2012
2405,,1.999600079984003,19.509884,bopha2012
2408,,0.0,0.10326681,bopha2012
2409,,0.0,0.15184152,bopha2012
2411,,0.0,0.15375108,bopha2012
2412,,0.4027061855670102,0.37356776,bopha2012
2413,,0.0,0.06713115,bopha2012
2415,,0.0,0.13500664,bopha2012
2416,,0.1108237901736239,19.15409,bopha2012
2418,,0.2318782135295896,22.992699,bopha2012
2420,,0.0,0.10489616,bopha2012
2421,,0.0,0.45464498,bopha2012
2429,,0.0,-0.041025963,bopha2012
2430,,52.43359655419957,5.513897,bopha2012
2431,,0.0280741156653565,1.0705307,bopha2012
2433,,0.0,0.1380989,bopha2012
2434,,0.0100765820233776,0.6990778,bopha2012
2435,,0.0172324659658797,9.400973,bopha2012
2436,,56.041131105398456,38.159397,bopha2012
2438,,0.0,0.1806993,bopha2012
2440,,0.3430924062214089,7.7812505,bopha2012
2441,,0.0299760191846522,0.82114685,bopha2012
2445,,0.0,0.24135607,bopha2012
2446,,0.0,0.2678649,bopha2012
2447,,0.0,0.2083367,bopha2012
2448,,0.0,0.07212167,bopha2012
2450,,0.0,-0.042028178,bopha2012
2452,,0.0,0.17330937,bopha2012
2453,,0.0,-0.048608903,bopha2012
2454,,0.0,0.08613869,bopha2012
2455,,0.0,0.35892287,bopha2012
2457,,0.5926388022457891,1.4631059,bopha2012
2460,,1.4679095681988643,2.1360595,bopha2012
2461,,0.0,0.45558384,bopha2012
2463,,0.0,0.14265573,bopha2012
2466,,0.0,-0.023462225,bopha2012
2468,,0.0,0.30974984,bopha2012
2472,,0.8034433285509325,1.4636514,bopha2012
2474,,0.0,0.18807201,bopha2012
2476,,0.0,0.706805,bopha2012
2480,,0.0319081046585832,1.3205378,bopha2012
2482,,0.0168180289270097,0.25470755,bopha2012
2483,,0.0,0.029155698,bopha2012
2484,,0.0,0.34506154,bopha2012
2486,,2.3817239144523654,0.666959,bopha2012
2487,,0.6138243928476115,1.7440393,bopha2012
2490,,0.0,-0.17493562,bopha2012
2491,,0.0,0.048887324,bopha2012
2492,,0.0,-0.08128887,bopha2012
2493,,0.0,-0.086076066,bopha2012
2495,,0.0,0.287687,bopha2012
2498,,5.166867712102935,20.93103,bopha2012
2499,,0.0,0.084935196,bopha2012
2502,,0.0351205806602669,0.5364914,bopha2012
2503,,0.0,0.115219355,bopha2012
2504,,0.0,0.21256177,bopha2012
2505,,0.0,0.057397574,bopha2012
2506,,0.8396305625524769,1.7723495,bopha2012
2508,,0.0,0.028878259,bopha2012
2509,,0.0,0.10242365,bopha2012
2511,,0.0,0.15829524,bopha2012
2512,,0.1419446415897799,29.757584,bopha2012
2513,,0.0,-0.19119394,bopha2012
2514,,0.0156641604010025,15.1701,bopha2012
2516,,0.0,0.17221421,bopha2012
2517,,1.0483525887890457,0.31992877,bopha2012
2523,,2.0939086294416245,21.06345,bopha2012
2525,,0.6815703380588877,0.5260726,bopha2012
2526,,1.0752688172043012,0.20254515,bopha2012
2527,,0.0,-0.029994156,bopha2012
2535,,8.583172147001934,8.7483425,bopha2012
2536,,0.0,0.06606602,bopha2012
2538,,0.0,-0.022158833,bopha2012
2545,,0.0,0.17107894,bopha2012
2549,,0.0,0.0898051,bopha2012
2550,,31.80495588511357,39.640873,bopha2012
2551,,54.59579180509413,17.276873,bopha2012
2556,,0.0,0.022683667,bopha2012
2557,,13.997873471557682,12.130573,bopha2012
2559,,0.0,0.53615254,bopha2012
2560,,0.0,0.1150217,bopha2012
2561,,0.0,0.12799662,bopha2012
2563,,0.0,0.35428396,bopha2012
2565,,0.0,0.043761168,bopha2012
2567,,66.51697037740738,20.165699,bopha2012
2568,,0.7034850812646559,12.592285,bopha2012
2569,,0.0,0.18199943,bopha2012
2570,,0.0,0.14959446,bopha2012
2571,,0.0,0.16153419,bopha2012
2575,,0.0,0.3772916,bopha2012
2578,,0.0143081985977965,6.2613254,bopha2012
2580,,0.0734394124847001,2.9089828,bopha2012
2581,,0.9033121445299432,1.9363462,bopha2012
2583,,0.0776345102275028,1.2952467,bopha2012
2591,,0.0,0.20754208,bopha2012
2592,,0.0,0.009840203,bopha2012
2593,,0.0,-0.16944928,bopha2012
2596,,0.0,0.01822124,bopha2012
2597,,0.0415627597672485,4.915061,bopha2012
2598,,0.0,0.44904912,bopha2012
2600,,0.0,-0.054360125,bopha2012
2603,,0.0,0.038755655,bopha2012
2604,,0.0,0.12777953,bopha2012
2605,,1.5845824411134906,7.3869157,bopha2012
2607,,0.2927033242734685,0.38416526,bopha2012
2608,,0.0,0.42355198,bopha2012
2609,,0.0,0.21838786,bopha2012
2611,,0.0,-0.08141539,bopha2012
2613,,0.0,0.33852324,bopha2012
2617,,0.0,-0.029994156,bopha2012
2618,,0.0,0.25876334,bopha2012
2621,,0.6831767719897524,0.7426049,bopha2012
2622,,0.0,0.4383281,bopha2012
2623,,0.0,0.4896033,bopha2012
2626,,0.0,0.11697642,bopha2012
2629,,0.0,0.17394753,bopha2012
2630,,0.0424989375265618,0.40277797,bopha2012
2633,,0.0,0.6323135,bopha2012
2637,,0.1708233686368295,0.29122362,bopha2012
2641,,0.0,0.07727086,bopha2012
2642,,0.1215066828675577,0.69717485,bopha2012
2645,,0.0,0.0827772,bopha2012
2646,,0.0,0.04521699,bopha2012
2650,,0.0,0.20270076,bopha2012
2652,,0.0328048113723346,0.7117536,bopha2012
2653,,0.0706713780918728,0.50828546,bopha2012
2654,,0.0,0.15960424,bopha2012
2656,,0.0,0.07840819,bopha2012
2657,,0.0,0.09022231,bopha2012
2658,,0.0,-0.016727516,bopha2012
2661,,0.0,0.10970866,bopha2012
2662,,0.0,0.1369578,bopha2012
2664,,0.0,0.12078704,bopha2012
2666,,0.0,0.15858203,bopha2012
2668,,0.0,0.08431344,bopha2012
2670,,0.0,0.22206877,bopha2012
2671,,0.0,0.20312566,bopha2012
2672,,0.0,-0.19075368,bopha2012
2674,,0.0,0.0676277,bopha2012
2675,,0.0,0.08372624,bopha2012
2676,,1.9169646404449745,3.6736488,bopha2012
2678,,0.0,0.16213581,bopha2012
2680,,0.0,0.8777198,bopha2012
2681,,0.0,0.03808409,bopha2012
2682,,0.0,0.08440668,bopha2012
2685,,0.417391304347826,1.8972582,bopha2012
2687,,0.0,0.26095584,bopha2012
2690,,1.074743527112848,2.1031752,bopha2012
2691,,0.0,0.26560146,bopha2012
2692,,0.0,0.11260091,bopha2012
2694,,0.0439238653001464,1.1763582,bopha2012
2695,,2.047174009790832,2.8883078,bopha2012
2696,,0.109938434476693,0.7922124,bopha2012
2698,,0.0,0.020185549,bopha2012
2699,,0.0,0.0338307,bopha2012
2700,,0.0,0.14838359,bopha2012
2701,,0.0,0.13546473,bopha2012
2702,,0.0,0.2409487,bopha2012
2703,,0.0,0.33130252,bopha2012
2704,,0.0,-0.009233576,bopha2012
2705,,0.0070308654995429,0.2218331,bopha2012
2706,,1.1371020142949968,13.694651,bopha2012
2709,,0.0236658383623239,1.4337251,bopha2012
2711,,0.0,0.04755968,bopha2012
2712,,0.0,0.1371493,bopha2012
2713,,0.0,0.91047746,bopha2012
2714,,0.0,0.28317186,bopha2012
2717,,1.9644821625019644,14.064214,bopha2012
2719,,0.0,0.21454008,bopha2012
2720,,0.0635324015247776,0.15285954,bopha2012
2721,,0.0,0.14482465,bopha2012
2725,,0.0,-0.08367568,bopha2012
2726,,0.0,0.43147212,bopha2012
2727,,0.0,0.5284327,bopha2012
2728,,0.0,0.17671148,bopha2012
2729,,1.287793952967525,11.6759815,bopha2012
2731,,0.0,0.14232904,bopha2012
2733,,0.1356852103120759,15.511971,bopha2012
2734,,0.0,0.059489973,bopha2012
2735,,0.0,0.16101389,bopha2012
2736,,0.0,0.18517236,bopha2012
2737,,0.0,-0.103223674,bopha2012
2738,,0.0,0.17888884,bopha2012
2743,,0.0,0.48551363,bopha2012
2744,,0.0,0.06578406,bopha2012
2745,,0.0,0.06611124,bopha2012
2747,,0.0,0.06276808,bopha2012
2748,,0.0,0.5686253,bopha2012
2749,,0.0,0.4046126,bopha2012
2753,,0.0,0.58325446,bopha2012
2755,,0.0,0.100627914,bopha2012
2756,,0.0,0.47489288,bopha2012
2757,,0.0,0.0065748547,bopha2012
2758,,0.0,0.11131577,bopha2012
2759,,0.0,0.0011511052,bopha2012
2760,,0.0,0.78386784,bopha2012
2761,,0.0,0.32600135,bopha2012
2762,,0.0,0.002854276,bopha2012
2764,,0.0,-0.03237259,bopha2012
2765,,0.0,0.2444669,bopha2012
2767,,0.0,0.28391954,bopha2012
2768,,28.993678455492912,23.771141,bopha2012
2769,,0.0,0.43205616,bopha2012
2770,,0.0,0.08241902,bopha2012
2771,,0.0,0.40906557,bopha2012
2772,,0.0,0.13556568,bopha2012
2773,,0.0,0.28893024,bopha2012
2775,,0.0506585612968591,0.17929652,bopha2012
2776,,0.0,0.32221827,bopha2012
2777,,0.0,0.13117364,bopha2012
2778,,1.5294117647058825,5.2052083,bopha2012
2779,,0.0,0.38863292,bopha2012
2781,,0.0,0.4353625,bopha2012
2782,,0.0,0.1276813,bopha2012
2783,,0.0104231811548884,-0.02551672,bopha2012
2784,,0.0,0.13071974,bopha2012
2785,,0.0,0.1323301,bopha2012
2786,,0.0,0.11498843,bopha2012
2788,,0.0,0.050057955,bopha2012
2789,,0.6201194304088194,0.88514966,bopha2012
2791,,0.0,0.26725322,bopha2012
2792,,0.0,0.027546212,bopha2012
2794,,0.0,0.4956648,bopha2012
2795,,0.0,0.011824781,bopha2012
2796,,0.0,-0.22561266,bopha2012
2803,,0.0150784077201447,0.2932592,bopha2012
2805,,0.0089405453732677,0.39821696,bopha2012
2810,,0.0,-0.052090034,bopha2012
2811,,0.0,0.42918164,bopha2012
2818,,0.8016347060672745,3.2214537,bopha2012
2820,,0.0,0.010735851,bopha2012
2827,,0.0,0.121434465,bopha2012
2828,,0.0,0.43441257,bopha2012
2831,,0.0,0.3288044,bopha2012
2832,,0.0,0.15058911,bopha2012
2833,,0.2110817941952506,1.6552571,bopha2012
2834,,0.0,0.05558343,bopha2012
2841,,0.4688063469166967,37.668236,bopha2012
2842,,0.0,-0.19043122,bopha2012
2844,,0.0028925141733194,-0.003511516,bopha2012
2845,,0.0,0.047311198,bopha2012
2852,,0.0,0.07001354,bopha2012
2855,,16.229862947823996,1.8211695,bopha2012
2857,,0.0392772977219167,4.114059,bopha2012
2858,,0.0180061220815077,29.611319,bopha2012
2860,,0.0,0.20740825,bopha2012
2861,,3.031784841075795,3.0809345,bopha2012
2863,,0.0856408792463602,7.6882997,bopha2012
2865,,0.0070067264573991,0.22199929,bopha2012
2866,,0.0564971751412429,1.827262,bopha2012
2871,,0.049455984174085,1.5810971,bopha2012
2874,,0.0,0.31874192,bopha2012
2877,,0.0,0.14712524,bopha2012
2879,,0.0,-0.05727458,bopha2012
2880,,0.2013085052843482,1.3349879,bopha2012
2881,,3.4090909090909087,0.9666564,bopha2012
2882,,5.302319764897143,5.1189156,bopha2012
2883,,0.0,0.059145905,bopha2012
2884,,0.0,0.47175655,bopha2012
2885,,0.0,0.18975957,bopha2012
2888,,0.0,0.046341628,bopha2012
2890,,0.0,-0.29086554,bopha2012
2891,,0.0,0.12431432,bopha2012
2897,,47.57701773741832,7.392014,bopha2012
2900,,0.0,0.090946436,bopha2012
2902,,0.0,0.23572241,bopha2012
2904,,0.0386100386100386,0.46365604,bopha2012
2906,,0.0,0.08628981,bopha2012
2907,,0.0,0.11674155,bopha2012
2908,,0.0091332541784637,1.3758335,bopha2012
2912,,0.0,0.08417093,bopha2012
2914,,0.1546072974644403,2.3969145,bopha2012
2916,,0.0,0.085344434,bopha2012
2919,,0.0,0.05530788,bopha2012
2921,,0.0181290790427846,-0.15894939,bopha2012
2923,,0.0,0.086117156,bopha2012
2924,,0.0,0.089017086,bopha2012
2926,,0.0,0.22950543,bopha2012
2927,,0.0,-0.005900848,bopha2012
2929,,34.73188483356523,39.058895,bopha2012
2930,,2.3547040565128974,39.058895,bopha2012
2932,,0.0117398450340455,17.738293,bopha2012
2933,,0.0,0.059239775,bopha2012
2934,,0.0,0.07082603,bopha2012
2935,,0.0,0.1821308,bopha2012
2937,,0.0,0.30330718,bopha2012
2940,,0.0,1.1847785,bopha2012
24629,,0.0384319754035357,0.54654163,conson2010
24631,,0.0,0.40043038,conson2010
24632,,0.0,0.052701488,conson2010
24633,,0.0282565696524441,1.2971946,conson2010
24634,,0.0,0.44648075,conson2010
24637,,0.0,0.4631748,conson2010
24639,,0.0,0.08142378,conson2010
24641,,0.0,0.16882962,conson2010
24654,,0.4415188247571647,0.9535589,conson2010
24665,,0.0,0.21307334,conson2010
24671,,0.073251466756964,0.80228335,conson2010
24681,,0.0146957970020574,0.54705286,conson2010
24684,,0.0218340611353711,0.9681985,conson2010
24690,,0.0,0.07980422,conson2010
24696,,0.2965525763005066,1.1920173,conson2010
24699,,0.0,0.096103884,conson2010
24711,,0.306932674984987,0.84314835,conson2010
24715,,0.0,0.075857,conson2010
24718,,0.0659334072586687,3.2380905,conson2010
24719,,0.0,0.20353349,conson2010
24730,,0.0,0.18992878,conson2010
24734,,0.0,0.33290625,conson2010
24746,,0.0,0.1656305,conson2010
24753,,0.0,0.08745983,conson2010
24754,,0.0,0.22823104,conson2010
24763,,0.0451798723668605,0.5433129,conson2010
24764,,0.0,0.19617018,conson2010
24765,,0.0,0.54967535,conson2010
24767,,0.0,1.7221123,conson2010
24768,,0.0113694502870786,0.6431258,conson2010
24784,,0.0,0.31037503,conson2010
24788,,0.5591126341419425,1.3501157,conson2010
24789,,0.0511770726714432,32.675125,conson2010
24799,,0.5975723622782446,0.65009207,conson2010
24800,,0.2266241396676179,1.7061641,conson2010
24805,,0.004800307219662,0.8585441,conson2010
24808,,0.1895425412806023,0.61210686,conson2010
24813,,0.020665996169902,0.78971446,conson2010
24815,,0.1721282616349576,1.1498345,conson2010
24834,,0.0,1.03037,conson2010
24835,,0.0,0.14500761,conson2010
24847,,0.0,0.09849273,conson2010
24857,,0.0,0.4066565,conson2010
24860,,0.0,0.08562973,conson2010
24878,,0.5538631957906397,1.1706855,conson2010
24885,,0.0,0.2191969,conson2010
24889,,0.1444831043226986,32.51768,conson2010
24890,,0.0458190148911798,0.34965527,conson2010
24910,,0.0,0.064464495,conson2010
24911,,0.0,0.044171967,conson2010
24916,,0.0105004515194153,0.8301657,conson2010
24917,,0.0,0.46128914,conson2010
24918,,0.0,0.39915118,conson2010
24925,,0.2925687536571094,2.98617,conson2010
24930,,0.2241984903968313,3.2411647,conson2010
24934,,0.195733020160501,1.15575,conson2010
24940,,0.0,0.06306976,conson2010
24944,,0.013512904824107,2.6155012,conson2010
24945,,0.0,0.15779752,conson2010
24946,,0.0,0.08000094,conson2010
24948,,0.0,0.078860655,conson2010
24954,,0.0116945386504502,1.0220262,conson2010
24957,,0.035650623885918,0.5409081,conson2010
24958,,0.1279283601183337,0.74323547,conson2010
24964,,0.0,0.6501827,conson2010
24965,,0.0066507049747273,0.7122447,conson2010
24966,,0.0,0.20243512,conson2010
24975,,0.0,0.082167946,conson2010
24979,,0.0225135514261468,0.41824806,conson2010
24980,,0.0,0.5937345,conson2010
24981,,0.4327131112072695,0.8068865,conson2010
24983,,0.0,0.22952013,conson2010
24987,,0.0,0.41496432,conson2010
24989,,2.2271714922049,1.5994728,conson2010
24997,,0.0,1.1054494,conson2010
25006,,0.0077924101924725,0.46834052,conson2010
25010,,0.0,0.1416357,conson2010
25017,,0.2194854286062675,1.144396,conson2010
25021,,0.0,0.48638767,conson2010
25028,,0.0,2.4043636,conson2010
25031,,0.0,0.059904713,conson2010
