,typhoon,actual,predicted
2080,bopha2012,0.0,0.8720260145476892
2082,bopha2012,0.1704158145875937,1.6480478780397192
2083,bopha2012,0.0073152889539136,4.982023793963625
2084,bopha2012,0.0,0.49095885542081863
2085,bopha2012,0.0,1.5807453395351239
2086,bopha2012,0.0,-1.198708206919779
2087,bopha2012,0.0,0.5299897204702546
2088,bopha2012,0.0,-0.45307297465571583
2092,bopha2012,17.421259842519685,8.92988412561298
2094,bopha2012,0.0,1.0604522775720042
2095,bopha2012,0.0,1.4659646544757985
2096,bopha2012,0.0,0.8114789886315208
2097,bopha2012,0.0,1.000236256102224
2098,bopha2012,0.0,-1.4236587204798568
2100,bopha2012,0.0,0.04539349980648133
2101,bopha2012,0.0,0.6779593647877951
2103,bopha2012,0.0160059755642106,3.7218747882688143
2105,bopha2012,0.0,0.8452401655250075
2106,bopha2012,0.0,-1.0770681326999885
2107,bopha2012,0.7804596039890157,12.347193486261963
2108,bopha2012,0.0,-2.836409879629013
2109,bopha2012,0.0,-1.542471513067718
2110,bopha2012,0.0,1.8013117765063775
2112,bopha2012,0.0183519911910442,12.553241057645492
2113,bopha2012,1.090909090909091,4.013392339666586
2114,bopha2012,0.026816840976133,-0.2938374262983019
2115,bopha2012,0.3936096318592266,1.0625163465498622
2117,bopha2012,0.0,0.6987650962110115
2118,bopha2012,0.0549450549450549,2.635236252384588
2120,bopha2012,0.0,0.32810414932565024
2121,bopha2012,0.0,-0.5637859158438792
2122,bopha2012,0.0,0.9341598616420752
2123,bopha2012,0.0,-0.6708582423227734
2124,bopha2012,0.0,-0.08125736708830456
2125,bopha2012,0.0,-0.817712991548293
2126,bopha2012,0.0,-0.5054829165927774
2127,bopha2012,0.0,0.2530990497044523
2130,bopha2012,0.0,1.9528795262702872
2132,bopha2012,22.17945898394546,10.21607919167913
2133,bopha2012,0.0,0.8423319605411113
2135,bopha2012,0.0,-0.25011897418882256
2138,bopha2012,0.0903016073686111,5.442420075070135
2140,bopha2012,0.4537597234226448,4.146016511932255
2141,bopha2012,0.0432152117545375,0.9949286653658209
2142,bopha2012,0.0,-1.2794274735573299
2144,bopha2012,0.1231527093596059,5.091153740541078
2145,bopha2012,100.0,14.137334320507412
2149,bopha2012,0.0,0.9479414936583854
2150,bopha2012,0.0,1.134057936250243
2151,bopha2012,0.0,1.5480645137906803
2154,bopha2012,2.7443680794196257,7.000015215628661
2157,bopha2012,0.0,1.6310262702724652
2159,bopha2012,0.0,-2.1931701776975103
2161,bopha2012,0.0594782904239952,11.315804746546407
2162,bopha2012,0.0,-1.0995658044338454
2165,bopha2012,0.0,-1.097449584873328
2168,bopha2012,0.2417354723259975,2.560467905512785
2171,bopha2012,0.0,0.857554517805581
2172,bopha2012,0.0,1.1896713152682548
2173,bopha2012,0.0,-1.7379487294628437
2178,bopha2012,0.0249708673214582,0.7905435600817619
2179,bopha2012,0.0,0.09647861444446892
2180,bopha2012,0.6884720951509606,9.620114374384988
2181,bopha2012,0.0,1.9528795262702872
2183,bopha2012,0.4099843241287833,5.946918714236039
2184,bopha2012,0.0138869601444243,0.4939452617201274
2185,bopha2012,0.0,0.28604389962467014
2186,bopha2012,0.0091033227127901,10.99707368274013
2189,bopha2012,48.20924910861583,12.981952057240436
2190,bopha2012,0.0,0.26794002582429055
2192,bopha2012,0.0,0.3685356716110628
2194,bopha2012,0.0,-0.8637257299856107
2197,bopha2012,0.0,0.8433001662116295
2199,bopha2012,0.4545454545454545,0.3849631602938519
2201,bopha2012,0.0,0.39240936411076355
2202,bopha2012,0.0,0.6945576140013765
2204,bopha2012,0.0,1.6695717078306371
2205,bopha2012,0.0,-3.0747809324417843
2207,bopha2012,0.0,-0.5944457799285501
2210,bopha2012,0.0,0.6942602212793005
2211,bopha2012,0.0,0.3866321054836206
2212,bopha2012,0.2453385672227674,4.504309332641293
2216,bopha2012,0.0193685841564981,4.462839287448025
2217,bopha2012,0.0,1.4762063553184595
2218,bopha2012,0.0,0.2945465108422485
2219,bopha2012,0.1169818678104893,-0.5250034515807718
2221,bopha2012,0.0,0.8803981344766543
2235,bopha2012,0.0,-1.2741510597503094
2236,bopha2012,0.0,-0.7711043692574733
2237,bopha2012,0.0,-1.8631057595839295
2239,bopha2012,0.0310655483069276,3.4299842955221855
2240,bopha2012,0.0460405156537753,-0.37981522039320526
2242,bopha2012,0.0,1.1848444520946906
2243,bopha2012,0.0,1.1886732045761859
2246,bopha2012,0.2530364372469635,5.7576184468703975
2247,bopha2012,0.0,1.133250634250981
2251,bopha2012,0.0,1.1414981474550778
2252,bopha2012,0.025,2.405359866562394
2254,bopha2012,0.0,0.5259884808871949
2256,bopha2012,0.0,0.6836849272381338
2257,bopha2012,0.0,1.5940938476093693
2259,bopha2012,0.0521104742053152,9.118955007104113
2260,bopha2012,0.0,0.5986636470609241
2262,bopha2012,0.0,-0.7813188366167387
2263,bopha2012,0.0,-1.8584985904647506
2264,bopha2012,0.0,-2.8013246730328984
2266,bopha2012,0.0,-0.8581864421228453
2267,bopha2012,0.136147038801906,9.327077951721593
2269,bopha2012,0.0261802949646566,8.2449962050515
2270,bopha2012,0.0,-0.1766083325664365
2271,bopha2012,0.0,0.012146226217767175
2272,bopha2012,0.0,1.3665786513987346
2273,bopha2012,0.0,-2.018581776053879
2276,bopha2012,0.0,-0.7834365755876829
2279,bopha2012,0.0,-1.0126290020918582
2280,bopha2012,0.1556904873112252,1.3194791866863467
2282,bopha2012,1.66369578134284,6.8666978866448165
2283,bopha2012,0.9085034401490096,7.317827772465009
2284,bopha2012,0.2076843198338525,10.990147679178742
2285,bopha2012,0.0,-1.4335222638426988
2287,bopha2012,0.0,-1.5725426045896662
2289,bopha2012,0.0,1.2589051570840644
2293,bopha2012,0.0688705234159779,4.62606506428952
2298,bopha2012,0.0,-1.1768632970079471
2302,bopha2012,2.5485714285714285,3.6760833162340045
2304,bopha2012,0.0,0.1709427960411869
2307,bopha2012,0.0,0.40351282094301144
2308,bopha2012,0.0,0.05279692962139704
2310,bopha2012,0.0,-1.0735141305185536
2311,bopha2012,0.0,-1.8640860425273589
2312,bopha2012,0.1098503623722319,9.282580228148664
2315,bopha2012,1.2430655434559277,13.288911367809517
2317,bopha2012,0.0,0.6074799824282131
2324,bopha2012,0.0,0.3997003092999689
2325,bopha2012,0.0,0.026426022026946328
2328,bopha2012,0.0,0.8089757512312188
2329,bopha2012,0.0,1.405240032794266
2333,bopha2012,0.0158553987632788,7.174773964460174
2334,bopha2012,0.0,-2.9558513108040843
2336,bopha2012,0.0,-1.2604986920575811
2342,bopha2012,0.0,0.44303322478643814
2343,bopha2012,0.0,0.6162226943988749
2348,bopha2012,0.0,-0.6631211891181095
2349,bopha2012,0.0,-0.05844582503823981
2352,bopha2012,0.4079254079254079,6.9545548670476425
2353,bopha2012,0.0058309037900874,11.960083377064567
2354,bopha2012,0.0,0.8127356451572849
2355,bopha2012,0.0223613595706618,3.2865191176503803
2356,bopha2012,0.2442996742671009,1.7977535025223919
2357,bopha2012,0.0,-1.3477157193517715
2359,bopha2012,0.0190294957183634,6.936836738258229
2360,bopha2012,0.0,0.18018177439104743
2361,bopha2012,0.0,-1.5091439326093314
2362,bopha2012,0.0,0.182320831026221
2365,bopha2012,0.0,0.7779976296122975
2366,bopha2012,0.1340482573726541,5.660582264139794
2368,bopha2012,0.0745897563401292,0.765594961849069
2369,bopha2012,0.0161368404066483,5.503018513727257
2373,bopha2012,0.0,1.3551083065710054
2374,bopha2012,10.655737704918032,13.340369373091322
2375,bopha2012,0.0,0.5991769792994708
2376,bopha2012,33.41761967703006,13.492811107142296
2379,bopha2012,0.0,0.6805126161443731
2380,bopha2012,0.0,0.8275263113201881
2381,bopha2012,0.0,1.1270300612803856
2382,bopha2012,0.0,0.06772324990790235
2383,bopha2012,0.0,1.2467341226571813
2385,bopha2012,0.0178443968593861,11.752507011475963
2386,bopha2012,0.0,-1.1532536305367556
2388,bopha2012,0.0,-0.687618473890117
2389,bopha2012,0.0465085376386951,3.649884145575194
2391,bopha2012,0.0,1.2209072285620168
2392,bopha2012,0.0,-0.06244897495112678
2393,bopha2012,0.0,1.5913636201087593
2394,bopha2012,0.0234980809900524,10.333258399848674
2395,bopha2012,0.0,-1.1768632970079471
2396,bopha2012,0.0367511944138184,0.8895133738242542
2397,bopha2012,0.0,0.15408875462035132
2398,bopha2012,0.0,1.4788346437164206
2401,bopha2012,1.2345679012345678,10.12417032506379
2402,bopha2012,0.0354107648725212,4.341060558518679
2403,bopha2012,0.0,-0.429932333482848
2404,bopha2012,0.0,1.3001013145171632
2405,bopha2012,1.999600079984003,12.0502551227023
2408,bopha2012,0.0,0.5002729835985953
2409,bopha2012,0.0,2.075969634808125
2411,bopha2012,0.0,-0.030559012537897612
2412,bopha2012,0.4027061855670102,2.75998423949489
2413,bopha2012,0.0,0.6963343243536206
2415,bopha2012,0.0,0.019239300404290116
2416,bopha2012,0.1108237901736239,11.092216766664297
2418,bopha2012,0.2318782135295896,12.295408916899259
2420,bopha2012,0.0,0.9189252418469316
