,year,actual,predicted,typhoon
2270,,0.0,0.12039209,bopha2012
2271,,0.0,0.11793638,bopha2012
2272,,0.0,0.13845661,bopha2012
2273,,0.0,0.12211538,bopha2012
2276,,0.0,0.12039209,bopha2012
2279,,0.0,0.17286974,bopha2012
2280,,0.1556904873112252,0.58338976,bopha2012
2282,,1.66369578134284,1.7315555,bopha2012
2283,,0.9085034401490096,2.5796604,bopha2012
2284,,0.2076843198338525,17.386465,bopha2012
2285,,0.0,0.13675407,bopha2012
2287,,0.0,0.13675407,bopha2012
2289,,0.0,0.13845661,bopha2012
2293,,0.0688705234159779,1.5062014,bopha2012
2298,,0.0,0.21548435,bopha2012
2302,,2.5485714285714285,0.82626414,bopha2012
2304,,0.0,0.11793638,bopha2012
2307,,0.0,0.12082947,bopha2012
2308,,0.0,0.12039209,bopha2012
2310,,0.0,0.12246726,bopha2012
2311,,0.0,0.11886365,bopha2012
2312,,0.1098503623722319,8.692473,bopha2012
2315,,1.2430655434559277,17.22527,bopha2012
2317,,0.0,0.18939294,bopha2012
2324,,0.0,0.14583828,bopha2012
2325,,0.0,0.11946482,bopha2012
2328,,0.0,0.1353418,bopha2012
2329,,0.0,0.13938388,bopha2012
2333,,0.0158553987632788,1.5985228,bopha2012
2334,,0.0,0.12654218,bopha2012
2336,,0.0,0.12946874,bopha2012
2342,,0.0,0.11793638,bopha2012
2343,,0.0,0.11793638,bopha2012
2348,,0.0,0.12622225,bopha2012
2349,,0.0,0.12039209,bopha2012
2352,,0.4079254079254079,4.294093,bopha2012
2353,,0.0058309037900874,16.053394,bopha2012
2354,,0.0,0.14038077,bopha2012
2355,,0.0223613595706618,0.6800807,bopha2012
2356,,0.2442996742671009,1.0121415,bopha2012
2357,,0.0,0.12082947,bopha2012
2359,,0.0190294957183634,2.7754831,bopha2012
2360,,0.0,0.12082947,bopha2012
2361,,0.0,0.1274749,bopha2012
2362,,0.0,0.12082947,bopha2012
2365,,0.0,0.14962503,bopha2012
2366,,0.1340482573726541,1.5923799,bopha2012
2368,,0.0745897563401292,0.5780146,bopha2012
2369,,0.0161368404066483,1.7845424,bopha2012
2373,,0.0,0.16507511,bopha2012
2374,,10.655737704918032,19.886166,bopha2012
2375,,0.0,0.13659401,bopha2012
2376,,33.41761967703006,34.826096,bopha2012
2379,,0.0,0.22946265,bopha2012
2380,,0.0,0.1353418,bopha2012
2381,,0.0,0.13845661,bopha2012
2382,,0.0,0.12082947,bopha2012
2383,,0.0,0.18867624,bopha2012
2385,,0.0178443968593861,16.197874,bopha2012
2386,,0.0,0.11886365,bopha2012
2388,,0.0,0.13160971,bopha2012
2389,,0.0465085376386951,0.6459526,bopha2012
2391,,0.0,0.13938388,bopha2012
2392,,0.0,0.11793638,bopha2012
2393,,0.0,0.15163688,bopha2012
2394,,0.0234980809900524,15.582602,bopha2012
2395,,0.0,0.1701408,bopha2012
2396,,0.0367511944138184,0.6951834,bopha2012
2397,,0.0,0.11793638,bopha2012
2398,,0.0,0.22567122,bopha2012
2401,,1.2345679012345678,11.793085,bopha2012
2402,,0.0354107648725212,1.1634711,bopha2012
2403,,0.0,0.11886365,bopha2012
2404,,0.0,0.13998505,bopha2012
2405,,1.999600079984003,15.646821,bopha2012
2408,,0.0,0.11793638,bopha2012
2409,,0.0,0.13938388,bopha2012
2411,,0.0,0.11793638,bopha2012
2412,,0.4027061855670102,0.74996334,bopha2012
2413,,0.0,0.1353418,bopha2012
2415,,0.0,0.11946482,bopha2012
2416,,0.1108237901736239,19.973057,bopha2012
2418,,0.2318782135295896,23.90743,bopha2012
