id,adm3_en,adm3_pcode,glat,glon
"19022",Cervantes,PH012908000,16.950,120.650
"19280",Cervantes,PH012908000,17.050,120.700
"19281",Cervantes,PH012908000,17.000,120.700
"19282",Cervantes,PH012908000,16.950,120.700
"19540",Cervantes,PH012908000,17.050,120.750
"19541",Cervantes,PH012908000,17.000,120.750
"19542",Cervantes,PH012908000,16.950,120.750
"19257",Piddig,PH012818000,18.200,120.700
"19258",Piddig,PH012818000,18.150,120.700
"19517",Piddig,PH012818000,18.200,120.750
"19518",Piddig,PH012818000,18.150,120.750
"19777",Piddig,PH012818000,18.200,120.800
"18222",Pinili,PH012819000,17.950,120.500
"18482",Pinili,PH012819000,17.950,120.550
"18998",Sarrat,PH012821000,18.150,120.650
"18999",Sarrat,PH012821000,18.100,120.650
"18996",Vintar,PH012823000,18.250,120.650
"19255",Vintar,PH012823000,18.300,120.700
"19256",Vintar,PH012823000,18.250,120.700
"19513",Vintar,PH012823000,18.400,120.750
"19514",Vintar,PH012823000,18.350,120.750
"19515",Vintar,PH012823000,18.300,120.750
"19516",Vintar,PH012823000,18.250,120.750
"19772",Vintar,PH012823000,18.450,120.800
"19773",Vintar,PH012823000,18.400,120.800
"19774",Vintar,PH012823000,18.350,120.800
"19775",Vintar,PH012823000,18.300,120.800
"19776",Vintar,PH012823000,18.250,120.800
"20033",Vintar,PH012823000,18.400,120.850
"20034",Vintar,PH012823000,18.350,120.850
"20035",Vintar,PH012823000,18.300,120.850
"20294",Vintar,PH012823000,18.350,120.900
"40766",Balingasag,PH104302000,8.750,124.800
"40767",Balingasag,PH104302000,8.700,124.800
"41026",Balingasag,PH104302000,8.750,124.850
"41027",Balingasag,PH104302000,8.700,124.850
"41285",Balingasag,PH104302000,8.800,124.900
"41286",Balingasag,PH104302000,8.750,124.900
"19519",Solsona,PH012822000,18.100,120.750
"19779",Solsona,PH012822000,18.100,120.800
"20038",Solsona,PH012822000,18.150,120.850
"38463",Datu Unsay,PH153827000,6.900,124.350
"38723",Datu Unsay,PH153827000,6.900,124.400
"18236",Banayoyo,PH012902000,17.250,120.500
"18496",Lidlidda,PH012911000,17.250,120.550
"17707",Magsingal,PH012912000,17.700,120.400
"17967",Magsingal,PH012912000,17.700,120.450
"37361",Danao,PH071218000,10.000,124.150
"37622",Danao,PH071218000,9.950,124.200
"37882",Danao,PH071218000,9.950,124.250
"35549",Dauis,PH071219000,9.600,123.800
"35809",Dauis,PH071219000,9.600,123.850
"17709",Bantay,PH012903000,17.600,120.400
"17969",Bantay,PH012903000,17.600,120.450
"18228",Bantay,PH012903000,17.650,120.500
"18235",Burgos,PH012904000,17.300,120.500
"18495",Burgos,PH012904000,17.300,120.550
"17965",Cabugao,PH012905000,17.800,120.450
"18225",Cabugao,PH012905000,17.800,120.500
"18485",Cabugao,PH012905000,17.800,120.550
"18486",Cabugao,PH012905000,17.750,120.550
"17977",City of Candon,PH012906000,17.200,120.450
"18238",City of Candon,PH012906000,17.150,120.500
"17710",Caoayan,PH012907000,17.550,120.400
"37368",Dimiao,PH071220000,9.650,124.150
"38406",Duero,PH071221000,9.750,124.350
"38666",Duero,PH071221000,9.750,124.400
"38667",Duero,PH071221000,9.700,124.400
"37887",Garcia Hernandez,PH071222000,9.700,124.250
"37889",Garcia Hernandez,PH071222000,9.600,124.250
"38147",Garcia Hernandez,PH071222000,9.700,124.300
"38148",Garcia Hernandez,PH071222000,9.650,124.300
"18237",Galimuyod,PH012909000,17.200,120.500
"18758",Gregorio del Pilar,PH012910000,17.150,120.600
"38665",Guindulman,PH071223000,9.800,124.400
"38925",Guindulman,PH071223000,9.800,124.450
"38926",Guindulman,PH071223000,9.750,124.450
"36841",Inabanga,PH071224000,10.000,124.050
"37100",Inabanga,PH071224000,10.050,124.100
"37101",Inabanga,PH071224000,10.000,124.100
"37102",Inabanga,PH071224000,9.950,124.100
"37362",Inabanga,PH071224000,9.950,124.150
"18492",Nagbukel,PH012913000,17.450,120.550
"17972",Narvacan,PH012914000,17.450,120.450
"18232",Narvacan,PH012914000,17.450,120.500
"18233",Narvacan,PH012914000,17.400,120.500
"18493",Narvacan,PH012914000,17.400,120.550
"19018",Quirino,PH012915000,17.150,120.650
"19019",Quirino,PH012915000,17.100,120.650
"19278",Quirino,PH012915000,17.150,120.700
"19279",Quirino,PH012915000,17.100,120.700
"19538",Quirino,PH012915000,17.150,120.750
"19539",Quirino,PH012915000,17.100,120.750
"19798",Quirino,PH012915000,17.150,120.800
"37358",Getafe,PH071226000,10.150,124.150
"37359",Getafe,PH071226000,10.100,124.150
"37618",Getafe,PH071226000,10.150,124.200
"37619",Getafe,PH071226000,10.100,124.200
"36849",Loay,PH071228000,9.600,124.050
"41543",Medina,PH104319000,8.900,124.950
"41544",Medina,PH104319000,8.850,124.950
"41803",Medina,PH104319000,8.900,125.000
"18498",Salcedo,PH012916000,17.150,120.550
"18499",Salcedo,PH012916000,17.100,120.550
"18500",Salcedo,PH012916000,17.050,120.550
"18497",San Emilio,PH012917000,17.200,120.550
"18755",San Emilio,PH012917000,17.300,120.600
"18756",San Emilio,PH012917000,17.250,120.600
"18757",San Emilio,PH012917000,17.200,120.600
"19016",San Emilio,PH012917000,17.250,120.650
"19017",San Emilio,PH012917000,17.200,120.650
"17966",San Juan,PH012920000,17.750,120.450
"18226",San Juan,PH012920000,17.750,120.500
"18227",San Juan,PH012920000,17.700,120.500
"17711",Santa,PH012922000,17.500,120.400
"17970",Santa,PH012922000,17.550,120.450
"17971",Santa,PH012922000,17.500,120.450
"17449",Santa Catalina,PH012923000,17.600,120.350
"19816",Santa Fe,PH025012000,16.250,120.800
"19817",Santa Fe,PH025012000,16.200,120.800
"20077",Santa Fe,PH025012000,16.200,120.850
"20078",Santa Fe,PH025012000,16.150,120.850
"20337",Santa Fe,PH025012000,16.200,120.900
"20338",Santa Fe,PH025012000,16.150,120.900
"20597",Santa Fe,PH025012000,16.200,120.950
"20598",Santa Fe,PH025012000,16.150,120.950
"20858",Santa Fe,PH025012000,16.150,121.000
"21118",Santa Fe,PH025012000,16.150,121.050
"17980",Santa Cruz,PH012924000,17.050,120.450
"17981",Santa Cruz,PH012924000,17.000,120.450
"18239",Santa Cruz,PH012924000,17.100,120.500
"18240",Santa Cruz,PH012924000,17.050,120.500
"36588",Loboc,PH071229000,9.650,124.000
"36848",Loboc,PH071229000,9.650,124.050
"35544",Loon,PH071230000,9.850,123.800
"35545",Loon,PH071230000,9.800,123.800
"35546",Loon,PH071230000,9.750,123.800
"35804",Loon,PH071230000,9.850,123.850
"35805",Loon,PH071230000,9.800,123.850
"39182",Mabini,PH071231000,9.950,124.500
"39183",Mabini,PH071231000,9.900,124.500
"39443",Mabini,PH071231000,9.900,124.550
"17978",Santa Lucia,PH012925000,17.150,120.450
"17979",Santa Lucia,PH012925000,17.100,120.450
"17974",Santa Maria,PH012926000,17.350,120.450
"18234",Santa Maria,PH012926000,17.350,120.500
"17975",Santiago,PH012927000,17.300,120.450
"17976",Santiago,PH012927000,17.250,120.450
"17708",Santo Domingo,PH012928000,17.650,120.400
"17968",Santo Domingo,PH012928000,17.650,120.450
"18759",Sigay,PH012929000,17.100,120.600
"18760",Sigay,PH012929000,17.050,120.600
"17963",Sinait,PH012930000,17.900,120.450
"17964",Sinait,PH012930000,17.850,120.450
"18224",Sinait,PH012930000,17.850,120.500
"18241",Suyo,PH012932000,17.000,120.500
"18242",Suyo,PH012932000,16.950,120.500
"18501",Suyo,PH012932000,17.000,120.550
"18502",Suyo,PH012932000,16.950,120.550
"18761",Suyo,PH012932000,17.000,120.600
"18762",Suyo,PH012932000,16.950,120.600
"17982",Tagudin,PH012933000,16.950,120.450
"17474",Agoo,PH013301000,16.350,120.350
"17475",Agoo,PH013301000,16.300,120.350
"17735",Agoo,PH013301000,16.300,120.400
"17473",Aringay,PH013302000,16.400,120.350
"17733",Aringay,PH013302000,16.400,120.400
"17992",Aringay,PH013302000,16.450,120.450
"17993",Aringay,PH013302000,16.400,120.450
"17466",Bacnotan,PH013303000,16.750,120.350
"17467",Bacnotan,PH013303000,16.700,120.350
"17726",Bacnotan,PH013303000,16.750,120.400
"35290",Panglao,PH071233000,9.550,123.750
"38144",Pilar,PH071234000,9.850,124.300
"38403",Pilar,PH071234000,9.900,124.350
"38404",Pilar,PH071234000,9.850,124.350
"38405",Pilar,PH071234000,9.800,124.350
"39439",Pres. Carlos P. Garcia,PH071235000,10.100,124.550
"39699",Pres. Carlos P. Garcia,PH071235000,10.100,124.600
"18504",Sugpon,PH012931000,16.850,120.550
"18505",Sugpon,PH012931000,16.800,120.550
"18507",Sugpon,PH012931000,16.700,120.550
"20365",Balagtas,PH031402000,14.800,120.900
"17989",Bagulin,PH013304000,16.600,120.450
"18249",Bagulin,PH013304000,16.600,120.500
"17465",Balaoan,PH013305000,16.800,120.350
"17725",Balaoan,PH013305000,16.800,120.400
"17983",Bangar,PH013306000,16.900,120.450
"17984",Bangar,PH013306000,16.850,120.450
"17470",Bauang,PH013307000,16.550,120.350
"17471",Bauang,PH013307000,16.500,120.350
"21143",Norzagaray,PH031413000,14.900,121.050
"21403",Norzagaray,PH031413000,14.900,121.100
"21663",Norzagaray,PH031413000,14.900,121.150
"21664",Norzagaray,PH031413000,14.850,121.150
"21923",Norzagaray,PH031413000,14.900,121.200
"21924",Norzagaray,PH031413000,14.850,121.200
"22183",Norzagaray,PH031413000,14.900,121.250
"22184",Norzagaray,PH031413000,14.850,121.250
"22443",Norzagaray,PH031413000,14.900,121.300
"22444",Norzagaray,PH031413000,14.850,121.300
"17991",Burgos,PH013308000,16.500,120.450
"18250",Burgos,PH013308000,16.550,120.500
"17472",Caba,PH013309000,16.450,120.350
"17732",Caba,PH013309000,16.450,120.400
"17724",Luna,PH013310000,16.850,120.400
"17730",Naguilian,PH013311000,16.550,120.400
"17731",Naguilian,PH013311000,16.500,120.400
"34534",Don Victoriano Chiongbian,PH104217000,8.350,123.600
"34535",Don Victoriano Chiongbian,PH104217000,8.300,123.600
"34536",Don Victoriano Chiongbian,PH104217000,8.250,123.600
"34537",Don Victoriano Chiongbian,PH104217000,8.200,123.600
"34794",Don Victoriano Chiongbian,PH104217000,8.350,123.650
"34795",Don Victoriano Chiongbian,PH104217000,8.300,123.650
"34796",Don Victoriano Chiongbian,PH104217000,8.250,123.650
"34797",Don Victoriano Chiongbian,PH104217000,8.200,123.650
"38692",Alubijid,PH104301000,8.450,124.400
"38950",Alubijid,PH104301000,8.550,124.450
"38951",Alubijid,PH104301000,8.500,124.450
"18256",Pugo,PH013312000,16.250,120.500
"17996",Rosario,PH013313000,16.250,120.450
"17469",City of San Fernando,PH013314000,16.600,120.350
"17729",City of San Fernando,PH013314000,16.600,120.400
"17987",San Gabriel,PH013315000,16.700,120.450
"17988",San Gabriel,PH013315000,16.650,120.450
"18247",San Gabriel,PH013315000,16.700,120.500
"18248",San Gabriel,PH013315000,16.650,120.500
"18508",San Gabriel,PH013315000,16.650,120.550
"17468",San Juan,PH013316000,16.650,120.350
"17727",San Juan,PH013316000,16.700,120.400
"17728",San Juan,PH013316000,16.650,120.400
"17985",Santol,PH013318000,16.800,120.450
"17986",Santol,PH013318000,16.750,120.450
"18246",Santol,PH013318000,16.750,120.500
"18506",Santol,PH013318000,16.750,120.550
"41021",Balingoan,PH104303000,9.000,124.850
"41022",Balingoan,PH104303000,8.950,124.850
"41283",Balingoan,PH104303000,8.900,124.900
"39214",Cagayan de Oro City,PH104305000,8.350,124.500
"39215",Cagayan de Oro City,PH104305000,8.300,124.500
"39473",Cagayan de Oro City,PH104305000,8.400,124.550
"39474",Cagayan de Oro City,PH104305000,8.350,124.550
"39475",Cagayan de Oro City,PH104305000,8.300,124.550
"39476",Cagayan de Oro City,PH104305000,8.250,124.550
"39477",Cagayan de Oro City,PH104305000,8.200,124.550
"39731",Cagayan de Oro City,PH104305000,8.500,124.600
"39732",Cagayan de Oro City,PH104305000,8.450,124.600
"39733",Cagayan de Oro City,PH104305000,8.400,124.600
"39734",Cagayan de Oro City,PH104305000,8.350,124.600
"39991",Cagayan de Oro City,PH104305000,8.500,124.650
"39992",Cagayan de Oro City,PH104305000,8.450,124.650
"40252",Cagayan de Oro City,PH104305000,8.450,124.700
"40511",Cagayan de Oro City,PH104305000,8.500,124.750
"40512",Cagayan de Oro City,PH104305000,8.450,124.750
"40768",Claveria,PH104306000,8.650,124.800
"41028",Claveria,PH104306000,8.650,124.850
"41029",Claveria,PH104306000,8.600,124.850
"41284",Claveria,PH104306000,8.850,124.900
"41287",Claveria,PH104306000,8.700,124.900
"41288",Claveria,PH104306000,8.650,124.900
"41289",Claveria,PH104306000,8.600,124.900
"41546",Claveria,PH104306000,8.750,124.950
"41547",Claveria,PH104306000,8.700,124.950
"41548",Claveria,PH104306000,8.650,124.950
"41549",Claveria,PH104306000,8.600,124.950
"41807",Claveria,PH104306000,8.700,125.000
"41808",Claveria,PH104306000,8.650,125.000
"42068",Claveria,PH104306000,8.650,125.050
"42069",Claveria,PH104306000,8.600,125.050
"42328",Claveria,PH104306000,8.650,125.100
"42329",Claveria,PH104306000,8.600,125.100
"42588",Claveria,PH104306000,8.650,125.150
"42589",Claveria,PH104306000,8.600,125.150
"42848",Claveria,PH104306000,8.650,125.200
"38952",City of El Salvador,PH104307000,8.450,124.450
"39210",City of El Salvador,PH104307000,8.550,124.500
"39211",City of El Salvador,PH104307000,8.500,124.500
"41545",Gingoog City,PH104308000,8.800,124.950
"41804",Gingoog City,PH104308000,8.850,125.000
"41805",Gingoog City,PH104308000,8.800,125.000
"41806",Gingoog City,PH104308000,8.750,125.000
"42064",Gingoog City,PH104308000,8.850,125.050
"42065",Gingoog City,PH104308000,8.800,125.050
"42066",Gingoog City,PH104308000,8.750,125.050
"42067",Gingoog City,PH104308000,8.700,125.050
"42325",Gingoog City,PH104308000,8.800,125.100
"42326",Gingoog City,PH104308000,8.750,125.100
"42327",Gingoog City,PH104308000,8.700,125.100
"42584",Gingoog City,PH104308000,8.850,125.150
"42585",Gingoog City,PH104308000,8.800,125.150
"42586",Gingoog City,PH104308000,8.750,125.150
"42587",Gingoog City,PH104308000,8.700,125.150
"42844",Gingoog City,PH104308000,8.850,125.200
"42845",Gingoog City,PH104308000,8.800,125.200
"42846",Gingoog City,PH104308000,8.750,125.200
