,adm3_pcode,storm_id,value_count,v_max,dis_track_min,typhoon
86,PH012802000,2939,6,53.725487675434074,61.04999999999929,goni
87,PH012802000,294,7,57.98408544756697,51.16847173796017,goni
88,PH012802000,2940,7,51.81502203153395,44.76513553835859,goni
89,PH012802000,2941,6,65.65495966615376,36.64660620686929,goni
90,PH012802000,2942,7,45.6731283713206,75.85640919496518,goni
91,PH012802000,2943,7,51.885320376821646,26.48996944334704,goni
92,PH012802000,2944,6,38.80102648897315,9.089745993702929,goni
93,PH012802000,2945,7,64.77464287839683,33.759332043178354,goni
94,PH012802000,2946,6,60.8987888037279,41.99058877517854,goni
95,PH012802000,2947,7,35.24790757783727,106.0326011187137,goni
96,PH012802000,2948,7,43.24814076719604,20.010809578839645,goni
97,PH012802000,2949,7,49.227986054545894,48.8766520861492,goni
98,PH012802000,295,6,27.82895822218692,134.23659150918257,goni
