,adm3_pcode,storm_id,value_count,v_max,dis_track_min,typhoon
12077,PH037113000,3047,38,14.192215380537345,225.98793109368964,goni
12078,PH037113000,3048,6,12.497965737012876,261.71191934548625,goni
12079,PH037113000,305,1,12.038697820581543,270.58740270013965,goni
12080,PH037113000,3050,92,18.927452376195106,176.38175926099777,goni
12081,PH037113000,306,27,13.094195221250772,250.79614231484217,goni
12082,PH037113000,308,57,18.82816847813674,179.85038563138406,goni
12083,PH037114000,3012,14,14.387801909282693,224.71937383662785,goni
12084,PH037114000,3013,6,12.903993885204756,247.65751003326903,goni
12085,PH037114000,3016,23,14.02215354108408,229.2358283515074,goni
12086,PH037114000,3020,1,12.069725951121024,266.00358920100507,goni
12087,PH037114000,3022,25,15.95375699895627,214.03455468416522,goni
12088,PH037114000,3026,13,13.491277400044813,246.33498533502495,goni
12089,PH037114000,3027,17,15.265210093634229,215.95134868763103,goni
12090,PH037114000,3030,1,12.058338280587083,251.25568730159,goni
12091,PH037114000,3031,13,14.050832216366297,228.71326092902967,goni
12092,PH037114000,3036,9,13.323914063477892,245.55363331880517,goni
12093,PH037114000,3038,27,15.097540570046322,214.10578950899662,goni
12094,PH037114000,3039,3,12.250014025604195,259.4549065688739,goni
12095,PH037114000,3043,21,14.678674648050896,236.11972598664167,goni
12096,PH037114000,3045,35,16.886286935201,187.94106609654847,goni
12097,PH037701000,300,17,16.5505618329231,205.94912599961455,goni
12098,PH037701000,3010,20,18.546870109640217,170.9724319883296,goni
12099,PH037701000,30100,17,17.270109569630463,188.7816000038198,goni
12100,PH037701000,3012,24,31.479917599881908,100.0540478941327,goni
12101,PH037701000,3013,24,30.21373731834422,107.18830393286048,goni
12102,PH037701000,3016,24,25.87695292780114,128.13169982484223,goni
12103,PH037701000,3018,12,14.05279341650358,239.2314583046699,goni
12104,PH037701000,302,20,19.50307436669929,181.460388239434,goni
12105,PH037701000,3020,23,25.749028257041218,131.92199399646773,goni
12106,PH037701000,3021,7,13.445010150696115,244.01072210049801,goni
12107,PH037701000,3022,24,33.80111517387875,88.97326845744526,goni
12108,PH037701000,3023,21,21.068661872552486,157.0757858487618,goni
12109,PH037701000,3024,20,24.820660700705528,131.92199399646773,goni
12110,PH037701000,3025,20,21.033436356462083,160.18265355525807,goni
12111,PH037701000,3026,24,24.83780187628295,135.62914001831487,goni
12112,PH037701000,3027,20,30.548453351610714,103.68255639209195,goni
12113,PH037701000,3029,24,18.109073676879255,181.46038823943275,goni
12114,PH037701000,303,19,18.010583440418525,184.79163022958232,goni
12115,PH037701000,3030,20,25.46467505627756,130.0406571038691,goni
12116,PH037701000,3031,24,30.425987204791287,107.18830393286048,goni
12117,PH037701000,3033,19,20.043130626234163,163.23039698537895,goni
12118,PH037701000,3034,5,12.944789114434634,253.01537241268113,goni
12119,PH037701000,3036,23,26.266106912940284,123.22999837702734,goni
12120,PH037701000,3038,24,31.12100153565116,106.03260111873735,goni
12121,PH037701000,3039,20,24.112295101045408,131.475955895292,goni
12122,PH037701000,3040,9,13.651120042403546,231.04270709115153,goni
