"","task.id","learner.id","iter","mae"
"122","kammuri2019","ranger.tuned",2,6.07861591307883
"123","kammuri2019","ranger.tuned",3,5.6127576482656
"124","kammuri2019","ranger.tuned",4,5.39770513054432
"125","kammuri2019","ranger.tuned",5,5.22611581892821
"126","kammuri2019","xgboost.tuned",1,4.79075197160699
"127","kammuri2019","xgboost.tuned",2,6.03255435192727
"128","kammuri2019","xgboost.tuned",3,6.07826234306274
"129","kammuri2019","xgboost.tuned",4,5.62328169865082
"130","kammuri2019","xgboost.tuned",5,4.85757250262129
"131","ketsana2009","ranger.tuned",1,4.55591398282229
"132","ketsana2009","ranger.tuned",2,5.67464290417763
"133","ketsana2009","ranger.tuned",3,5.7565116042253
"134","ketsana2009","ranger.tuned",4,5.38008631806799
"135","ketsana2009","ranger.tuned",5,5.53252043526212
"136","ketsana2009","xgboost.tuned",1,4.6465636404828
"137","ketsana2009","xgboost.tuned",2,5.45095914799554
"138","ketsana2009","xgboost.tuned",3,5.9325094207418
"139","ketsana2009","xgboost.tuned",4,4.85082128763077
"140","ketsana2009","xgboost.tuned",5,5.29752044132902
"141","koppu2015","ranger.tuned",1,5.38440083642094
"142","koppu2015","ranger.tuned",2,5.18347417633137
"143","koppu2015","ranger.tuned",3,4.84151456096611
"144","koppu2015","ranger.tuned",4,5.81164274982342
"145","koppu2015","ranger.tuned",5,5.75516365011503
"146","koppu2015","xgboost.tuned",1,5.38544464728252
"147","koppu2015","xgboost.tuned",2,5.01845404371108
"148","koppu2015","xgboost.tuned",3,4.73267835528169
"149","koppu2015","xgboost.tuned",4,5.71408256902215
"150","koppu2015","xgboost.tuned",5,6.22610667617788
"151","krosa2013","ranger.tuned",1,5.00394666037474
"152","krosa2013","ranger.tuned",2,5.28645435601483
"153","krosa2013","ranger.tuned",3,5.50905748059117
"154","krosa2013","ranger.tuned",4,5.30576116240435
"155","krosa2013","ranger.tuned",5,5.79639151932091
"156","krosa2013","xgboost.tuned",1,5.14187407924236
"157","krosa2013","xgboost.tuned",2,4.82301584038005
"158","krosa2013","xgboost.tuned",3,5.51030087301338
"159","krosa2013","xgboost.tuned",4,5.21533252544372
"160","krosa2013","xgboost.tuned",5,6.28311751319425
"161","linfa2015","ranger.tuned",1,5.01697283950487
"162","linfa2015","ranger.tuned",2,5.40717318649561
"163","linfa2015","ranger.tuned",3,5.29414035236277
"164","linfa2015","ranger.tuned",4,5.35382078208386
"165","linfa2015","ranger.tuned",5,5.80743522332638
"166","linfa2015","xgboost.tuned",1,4.91216800508377
"167","linfa2015","xgboost.tuned",2,5.02379569641008
"168","linfa2015","xgboost.tuned",3,4.98315540570149
"169","linfa2015","xgboost.tuned",4,5.4455208965186
"170","linfa2015","xgboost.tuned",5,5.97238622775425
"171","mangkhut2018","ranger.tuned",1,5.16531379454646
"172","mangkhut2018","ranger.tuned",2,5.54571736484416
"173","mangkhut2018","ranger.tuned",3,4.9907348520224
"174","mangkhut2018","ranger.tuned",4,5.97839415949865
"175","mangkhut2018","ranger.tuned",5,5.82978437765724
"176","mangkhut2018","xgboost.tuned",1,5.15626850480953
"177","mangkhut2018","xgboost.tuned",2,5.6601721956404
"178","mangkhut2018","xgboost.tuned",3,5.26549645819693
"179","mangkhut2018","xgboost.tuned",4,5.80211645414099
"180","mangkhut2018","xgboost.tuned",5,6.11247470485496
"181","mekkhala2015","ranger.tuned",1,5.00128506645752
"182","mekkhala2015","ranger.tuned",2,4.91982437895306
"183","mekkhala2015","ranger.tuned",3,5.22859176777306
"184","mekkhala2015","ranger.tuned",4,5.67274043853894
"185","mekkhala2015","ranger.tuned",5,4.9759258012061
"186","mekkhala2015","xgboost.tuned",1,5.17967724830555
"187","mekkhala2015","xgboost.tuned",2,4.96638307629305
"188","mekkhala2015","xgboost.tuned",3,5.40327450329224
"189","mekkhala2015","xgboost.tuned",4,5.57282212833887
