pcode,value,typhoon_name
PH02152300,108.0,bopha
PH02152300,108.0,bopha
PH02152300,108.0,bopha
PH02152300,108.0,bopha
PH02152300,108.0,bopha
PH02152300,108.0,bopha
PH02152300,108.0,bopha
PH02152300,58.0,bopha
PH02152300,108.0,bopha
PH02152300,108.0,bopha
PH02152300,108.0,bopha
PH02152300,108.0,bopha
PH02152400,0.0,bopha
PH02152500,70.0,bopha
PH02152600,49.0,bopha
PH02152700,320.0,bopha
PH02152800,401.0,bopha
PH02152900,220.0,bopha
PH02310100,0.0,bopha
PH02310200,6.0,bopha
PH02310300,2.0,bopha
PH02310400,5.0,bopha
PH02310500,9.0,bopha
PH02310600,99.0,bopha
PH02310700,2.0,bopha
PH02310800,7.0,bopha
PH02310900,1.0,bopha
PH02311000,300.0,bopha
PH02311100,104.0,bopha
PH02311100,104.0,bopha
PH02311100,54.0,bopha
PH02311100,59.0,bopha
PH02311100,54.0,bopha
PH02311100,54.0,bopha
PH02311100,54.0,bopha
PH02311200,12.0,bopha
PH02311300,19.0,bopha
PH02311400,37.0,bopha
PH02311500,42.0,bopha
PH02311600,3.0,bopha
PH02311700,57.0,bopha
PH02311700,87.0,bopha
PH02311800,68.0,bopha
PH02311900,88.0,bopha
PH02312000,6.0,bopha
PH02312100,61.0,bopha
PH02312100,61.0,bopha
PH02312100,142.0,bopha
PH02312100,142.0,bopha
PH02312100,142.0,bopha
PH02312100,97.0,bopha
PH02312100,61.0,bopha
PH02312100,61.0,bopha
PH02312100,61.0,bopha
PH02312100,61.0,bopha
PH02312100,61.0,bopha
PH02312100,61.0,bopha
PH02312100,61.0,bopha
PH02312100,61.0,bopha
PH02312200,144.0,bopha
PH02312300,29.0,bopha
PH02312400,0.0,bopha
PH02312500,9.0,bopha
PH02312600,35.0,bopha
PH02312700,21.0,bopha
PH02312800,49.0,bopha
PH02312900,1.0,bopha
PH02313000,8.0,bopha
PH02313100,67.0,bopha
PH02313200,1.0,bopha
PH02313300,89.0,bopha
PH02313400,184.0,bopha
PH02313500,1.0,bopha
PH02313600,159.0,bopha
PH02313700,12.0,bopha
PH02500100,9.0,bopha
PH02500200,4.0,bopha
PH02500300,16.0,bopha
PH02500400,3.0,bopha
PH02500500,2.0,bopha
PH02500600,1.0,bopha
PH02500700,20.0,bopha
PH02500800,2.0,bopha
PH02500900,8.0,bopha
PH02501000,13.0,bopha
PH02501100,18.0,bopha
PH02501200,10.0,bopha
PH02501300,3.0,bopha
PH02501400,8.0,bopha
PH02501500,19.0,bopha
PH02570100,3.0,bopha
PH02570200,6.0,bopha
PH02570300,3.0,bopha
PH02570400,34.0,bopha
PH02570500,6.0,bopha
PH02570600,67.0,bopha
PH03080100,23.0,bopha
PH03080200,37.0,bopha
PH03080200,44.0,bopha
PH03080300,39.0,bopha
PH03080400,23.0,bopha
PH03080500,23.0,bopha
PH03080600,68.0,bopha
PH03080700,69.0,bopha
PH03080700,69.0,bopha
PH03080700,69.0,bopha
PH03080700,92.0,bopha
PH03080800,23.0,bopha
PH03080900,23.0,bopha
PH03081000,68.0,bopha
PH03081000,64.0,bopha
PH03081100,64.0,bopha
PH03081200,23.0,bopha
PH03140100,92.0,bopha
PH03140100,86.0,bopha
PH03140200,79.0,bopha
PH03140300,81.0,bopha
PH03140400,98.0,bopha
PH03140500,76.0,bopha
PH03140600,92.0,bopha
PH03140700,75.0,bopha
PH03140800,77.0,bopha
PH03140900,82.0,bopha
PH03141000,77.0,bopha
PH03141100,98.0,bopha
PH03141200,98.0,bopha
PH03141300,86.0,bopha
PH03141300,112.0,bopha
PH03141400,98.0,bopha
PH03141500,79.0,bopha
PH03141600,82.0,bopha
PH03141700,77.0,bopha
PH03141800,81.0,bopha
PH03141900,83.0,bopha
PH03142000,87.0,bopha
PH03142100,87.0,bopha
PH03142200,92.0,bopha
PH03142300,79.0,bopha
PH03142400,109.0,bopha
PH03490100,68.0,bopha
PH03490200,81.0,bopha
PH03490300,77.0,bopha
PH03490400,92.0,bopha
PH03490500,2.0,bopha
PH03490600,21.0,bopha
PH03490700,117.0,bopha
PH03490800,80.0,bopha
PH03490900,35.0,bopha
PH03491000,187.0,bopha
PH03491100,31.0,bopha
PH03491200,149.0,bopha
PH03491300,43.0,bopha
PH03491400,56.0,bopha
PH03491500,15.0,bopha
PH03491600,6.0,bopha
