gridid,glat,glon
PH015509000,15.866,120.390
PH042117000,14.414,120.860
PH015510000,15.797,120.510
PH015511000,15.789,120.440
PH045634000,13.810,122.090
PH015512000,16.058,120.590
PH015513000,16.006,120.280
PH015514000,16.323,119.870
PH015515000,15.922,120.170
PH015516000,16.028,119.840
PH015517000,15.993,120.360
PH015518000,16.054,120.340
PH015519000,15.947,119.890
PH015520000,15.865,120.000
PH015521000,15.998,120.110
PH015522000,16.003,120.220
PH015523000,16.013,119.980
PH015524000,15.909,120.450
PH015525000,16.031,120.500
PH015526000,16.062,120.400
PH015527000,15.736,120.280
PH015545000,15.825,120.350
PH015546000,15.970,120.560
PH054110000,12.226,123.310
PH015528000,16.020,120.450
PH140125000,17.832,120.900
PH015529000,16.048,120.830
PH021512000,17.548,121.690
PH021513000,18.052,121.880
PH021514000,18.251,122.120
PH015530000,16.113,120.520
PH015531000,15.869,120.630
PH015532000,15.908,120.320
PH015533000,16.145,120.430
PH034913000,15.541,121.180
PH034914000,15.532,120.760
PH034915000,15.671,121.010
PH015534000,16.086,120.450
PH015535000,16.104,120.670
PH034917000,15.733,120.890
PH071241000,9.691,123.990
PH015536000,16.124,120.770
PH015537000,15.985,120.820
PH015538000,15.988,120.420
PH015539000,15.963,120.700
PH035422000,14.885,120.620
PH082619000,11.158,125.620
PH015541000,16.168,120.550
PH015542000,16.087,120.050
PH021515000,17.747,121.750
PH021516000,18.154,121.850
PH015543000,16.013,120.740
PH015544000,15.902,120.810
PH060614000,10.898,122.170
PH060615000,11.589,122.110
PH082621000,12.218,125.450
PH015547000,15.908,120.560
PH015548000,16.043,120.540
PH020901000,20.459,121.990
PH020902000,20.769,121.840
PH020903000,20.379,121.930
PH020904000,20.405,121.950
PH020905000,20.311,121.850
PH020906000,20.369,121.950
PH021501000,18.391,121.430
PH086410000,10.068,125.000
PH021502000,17.916,121.670
PH021503000,18.200,121.540
PH021504000,17.812,121.690
PH021505000,18.535,121.520
PH021506000,17.923,121.970
PH021507000,18.351,121.500
PH021508000,18.243,121.800
PH021509000,19.187,121.650
PH072242000,10.647,124.330
PH072243000,10.980,123.930
PH072244000,11.218,123.820
PH021510000,18.270,121.680
PH021511000,18.575,121.090
PH023101000,16.815,121.670
PH021517000,18.059,121.540
PH021518000,18.445,121.320
PH021519000,17.684,121.960
PH036901000,15.735,120.610
PH021520000,17.774,121.510
PH021521000,17.914,121.390
PH021522000,18.539,121.210
PH021523000,18.393,122.220
PH021524000,18.533,121.000
PH021525000,18.216,121.900
PH023103000,16.984,121.640
PH036902000,15.245,120.460
PH118604000,6.493,125.460
PH021526000,17.913,121.530
PH141107000,16.619,120.840
PH124702000,7.313,124.760
PH021527000,17.664,121.640
PH060616000,10.772,122.070
PH060617000,11.313,122.080
PH097341000,7.519,123.170
PH021528000,17.679,121.500
PH098309000,7.842,122.710
PH021529000,17.610,121.740
PH060618000,11.030,122.200
PH101312000,8.160,125.180
PH101313000,8.526,124.950
PH023102000,16.780,121.800
PH063007000,10.909,122.720
PH063008000,11.087,122.870
PH063009000,11.402,123.100
PH063010000,11.208,122.570
PH103507000,8.147,124.080
PH023104000,16.902,121.960
PH023107000,16.935,121.660
PH023108000,16.878,121.820
PH023105000,17.063,121.710
PH043418000,14.375,121.530
PH023106000,17.386,121.880
PH043419000,14.252,121.440
PH043420000,14.388,121.440
PH023109000,16.723,121.430
PH023110000,16.687,122.260
PH023111000,17.242,122.310
PH023116000,16.968,121.720
PH023117000,17.432,122.140
PH043421000,14.423,121.480
PH023112000,16.643,121.770
PH023113000,17.074,121.800
PH023114000,17.150,122.020
PH023115000,16.547,121.820
PH142709000,16.861,121.100
PH023118000,17.270,121.740
PH023127000,16.466,121.770
PH142710000,16.697,120.950
PH023119000,17.210,121.620
PH023120000,16.978,121.880
PH023121000,17.009,122.420
PH023122000,17.310,121.610
PH023123000,17.156,121.730
PH023124000,16.789,121.520
PH023125000,17.001,121.770
PH023126000,17.123,121.610
PH142711000,16.676,121.050
PH143201000,17.537,121.160
PH023128000,16.676,121.960
PH023129000,16.742,121.620
PH023130000,17.034,121.620
PH023131000,16.903,122.150
PH023136000,17.370,121.730
PH023132000,16.875,121.580
PH023133000,17.475,121.930
PH071236000,9.911,124.090
PH023134000,17.470,121.700
PH023137000,17.292,121.920
PH025001000,16.544,121.050
PH025002000,16.237,121.020
PH025003000,16.598,121.260
PH023135000,16.678,121.550
PH025011000,16.479,121.290
PH025004000,16.389,121.090
PH025005000,16.477,121.140
PH025013000,16.545,121.170
PH025014000,16.605,121.150
PH025015000,15.909,121.320
PH025701000,16.414,121.580
PH025006000,16.642,121.350
PH025007000,16.205,121.230
PH025008000,16.118,121.180
PH031403000,14.961,120.880
PH025009000,16.329,121.340
PH025010000,16.400,120.920
PH031414000,14.720,120.920
PH031415000,14.881,120.940
PH031416000,14.810,120.780
PH031417000,14.888,120.860
PH025702000,16.442,121.490
PH031421000,15.180,121.010
PH031422000,14.993,120.960
PH031423000,14.839,120.980
PH031424000,15.070,121.190
PH034901000,15.506,120.860
PH034902000,15.658,121.220
PH034903000,15.492,120.990
PH034904000,15.235,120.840
PH034905000,16.015,121.020
PH034906000,15.786,120.700
PH034907000,15.498,121.280
PH034908000,15.285,121.000
PH034909000,15.591,121.050
PH034910000,15.327,121.210
PH034911000,15.656,120.750
PH034912000,15.381,120.870
PH025703000,16.550,121.450
PH025704000,16.354,121.780
PH025705000,16.548,121.570
PH025706000,16.132,121.520
PH030801000,14.722,120.480
PH030802000,14.589,120.410
PH030803000,14.668,120.480
PH030804000,14.877,120.420
PH030805000,14.817,120.420
PH030806000,14.538,120.560
PH030807000,14.475,120.500
PH030808000,14.705,120.320
PH030809000,14.790,120.480
PH030810000,14.590,120.530
PH030811000,14.630,120.510
PH030812000,14.760,120.490
PH031401000,14.930,121.000
PH031404000,14.799,120.930
PH031405000,14.768,120.870
PH031406000,14.931,120.920
PH031407000,14.902,120.760
PH031408000,14.844,120.880
PH031409000,14.817,120.730
PH031410000,14.833,120.820
PH031411000,14.773,120.970
PH031412000,14.752,120.960
PH031418000,14.922,120.830
PH031419000,15.062,120.990
PH031420000,14.816,121.080
PH034916000,15.854,120.900
PH034918000,15.717,120.660
PH034919000,15.493,121.110
PH034920000,15.823,121.150
PH034921000,15.376,121.020
PH034922000,15.567,120.820
PH034923000,15.686,121.110
PH034924000,15.328,120.800
PH034925000,15.271,120.910
PH034926000,15.786,121.000
PH034927000,15.360,120.940
PH034928000,15.432,120.960
PH034929000,15.622,120.870
PH034930000,15.621,120.930
PH034931000,15.763,120.810
PH034932000,15.445,120.790
PH035401000,15.165,120.550
PH035402000,14.958,120.780
PH035403000,15.180,120.760
PH035404000,15.037,120.620
PH035405000,15.104,120.870
PH035406000,14.978,120.480
PH035407000,14.986,120.590
PH035408000,14.899,120.560
PH035409000,15.217,120.550
PH035410000,14.871,120.660
PH035411000,15.234,120.670
PH035412000,14.848,120.680
PH035413000,15.102,120.690
PH035414000,14.960,120.690
PH035415000,15.099,120.470
PH035416000,15.068,120.650
PH035417000,15.034,120.810
PH035418000,15.002,120.790
PH035419000,15.106,120.750
PH036904000,15.334,120.440
PH036905000,15.336,120.660
PH035420000,15.017,120.590
PH071239000,9.721,124.050
PH035421000,15.000,120.710
PH036903000,15.683,120.410
PH036906000,15.595,120.560
PH036907000,15.446,120.710
PH143211000,17.505,121.570
PH143213000,17.410,121.430
PH036908000,15.559,120.310
PH036911000,15.622,120.640
PH143214000,17.279,121.270
PH036909000,15.735,120.540
PH036910000,15.664,120.540
PH036914000,15.815,120.590
PH144408000,17.187,121.020
PH036912000,15.674,120.630
PH036913000,15.666,120.320
PH037708000,15.612,121.450
PH041001000,13.968,120.920
PH036915000,15.581,120.440
PH071202000,9.892,124.420
PH036916000,15.481,120.590
PH036917000,15.572,120.680
PH071203000,9.768,124.550
PH036918000,15.437,120.330
PH037101000,15.238,120.190
PH037102000,15.161,120.110
PH037103000,15.631,120.080
PH041018000,13.976,121.100
PH041019000,14.119,120.680
PH071211000,9.828,124.480
PH037104000,14.928,120.200
PH037105000,15.368,120.030
PH037106000,15.538,120.050
PH037107000,14.827,120.300
PH037108000,15.447,120.050
PH037109000,14.879,120.100
PH037110000,15.074,120.110
PH037111000,15.020,120.290
PH042101000,14.118,120.840
PH037112000,15.010,120.110
PH037113000,15.759,120.030
PH037114000,14.877,120.270
PH037701000,15.745,121.570
PH037702000,16.241,122.050
PH037703000,16.400,122.090
PH037704000,16.186,121.880
PH037705000,15.269,121.370
PH037706000,15.997,121.620
PH041002000,13.866,121.010
PH041003000,13.966,120.730
PH041004000,14.012,121.100
PH041005000,13.710,121.100
PH041006000,13.801,120.970
PH041007000,13.977,120.820
PH041008000,13.864,120.650
PH041009000,13.906,121.050
PH041010000,13.819,121.140
PH041011000,14.051,120.900
PH041012000,13.955,120.880
PH041013000,13.993,120.640
PH041014000,13.940,121.170
PH041015000,13.666,121.260
PH041016000,13.730,120.910
PH041017000,14.033,121.140
PH112305000,7.837,125.570
PH041020000,13.874,121.240
PH041021000,13.805,121.270
PH112411000,6.644,125.340
PH112412000,6.905,125.390
PH041022000,13.878,121.090
PH041023000,13.758,121.390
PH041024000,13.835,120.940
PH042114000,14.130,120.890
PH042115000,14.293,120.790
PH042116000,14.436,120.880
PH041025000,13.962,120.970
PH041026000,13.818,121.030
PH042118000,14.215,120.980
PH045615000,14.013,121.400
PH045616000,13.697,122.220
PH045617000,14.882,121.460
PH045618000,13.908,122.420
PH045619000,13.877,122.120
PH041027000,13.878,120.970
PH041028000,14.076,121.180
PH041029000,13.887,120.930
PH041030000,14.093,121.010
PH041031000,14.094,121.090
PH041032000,13.753,121.220
PH041033000,13.648,120.890
PH043408000,14.481,121.470
PH043409000,14.333,121.530
PH045620000,14.676,121.580
PH045621000,14.701,122.370
PH045622000,13.837,122.290
PH045623000,14.111,121.570
PH045624000,13.937,121.610
PH045625000,13.760,122.180
PH045627000,14.232,121.700
PH045628000,13.525,122.450
PH045629000,13.927,121.840
PH045630000,13.982,121.720
PH045631000,14.973,121.880
PH045632000,14.796,122.180
PH045633000,14.178,121.950
PH041034000,14.028,120.730
PH042102000,14.178,120.920
PH042103000,14.415,120.970
PH042104000,14.302,121.030
PH042105000,14.434,120.740
PH042106000,14.313,120.960
PH042107000,14.179,120.800
PH042108000,14.322,120.900
PH042109000,14.396,120.930
PH042110000,14.191,120.870
PH042111000,14.437,120.900
PH042112000,14.162,120.740
PH042113000,14.231,120.720
PH045635000,13.941,122.010
PH045636000,14.738,121.950
PH045637000,14.055,122.120
PH045638000,14.513,121.580
PH112414000,6.579,125.300
PH112501000,7.568,126.430
PH112502000,7.050,126.020
PH112503000,7.917,126.270
PH112504000,7.360,126.430
PH112505000,7.758,126.340
PH112506000,6.539,126.130
PH112507000,7.074,126.150
PH112508000,7.209,126.430
PH112509000,6.831,126.220
PH112510000,6.792,126.120
PH112511000,7.081,126.370
PH042119000,14.116,120.950
PH042120000,14.348,120.830
PH042121000,14.264,120.670
PH042122000,14.276,120.860
PH042123000,14.310,121.010
PH050507000,13.249,123.370
PH050508000,13.184,123.490
PH050509000,13.304,123.730
PH050510000,13.383,123.650
PH050511000,13.086,123.870
PH050512000,13.167,123.400
PH050513000,13.063,123.460
PH050514000,13.324,123.490
PH050515000,13.234,124.060
PH050516000,13.244,123.750
PH050517000,13.333,123.690
PH050518000,13.462,123.610
PH051601000,13.990,122.970
PH051602000,14.268,122.490
PH051603000,14.106,122.940
PH051604000,14.015,122.870
PH051605000,14.263,122.650
PH051606000,14.136,122.690
PH051607000,13.974,123.040
PH051608000,14.254,122.770
PH043401000,14.043,121.240
PH043402000,14.145,121.260
PH043403000,14.307,121.060
PH043404000,14.239,121.110
PH043405000,14.187,121.120
PH051717000,13.822,123.510
PH051718000,13.665,122.970
PH051719000,13.853,122.890
PH051720000,13.672,123.160
PH043406000,14.133,121.290
PH043407000,14.246,121.550
PH051727000,13.555,122.990
PH051728000,13.589,123.290
PH051729000,13.747,123.720
PH051730000,13.865,122.770
PH051731000,13.561,123.510
PH043410000,14.142,121.430
PH051732000,13.524,123.120
PH051733000,13.692,123.550
PH051734000,13.794,122.960
PH051735000,14.016,123.290
PH071240000,9.780,124.280
PH043411000,14.153,121.220
PH043412000,14.188,121.520
PH043413000,14.298,121.510
PH043414000,14.430,121.400
PH052009000,13.704,124.250
PH052010000,13.847,124.310
PH052011000,13.601,124.190
PH054101000,12.439,123.340
PH054102000,12.424,123.480
PH054103000,12.021,123.230
PH054104000,12.400,123.760
PH054105000,12.001,123.950
PH054106000,12.019,123.750
PH054107000,12.868,123.220
PH054108000,12.154,123.850
PH054109000,11.812,124.010
PH043415000,14.207,121.430
PH043417000,14.134,121.400
PH043416000,14.139,121.480
PH054111000,12.337,123.560
PH054112000,12.203,123.520
PH054113000,12.274,123.660
PH054114000,12.630,123.630
PH054115000,12.098,123.890
PH054116000,11.856,124.030
PH054117000,11.928,123.890
PH054118000,12.479,123.720
PH054119000,12.557,123.690
PH054120000,13.058,123.020
PH054121000,12.171,123.760
PH056202000,12.833,124.110
PH056203000,12.684,123.920
PH056204000,12.757,124.100
PH056205000,12.859,124.040
PH056206000,12.950,123.810
PH056207000,12.971,123.570
PH056208000,12.925,124.100
PH043422000,14.231,121.360
PH043423000,14.095,121.400
PH043424000,14.050,121.330
PH043425000,14.349,121.040
PH071242000,9.666,123.870
PH071243000,10.117,124.270
PH043426000,14.261,121.400
PH072245000,9.443,123.320
PH072246000,10.025,123.570
PH043427000,14.511,121.420
PH043428000,14.272,121.090
PH072247000,10.761,123.960
PH072248000,10.931,124.000
PH072249000,10.839,123.900
PH072250000,10.284,123.820
PH072251000,10.359,123.690
PH072252000,10.692,123.850
PH072253000,10.662,124.480
PH076101000,9.261,123.630
PH076102000,9.240,123.600
PH076103000,9.140,123.600
PH076104000,9.178,123.650
PH076105000,9.153,123.520
PH076106000,9.193,123.530
PH082601000,12.247,125.310
PH082602000,11.197,125.360
PH082603000,11.404,125.390
PH082604000,11.588,125.330
PH082605000,11.968,125.320
PH082606000,12.065,125.330
PH082607000,11.274,125.470
PH082608000,11.163,125.450
PH082609000,10.854,125.730
PH082610000,11.323,125.580
PH043429000,14.477,121.490
PH082611000,12.277,125.210
PH082612000,11.197,125.280
PH082613000,11.352,125.440
PH082614000,12.124,125.190
PH082615000,11.464,125.360
PH082616000,11.090,125.700
PH082617000,12.163,125.380
PH082618000,11.178,125.500
PH043430000,14.205,121.330
PH045601000,13.884,121.920
PH045602000,14.118,122.020
PH045603000,13.985,121.880
PH045605000,13.740,122.430
PH045606000,14.916,121.980
PH045607000,14.054,122.280
PH045608000,13.935,121.420
PH045610000,13.644,122.310
PH082620000,11.732,125.370
PH045639000,14.184,121.630
PH045640000,13.340,122.640
PH045641000,13.901,121.290
PH045642000,13.295,122.570
PH045644000,13.556,122.530
PH045645000,13.929,121.500
PH045646000,14.027,122.530
PH045647000,14.037,121.610
PH045648000,13.939,121.330
PH045649000,13.861,122.000
PH082622000,11.796,125.370
PH082623000,11.872,125.340
PH083701000,10.644,125.050
PH045801000,14.540,121.160
PH045802000,14.656,121.230
PH045803000,14.575,121.270
PH045804000,14.457,121.200
PH045805000,14.587,121.110
PH045806000,14.406,121.230
PH045807000,14.339,121.330
PH045808000,14.773,121.210
PH045809000,14.534,121.230
PH045810000,14.454,121.340
PH045811000,14.683,121.160
PH045812000,14.604,121.350
PH045813000,14.555,121.130
PH045814000,14.561,121.210
PH050501000,13.286,123.840
PH084810000,12.301,125.020
PH084811000,12.535,124.360
PH084812000,12.440,125.200
PH084813000,12.412,124.770
PH084814000,12.514,125.140
PH084815000,12.459,124.930
PH084816000,12.509,124.430
PH084817000,12.410,124.260
PH084818000,12.350,124.390
PH084819000,12.493,124.480
PH084820000,12.463,124.870
PH084821000,12.340,124.060
PH050502000,13.140,123.630
PH050503000,13.115,123.680
PH050504000,13.173,123.570
PH050505000,13.049,123.580
PH050506000,13.099,123.750
PH051609000,14.081,122.860
PH051610000,14.151,122.380
PH051611000,14.141,122.920
PH051612000,14.253,122.900
PH051701000,13.482,123.360
PH051702000,13.348,123.250
PH051703000,13.320,123.310
PH051704000,13.684,123.200
PH084822000,12.281,124.860
PH084823000,12.431,124.400
PH084824000,12.314,124.640
PH086001000,11.928,124.310
PH086002000,11.390,125.150
PH086003000,12.191,124.580
PH086004000,11.605,125.080
PH086005000,11.838,124.880
PH086006000,11.630,124.780
PH051705000,13.430,123.510
PH051706000,13.456,123.260
PH051707000,13.741,123.070
PH051708000,13.710,123.270
PH086007000,12.070,124.820
PH051709000,13.624,123.150
PH051710000,13.644,123.130
PH051711000,13.798,123.830
PH051712000,13.949,122.680
PH051713000,13.602,123.130
PH051714000,13.866,123.630
PH051715000,13.730,123.430
PH051716000,13.451,123.430
PH051721000,13.595,123.190
PH051722000,13.515,123.190
PH051723000,13.396,123.340
PH051724000,13.643,123.250
PH051725000,13.581,123.380
PH086008000,11.720,125.180
PH086009000,11.851,124.970
PH086010000,11.206,125.210
PH051726000,13.589,123.070
PH051736000,13.626,123.460
PH051737000,13.867,123.350
PH052001000,13.962,124.260
PH052002000,13.694,124.360
PH052003000,13.605,124.300
PH052004000,13.873,124.180
PH052005000,13.785,124.350
PH052006000,14.031,124.190
PH052007000,13.910,124.290
PH052008000,13.662,124.110
PH056209000,12.712,124.020
PH056210000,12.811,123.970
PH056211000,12.809,123.880
PH056212000,12.589,124.030
PH056213000,12.952,123.690
PH056214000,13.036,124.150
PH056215000,12.657,124.080
PH056216000,13.018,123.990
PH060401000,11.514,122.460
PH060402000,11.527,122.370
PH060408000,11.678,122.310
PH060403000,11.599,122.320
PH060404000,11.569,122.480
PH060405000,11.832,121.910
PH060406000,11.745,122.160
PH060407000,11.694,122.370
PH060409000,11.416,122.290
PH060410000,11.466,122.220
PH060411000,11.710,122.270
PH060412000,11.894,121.940
PH060413000,11.605,122.220
PH060414000,11.844,122.030
PH060415000,11.635,122.410
PH060416000,11.718,122.330
PH060417000,11.741,122.230
PH060601000,10.447,121.960
PH060602000,11.254,122.120
PH060603000,10.849,121.980
PH060604000,11.094,122.130
PH060605000,11.971,121.440
PH060606000,11.423,122.100
PH060607000,10.521,121.970
PH060608000,10.666,122.010
PH060609000,11.156,122.110
PH060610000,11.787,121.950
PH060611000,11.742,122.090
PH060612000,10.923,122.030
PH060613000,10.772,121.950
PH086011000,12.194,125.010
PH086012000,11.899,125.010
PH061901000,11.311,122.760
PH061902000,11.375,122.700
PH086013000,11.545,125.040
PH086014000,12.070,125.050
PH086015000,11.697,125.020
PH086016000,12.058,124.710
PH086017000,11.434,125.000
PH086018000,11.926,124.430
PH086019000,11.509,124.840
PH061903000,11.312,122.610
PH061904000,11.249,122.740
PH061905000,11.520,122.680
PH061906000,11.367,122.400
PH086025000,11.983,124.900
PH086026000,11.964,124.750
PH086401000,10.289,125.230
PH086402000,10.382,124.920
PH086403000,10.385,125.150
PH086404000,10.345,125.230
PH086405000,10.329,125.060
PH086406000,10.133,125.160
PH086407000,10.183,124.860
PH086408000,10.091,124.950
PH086409000,10.166,124.960
PH061907000,11.353,122.840
PH061908000,11.431,122.580
PH061909000,11.535,122.830
PH086411000,9.975,125.240
PH086412000,10.317,125.110
PH086413000,10.069,125.160
PH086414000,10.272,125.190
PH086415000,9.990,125.250
PH086416000,10.514,125.120
PH086417000,10.449,124.990
PH086418000,10.275,124.950
PH086419000,9.931,125.070
PH087801000,11.635,124.400
PH087802000,11.505,124.480
PH087803000,11.505,124.560
PH087804000,11.562,124.550
PH087805000,11.636,124.500
PH087806000,11.676,124.420
PH087807000,11.789,124.320
PH087808000,11.570,124.430
PH097201000,8.593,123.440
PH097202000,8.505,123.340
PH097203000,8.399,123.270
PH061910000,11.442,122.770
PH061911000,11.462,123.010
PH061912000,11.438,122.860
PH061913000,11.419,122.940
PH061914000,11.556,122.740
PH061915000,11.500,122.580
PH061916000,11.429,122.660
PH061917000,11.257,122.410
PH063001000,11.145,122.990
PH063002000,10.854,122.380
PH063003000,11.002,122.730
PH063004000,10.991,122.530
PH063005000,11.455,123.080
PH063006000,11.040,122.790
PH063012000,10.881,122.490
PH063013000,11.151,122.490
PH063014000,11.520,123.180
PH063015000,11.217,123.110
PH063016000,11.012,122.660
PH063017000,11.056,122.580
PH063018000,10.835,122.710
PH063019000,11.453,123.130
PH063020000,10.693,122.310
PH063021000,10.754,122.240
PH063022000,10.723,122.550
PH063023000,10.996,122.420
PH063025000,11.109,122.390
PH063026000,10.790,122.590
PH063027000,11.229,122.910
PH063028000,10.825,122.340
PH063029000,10.926,122.390
PH063030000,10.685,122.180
PH063031000,10.930,122.580
PH063032000,10.872,122.570
PH063034000,10.725,122.460
PH063035000,11.167,122.660
PH140114000,17.327,120.680
PH063036000,10.770,122.530
PH063037000,10.930,122.630
PH063038000,11.327,123.070
PH118201000,7.689,126.150
PH063039000,11.105,122.710
PH063040000,10.596,122.070
PH071212000,9.836,124.190
PH071213000,9.849,124.030
PH071214000,9.945,124.040
PH118202000,7.863,125.800
PH118203000,7.300,125.930
PH118204000,7.404,125.940
PH063041000,10.785,122.470
PH063042000,11.153,122.820
PH071215000,9.689,123.930
PH071216000,9.719,123.900
PH071217000,9.907,124.270
PH063043000,10.823,122.540
PH063044000,11.302,122.990
PH063045000,10.715,122.370
PH063046000,10.801,122.280
PH063047000,10.827,122.620
PH067901000,10.689,122.660
PH067902000,10.607,122.570
PH067903000,10.468,122.540
PH067904000,10.594,122.670
PH067905000,10.514,122.610
PH071201000,9.637,123.960
PH071204000,9.790,123.910
PH071205000,9.636,123.910
PH071206000,9.766,123.990
PH071207000,9.804,124.120
PH071208000,9.706,124.110
PH071209000,10.046,124.160
PH071210000,9.883,123.880
PH071237000,9.855,123.950
PH071238000,9.979,124.330
PH071244000,10.045,124.320
PH071245000,9.926,123.970
PH071246000,9.998,124.450
PH071247000,9.664,124.210
PH071248000,10.129,124.370
PH072201000,9.965,123.440
PH072202000,9.711,123.460
PH072203000,9.744,123.380
PH072204000,10.194,123.570
PH072205000,9.918,123.540
PH072206000,10.580,123.790
PH072207000,9.850,123.410
PH072208000,10.483,123.770
PH072209000,11.188,123.720
PH072210000,10.113,123.530
PH072211000,11.019,123.990
PH072212000,9.641,123.440
PH072213000,10.849,123.990
PH072214000,10.119,123.630
PH072215000,10.599,123.970
PH072216000,10.670,123.970
PH072217000,10.379,123.860
PH072218000,10.472,123.970
PH072219000,10.396,123.950
PH072220000,10.259,123.950
PH072221000,11.227,124.020
PH072222000,9.800,123.480
PH072223000,10.540,123.940
PH072224000,10.041,123.470
PH072225000,9.579,123.340
PH072226000,10.287,123.990
PH072227000,10.420,123.970
PH072228000,11.266,123.730
PH072229000,9.656,123.360
PH072230000,10.345,123.940
PH072231000,11.143,123.970
PH072232000,10.277,123.780
PH072233000,9.938,123.420
PH072234000,10.243,123.720
PH072235000,9.539,123.400
PH072236000,10.770,124.530
PH072237000,10.266,123.610
PH072238000,10.672,124.430
PH072239000,9.994,123.450
PH072240000,9.508,123.320
PH072241000,10.185,123.670
PH083702000,11.220,124.860
PH083703000,10.924,124.710
PH083705000,11.386,124.900
PH083706000,11.306,124.770
PH083707000,10.335,124.840
PH083708000,10.675,124.830
PH083710000,10.935,124.830
PH083713000,11.478,124.370
PH083714000,11.288,124.580
PH083715000,11.254,124.690
PH083717000,11.069,124.870
PH083718000,10.965,125.000
PH083719000,10.415,124.820
PH083720000,10.457,124.760
PH083721000,10.515,124.810
PH083722000,10.922,124.450
PH083723000,11.160,124.760
PH083724000,10.748,124.910
PH118205000,7.338,126.160
