pcode_level4;perc_u5;perc_o65
PH012806008;0.131510417;0.067708333
PH012806009;0.104078762;0.054852321
PH012806010;0.112977099;0.102290076
PH012806011;0.101241019;0.079686479
PH012806013;0.12191358;0.080246914
PH012806014;0.136288998;0.057471264
PH012807001;0.152046784;0.070175439
PH012807003;0.11366539;0.062579821
PH012807004;0.135399674;0.058727569
PH012808001;0.100358423;0.075268817
PH012808002;0.115384615;0.064102564
PH012808003;0.082725061;0.082725061
PH012808004;0.087570621;0.084745763
PH012808005;0.11627907;0.124031008
PH012808006;0.113893376;0.081583199
PH012808007;0.087108014;0.080139373
PH012808008;0.100628931;0.106918239
PH012808009;0.125523013;0.129707113
PH012808010;0.137108793;0.077496274
PH012808011;0.099815157;0.064695009
PH012808013;0.097178683;0.090909091
PH012808014;0.104825291;0.081530782
PH012808015;0.098083427;0.100338219
PH012808016;0.094052559;0.077455048
PH012808017;0.095430108;0.080645161
PH012808018;0.119476268;0.083469722
PH012808019;0.123142251;0.067940552
PH012808020;0.073333333;0.093333333
PH012808021;0.109215017;0.081911263
PH012808022;0.140328698;0.056890013
PH012808023;0.079254079;0.090909091
PH012808024;0.118393235;0.046511628
PH012809001;0.105710814;0.085054678
PH012809002;0.100358423;0.081242533
PH012809003;0.110082305;0.075102881
PH012809004;0.127952756;0.062335958
PH012809005;0.137137137;0.075575576
PH012809006;0.116259478;0.079191238
PH012809007;0.104089219;0.137546468
PH012809009;0.116755118;0.070507961
PH012809010;0.100430416;0.104734577
PH012809011;0.114035088;0.101754386
PH012809012;0.123569794;0.098398169
PH012809013;0.123994638;0.073726542
PH012809014;0.132596685;0.066298343
PH012809015;0.120234604;0.091886608
PH012809016;0.109879032;0.077620968
PH012809017;0.146084337;0.057228916
PH012809018;0.125581395;0.07751938
PH012809019;0.128510638;0.06893617
PH012809020;0.120754717;0.06819407
PH012809021;0.122727273;0.085227273
PH012809022;0.109691961;0.088655147
PH012809023;0.119565217;0.074879227
PH012809024;0.130170316;0.080291971
PH012809025;0.127297481;0.065350579
PH012809026;0.103864734;0.079710145
PH012809027;0.128205128;0.070769231
PH012809028;0.106995885;0.085733882
PH012809029;0.136490251;0.068709378
PH012809030;0.110714286;0.072857143
PH012809031;0.124807396;0.081664099
PH012809032;0.132132132;0.092092092
PH012810001;0.120672098;0.051425662
PH012810002;0.098677518;0.054933876
PH012811001;0.103762828;0.064994299
PH012811002;0.130965594;0.07436182
PH012811003;0.12915601;0.057544757
PH012811004;0.121004566;0.049467275
PH012811005;0.102345416;0.085287846
PH012811006;0.097836312;0.053621825
PH012811008;0.098979592;0.095918367
PH012811009;0.097637795;0.061417323
PH012811011;0.102642276;0.066056911
PH012811012;0.115810675;0.075528701
PH012811013;0.121311475;0.091803279
PH012811014;0.110831234;0.113350126
PH012811015;0.122881356;0.073728814
PH012811016;0.103589744;0.088205128
PH012811017;0.120614035;0.074561404
PH012811018;0.118679051;0.075335397
PH012811019;0.112687813;0.072621035
PH012811020;0.089643168;0.088772846
PH012811021;0.089655172;0.089655172
PH012811022;0.138349515;0.074029126
PH012812001;0.114628821;0.076419214
PH012812002;0.121420389;0.080183276
PH012812003;0.110410095;0.09148265
PH012812004;0.124536694;0.063009637
PH012812005;0.104781997;0.082278481
PH012812006;0.108687476;0.067318541
PH012812007;0.116883117;0.066278549
PH012812008;0.107790822;0.081643543
PH012812009;0.095926413;0.066688568
PH012812010;0.122377622;0.062237762
PH012812011;0.105704698;0.083892617
PH012812012;0.113801453;0.075867635
PH012812013;0.115329169;0.08024988
PH012812014;0.111442786;0.061691542
PH012812015;0.116182573;0.073651452
PH012812016;0.096605744;0.074412533
PH012812017;0.114180479;0.098526703
PH012812019;0.105532787;0.084016393
PH012812020;0.12716763;0.082080925
PH012812021;0.102727273;0.079090909
PH012812022;0.104878049;0.080487805
PH012812023;0.106821107;0.082368082
PH012812024;0.105736783;0.081552306
PH012812026;0.119905493;0.057885411
PH012812027;0.118821293;0.059885932
PH012812028;0.132394366;0.069483568
PH012812029;0.124789207;0.051854975
PH012812030;0.127006281;0.046755059
PH012812031;0.132075472;0.04851752
PH012812032;0.094748858;0.083333333
PH012812033;0.115044248;0.054458816
PH012812034;0.114423077;0.082692308
PH012812035;0.113636364;0.067340067
PH012812036;0.105527638;0.091708543
PH012812037;0.091008772;0.088815789
PH012812038;0.107038734;0.051228655
PH012812039;0.090066225;0.056291391
PH012812040;0.095823096;0.083538084
PH012812041;0.088235294;0.072106262
PH012812042;0.08841733;0.08841733
PH012812043;0.095041322;0.092975207
PH012812044;0.100123609;0.071693449
PH012812045;0.115731116;0.058212058
PH012812046;0.094196804;0.066442389
PH012812047;0.122722401;0.06323687
PH012812048;0.107358263;0.07358263
PH012812049;0.097772277;0.079826733
PH012812050;0.126537088;0.054343514
PH012812053;0.097009482;0.093362509
PH012812054;0.073239437;0.099530516
PH012812055;0.102389078;0.062002275
PH012812056;0.094632768;0.083333333
PH012812057;0.083598726;0.085191083
PH012812058;0.066484517;0.08287796
PH012812059;0.098942128;0.075295582
PH012812060;0.096226415;0.110377358
PH012812061;0.087562189;0.070646766
PH012812062;0.123811536;0.041200085
PH012812063;0.088265836;0.104880582
PH012812064;0.092209857;0.108108108
PH012812065;0.102905145;0.071053553
PH012812066;0.083576288;0.077745384
PH012812067;0.09710897;0.071905115
PH012812068;0.089959373;0.091700522
PH012812069;0.088520055;0.098201936
PH012812070;0.094049904;0.087332054
PH012812071;0.079800499;0.078553616
PH012812072;0.096703297;0.081318681
PH012812073;0.099916736;0.089092423
PH012812074;0.104361371;0.072819315
PH012812075;0.096153846;0.088286713
PH012812076;0.104881266;0.068601583
PH012812077;0.088719899;0.082382763
PH012812078;0.086312119;0.081081081
PH012812079;0.112781955;0.066165414
PH012812080;0.108923885;0.072178478
PH012812081;0.107673267;0.061262376
PH012812082;0.109327984;0.074222668
PH012812083;0.111837328;0.078431373
PH012812084;0.123966942;0.078888054
PH012813001;0.112250712;0.077492877
PH012813003;0.12716763;0.063583815
PH012813004;0.126552795;0.070652174
PH012813005;0.131517961;0.068945539
PH012813006;0.102998066;0.076402321
PH012813007;0.107936508;0.078306878
PH012813008;0.109139308;0.081632653
PH012813009;0.107929515;0.075770925
PH012813010;0.131016043;0.085561497
PH012813011;0.115875912;0.066605839
PH012813012;0.101398601;0.069347319
PH012813013;0.113475177;0.079432624
PH012813014;0.115681234;0.035989717
PH012814001;0.114942529;0.088669951
PH012814002;0.127027027;0.064864865
PH012814003;0.113851992;0.068311195
PH012814004;0.12724758;0.058091286
PH012814005;0.125;0.063
PH012814006;0.102228047;0.083879423
PH012814007;0.13474026;0.060064935
PH012814008;0.140765766;0.054054054
PH012814009;0.117486339;0.052367942
PH012814010;0.125779626;0.06029106
PH012814011;0.127934272;0.064553991
PH012815001;0.094452774;0.095952024
PH012815003;0.111514053;0.068902992
PH012815004;0.141158221;0.039813857
PH012815005;0.111994698;0.080185553
PH012815006;0.159913169;0.049927641
PH012815007;0.093596059;0.079802956
PH012815008;0.10330993;0.070210632
PH012815010;0.120181406;0.046712018
PH012815011;0.134337001;0.056166763
PH012815012;0.121056782;0.052050473
PH012815013;0.116587356;0.072739633
PH012815014;0.146788991;0.074541284
PH012815015;0.11863314;0.056737589
PH012815016;0.136801541;0.060372511
PH012815017;0.12633833;0.073875803
PH012815018;0.139451728;0.036948749
PH012816001;0.139849624;0.064661654
PH012816002;0.118829982;0.096892139
PH012816003;0.132678133;0.108108108
PH012816004;0.112690355;0.092385787
PH012816005;0.108267717;0.072834646
PH012816006;0.075875486;0.126459144
PH012816007;0.087209302;0.095930233
PH012816008;0.085578447;0.096671949
PH012816009;0.122655123;0.067821068
PH012816010;0.12109375;0.080729167
PH012816011;0.11668883;0.073803191
PH012816012;0.102643857;0.097978227
PH012816013;0.085201794;0.091180867
PH012816014;0.096723869;0.096723869
PH012816015;0.050632911;0.130801688
PH012816016;0.076271186;0.118644068
PH012816017;0.110912343;0.092128801
PH012816018;0.129970902;0.086323957
PH012816019;0.092888244;0.088534107
PH012816020;0.108134921;0.092261905
PH012816021;0.084337349;0.128514056
PH012816022;0.086142322;0.119850187
PH012816025;0.102009274;0.095826893
PH012816028;0.09623431;0.10376569
PH012816029;0.091334895;0.096018735
PH012816030;0.107648725;0.089235127
PH012816031;0.100217865;0.063180828
PH012816032;0.127295757;0.066497783
PH012816033;0.10236822;0.103132162
PH012816034;0.102015113;0.114609572
PH012816035;0.075757576;0.113636364
PH012817001;0.095744681;0.069148936
PH012817002;0.14037123;0.06612529
PH012817003;0.101532567;0.093869732
PH012817004;0.138823529;0.050980392
PH012817005;0.113402062;0.078608247
PH012817006;0.133333333;0.079166667
PH012817007;0.132352941;0.094117647
PH012817008;0.071895425;0.10130719
PH012817009;0.117875333;0.057724958
PH012817010;0.121890547;0.087064677
PH012817011;0.081881533;0.057491289
PH012817012;0.123046875;0.072265625
PH012817014;0.119366626;0.055420219
PH012817015;0.146945089;0.064191802
PH012817016;0.106060606;0.08677686
PH012817017;0.125581395;0.079069767
PH012817018;0.093617021;0.104680851
PH012817019;0.092235539;0.101615425
PH012817020;0.100483092;0.096618357
PH012817021;0.114022663;0.097025496
PH012817022;0.107692308;0.111538462
PH012817023;0.119047619;0.062656642
PH012817024;0.140271493;0.056561086
PH012817025;0.134812287;0.04778157
PH012817026;0.118644068;0.073220339
PH012817027;0.104689204;0.082878953
PH012817028;0.093596059;0.15270936
PH012817029;0.096774194;0.016129032
PH012817030;0.105392157;0.084558824
PH012817031;0.104790419;0.101796407
PH012817032;0.126099707;0.060117302
PH012817033;0.139534884;0.074418605
PH012817034;0.101983003;0.093484419
PH012818001;0.077669903;0.111650485
PH012818002;0.091443501;0.108425865
PH012818003;0.085158151;0.077047851
PH012818004;0.102362205;0.128608924
PH012818005;0.087542088;0.084175084
PH012818006;0.120723047;0.077469335
PH012818007;0.107515658;0.086638831
PH012818008;0.10326087;0.078416149
PH012818009;0.112135177;0.093701997
PH012818010;0.109550562;0.082865169
PH012818011;0.123756906;0.073480663
PH012818012;0.098827471;0.113902848
PH012818013;0.092356688;0.100318471
PH012818014;0.097402597;0.076298701
PH012818015;0.092604502;0.107395498
PH012818016;0.107929515;0.103524229
PH012818017;0.116202946;0.072013093
PH012818018;0.138702461;0.061521253
PH012818019;0.074285714;0.098571429
PH012818020;0.096579477;0.076458753
PH012818021;0.101321586;0.126284875
PH012818022;0.100585938;0.103515625
PH012818023;0.115168539;0.091994382
PH012819001;0.085667216;0.085667216
PH012819002;0.088832487;0.101522843
PH012819003;0.104059041;0.081918819
PH012819004;0.135048232;0.090032154
PH012819005;0.109263658;0.09976247
PH012819006;0.123015873;0.091269841
PH012819007;0.081578947;0.097368421
PH012819008;0.094218415;0.104925054
PH012819009;0.098013245;0.095364238
PH012819010;0.095808383;0.092814371
PH012819011;0.092575619;0.083409716
PH012819012;0.110526316;0.102631579
PH012819013;0.108559499;0.106471816
PH012819014;0.114325069;0.095041322
PH012819015;0.116045845;0.095988539
PH012819016;0.097087379;0.105987055
PH012819017;0.125223614;0.076923077
PH012819018;0.067615658;0.131672598
PH012819019;0.102195946;0.066722973
PH012819020;0.089958159;0.089958159
PH012819021;0.101248266;0.081830791
PH012819022;0.114754098;0.086520947
PH012819023;0.070038911;0.108949416
PH012819024;0.100519931;0.105719237
PH012819025;0.075855689;0.086031452
PH012820001;0.105065666;0.059412133
PH012820002;0.11292517;0.075510204
PH012820003;0.118719431;0.0560249
PH012820004;0.103723404;0.102393617
PH012820005;0.111238532;0.074541284
PH012820006;0.088917526;0.097938144
PH012820007;0.095813953;0.094883721
PH012820008;0.108655617;0.079189687
PH012820009;0.111757858;0.066356228
PH012820010;0.113111986;0.064715813
PH012820011;0.098230088;0.085840708
PH012820012;0.111805327;0.063137126
PH012820013;0.122529644;0.06763285
PH012820014;0.101156069;0.078034682
PH012820015;0.126728972;0.059065421
PH012820016;0.118929016;0.067870486
PH012820017;0.112346401;0.076067876
PH012820018;0.087591241;0.099061522
PH012820019;0.108539945;0.077134986
PH012820020;0.101310044;0.065502183
PH012820021;0.098203593;0.079041916
PH012820022;0.123723042;0.059023837
PH012820023;0.108718487;0.06302521
PH012820024;0.132433783;0.052973513
PH012821001;0.091059603;0.07615894
PH012821002;0.106152806;0.082488168
PH012821003;0.099326599;0.085858586
PH012821004;0.136;0.092
PH012821005;0.113963682;0.099561678
PH012821006;0.093357271;0.10951526
PH012821007;0.094845361;0.111340206
PH012821008;0.121777778;0.081777778
PH012821009;0.097927091;0.095067906
PH012821010;0.118677043;0.08690013
PH012821011;0.095663265;0.100765306
PH012821012;0.104668675;0.083584337
PH012821014;0.102697095;0.091286307
PH012821015;0.135135135;0.081081081
PH012821016;0.109658678;0.07480029
PH012821017;0.098895028;0.106077348
PH012821018;0.112676056;0.102112676
PH012821019;0.097859327;0.072375127
PH012821020;0.088297872;0.113829787
PH012821021;0.079470199;0.109271523
PH012821022;0.097135741;0.118306351
PH012821023;0.088845015;0.110562685
PH012821024;0.131034483;0.107586207
PH012821025;0.09483667;0.087460485
PH012822001;0.112244898;0.070294785
PH012822002;0.111459969;0.087912088
PH012822003;0.106896552;0.064655172
PH012822004;0.105935387;0.085649887
PH012822005;0.099876695;0.072749692
PH012822006;0.112478032;0.072056239
PH012822007;0.108243728;0.056630824
PH012822008;0.098371777;0.087516961
PH012822009;0.097643098;0.079545455
PH012822010;0.093184979;0.097357441
PH012822011;0.06122449;0.096209913
PH012822012;0.102584182;0.086139389
PH012822013;0.10989011;0.077878643
PH012822014;0.094454073;0.083188908
PH012822015;0.125356125;0.101139601
PH012822016;0.118248175;0.097810219
PH012822017;0.134984026;0.071086262
PH012822018;0.089090909;0.070909091
PH012822019;0.133828996;0.078066914
PH012822020;0.098509934;0.078642384
PH012822021;0.116740088;0.082599119
PH012822022;0.079961464;0.087668593
PH012823001;0.096899225;0.104651163
PH012823003;0.11023622;0.108267717
PH012823005;0.098958333;0.096354167
PH012823010;0.106864275;0.095943838
PH012823011;0.100494234;0.092257002
PH012823012;0.073741007;0.102517986
PH012823013;0.10483871;0.080645161
PH012823014;0.119016818;0.064683053
PH012823015;0.104712042;0.090314136
PH012823016;0.113636364;0.061688312
PH012823017;0.081699346;0.11546841
PH012823019;0.119170984;0.090673575
PH012823022;0.106707317;0.079268293
PH012823023;0.103828683;0.096690461
PH012823024;0.081848552;0.08908686
PH012823027;0.118705036;0.070143885
PH012823028;0.13561848;0.083457526
PH012823030;0.097826087;0.065217391
PH012823031;0.085585586;0.132132132
PH012823033;0.113861386;0.076732673
PH012823035;0.122653317;0.090112641
PH012823038;0.100515464;0.091494845
PH012823039;0.115210843;0.072289157
PH012823040;0.099236641;0.086259542
PH012823047;0.090430202;0.09833187
PH012823049;0.064670659;0.107784431
PH012823050;0.088789238;0.113901345
PH012823051;0.08361204;0.123745819
PH012823052;0.111384111;0.089271089
PH012823053;0.088345865;0.095864662
PH012823054;0.086156825;0.090997096
PH012823056;0.109955423;0.103268945
PH012823058;0.110803324;0.100646353
PH012901001;0.107301587;0.101587302
PH012901002;0.128846154;0.042307692
PH012901003;0.116580311;0.095854922
PH012901004;0.120654397;0.077709611
PH012901005;0.109227872;0.096045198
PH012901006;0.11752988;0.071713147
PH012901010;0.131578947;0.088815789
PH012901011;0.09991942;0.074939565
PH012901013;0.115973742;0.089715536
PH012902001;0.08;0.095555556
PH012902002;0.138314785;0.085850556
PH012902004;0.09223301;0.097087379
PH012902005;0.106007067;0.053003534
PH012902006;0.087114338;0.078039927
PH012902007;0.083916084;0.088578089
PH012902008;0.087412587;0.089160839
PH012902009;0.099609375;0.05078125
PH012902010;0.115091463;0.066310976
PH012902011;0.101895735;0.099526066
PH012902012;0.100840336;0.084033613
PH012902013;0.096875;0.079166667
PH012902014;0.119402985;0.089552239
PH012902015;0.086206897;0.082577132
PH012903001;0.079126876;0.106412005
PH012903002;0.097658863;0.067558528
PH012903003;0.1031842;0.084643289
PH012903004;0.100436681;0.065502183
PH012903005;0.108255452;0.089563863
PH012903006;0.122470714;0.047923323
PH012903007;0.111409396;0.04295302
PH012903008;0.11965812;0.05982906
PH012903009;0.130555556;0.072222222
PH012903010;0.132177681;0.060671723
PH012903011;0.119349005;0.074141049
PH012903012;0.087749783;0.066898349
PH012903013;0.121233357;0.070077085
PH012903014;0.095070423;0.052816901
PH012903015;0.104790419;0.062874251
PH012903016;0.107728337;0.052459016
PH012903017;0.102464332;0.096627756
PH012903018;0.112359551;0.073033708
PH012903019;0.102253033;0.086655113
PH012903020;0.110192837;0.068870523
PH012903021;0.122715405;0.048302872
PH012903022;0.129380054;0.056603774
PH012903023;0.103448276;0.076099881
PH012903024;0.115504683;0.069719043
PH012903026;0.095588235;0.052941176
PH012903027;0.092661231;0.061527057
PH012903028;0.097007224;0.072755418
PH012903029;0.098505174;0.070141817
PH012903030;0.094117647;0.095798319
PH012903031;0.077272727;0.104545455
PH012903032;0.104347826;0.068478261
PH012903033;0.097938144;0.090721649
PH012903034;0.092753623;0.079710145
PH012903035;0.102564103;0.062937063
PH012904001;0.114355231;0.080291971
PH012904002;0.083146067;0.105617978
PH012904003;0.117647059;0.07266436
PH012904005;0.14187643;0.068649886
PH012904006;0.161676647;0.077844311
PH012904007;0.14507772;0.069948187
PH012904008;0.121597096;0.063520871
PH012904009;0.107828656;0.088626292
PH012904010;0.102040816;0.088435374
PH012904011;0.100917431;0.064220183
PH012904012;0.098393574;0.076305221
PH012904013;0.087921847;0.077264654
PH012904014;0.117773019;0.102783726
PH012904015;0.116013072;0.070261438
PH012904016;0.107508532;0.093856655
PH012904017;0.125;0.087121212
PH012904018;0.111111111;0.127777778
PH012904019;0.125;0.091145833
PH012904020;0.105759162;0.080628272
PH012904022;0.111918605;0.094476744
PH012904023;0.115671642;0.074626866
PH012904024;0.09439528;0.09439528
PH012904026;0.142857143;0.05974026
PH012904027;0.112195122;0.080487805
PH012904028;0.125748503;0.071856287
PH012904029;0.112195122;0.068292683
PH012905001;0.11509901;0.080445545
PH012905002;0.128109453;0.062189055
PH012905003;0.115136876;0.060386473
PH012905004;0.122992392;0.068047337
PH012905005;0.114446529;0.084427767
PH012905006;0.097667638;0.117346939
PH012905007;0.132420091;0.070776256
PH012905008;0.122404372;0.063387978
PH012905009;0.114339269;0.084348641
PH012905010;0.117437722;0.101423488
PH012905011;0.127253446;0.064687169
PH012905012;0.122807018;0.08255934
PH012905013;0.093480935;0.083640836
PH012905014;0.139035088;0.060087719
PH012905015;0.128268991;0.064757161
PH012905016;0.133333333;0.066666667
PH012905017;0.088977424;0.08499336
PH012905018;0.111778846;0.070913462
PH012905019;0.102689487;0.085574572
PH012905020;0.126760563;0.061032864
PH012905021;0.12800418;0.058516196
PH012905022;0.166223404;0.069148936
PH012905023;0.118935837;0.056338028
PH012905024;0.100334448;0.100812231
PH012905025;0.115384615;0.063186813
PH012905026;0.103719599;0.095135908
PH012905027;0.116853933;0.053932584
PH012905028;0.112781955;0.084377611
PH012905029;0.12575508;0.067545305
PH012905030;0.116738728;0.075972823
PH012905031;0.12568306;0.095628415
PH012905032;0.115702479;0.068181818
PH012905033;0.141011841;0.06350915
PH012906001;0.121141975;0.081790123
PH012906002;0.119927863;0.070333634
PH012906003;0.125894134;0.064377682
PH012906004;0.111344538;0.095588235
PH012906005;0.117647059;0.063529412
PH012906006;0.10806175;0.060034305
PH012906007;0.083606557;0.057377049
PH012906008;0.117647059;0.065584855
PH012906009;0.103240392;0.088922381
PH012906010;0.12406232;0.063473745
PH012906015;0.099264706;0.106617647
PH012906016;0.111975117;0.076982893
PH012906017;0.136966127;0.060014728
PH012906018;0.115338406;0.078894674
PH012906019;0.098253275;0.076419214
PH012906020;0.111281894;0.067015063
PH012906022;0.125748503;0.098802395
PH012906023;0.094308943;0.101626016
PH012906024;0.110429448;0.080698443
PH012906025;0.088888889;0.096296296
PH012906026;0.144726713;0.061585835
PH012906027;0.093607306;0.114916286
PH012906028;0.094303797;0.098734177
PH012906029;0.102654867;0.084070796
PH012906030;0.110510511;0.084684685
PH012906031;0.105745212;0.068276436
PH012906032;0.095789474;0.081052632
PH012906033;0.133416459;0.079800499
PH012906034;0.115499701;0.073010174
PH012906035;0.104786546;0.087968952
PH012906036;0.11559633;0.083486239
PH012906037;0.09122288;0.062130178
PH012906038;0.100782779;0.085127202
PH012906039;0.080924855;0.061271676
PH012906040;0.11052433;0.058091286
PH012906041;0.137309293;0.058252427
PH012906042;0.099447514;0.109116022
PH012906043;0.105680736;0.076166296
PH012906044;0.113020833;0.074479167
PH012906045;0.112676056;0.098591549
PH012906046;0.095238095;0.103896104
PH012906048;0.10738255;0.071588367
PH012907001;0.115928369;0.078228087
PH012907002;0.109589041;0.073059361
PH012907003;0.120160214;0.09212283
PH012907004;0.091549296;0.107645875
PH012907005;0.10106383;0.087765957
PH012907006;0.114348949;0.071191442
PH012907007;0.102119461;0.087668593
PH012907008;0.090782123;0.094972067
PH012907009;0.109090909;0.072727273
PH012907010;0.123160341;0.080557707
PH012907011;0.118483412;0.052132701
PH012907012;0.076616915;0.108457711
PH012907013;0.096169519;0.086389568
PH012907014;0.111881188;0.068811881
PH012907015;0.137539432;0.046687697
PH012907016;0.100157729;0.087539432
PH012907017;0.106177606;0.084942085
PH012908001;0.132970451;0.048211509
PH012908002;0.134759358;0.063101604
PH012908003;0.146673937;0.043075245
PH012908004;0.131211614;0.054159687
PH012908005;0.164893617;0.070921986
PH012908006;0.120991254;0.058309038
PH012908007;0.146560319;0.03888335
PH012908010;0.162561576;0.073891626
PH012908013;0.120560748;0.057943925
PH012908014;0.09929078;0.061938534
PH012908015;0.129241517;0.05489022
PH012908016;0.123333333;0.041111111
PH012908017;0.137336504;0.048751486
PH012909001;0.093247588;0.048231511
PH012909002;0.136518771;0.09556314
PH012909003;0.108303249;0.067388688
PH012909004;0.102803738;0.08411215
PH012909005;0.075268817;0.071684588
PH012909006;0.067061144;0.096646943
PH012909007;0.056338028;0.093896714
PH012909008;0.14532872;0.062283737
PH012909009;0.102803738;0.058411215
PH012909010;0.102439024;0.097560976
PH012909011;0.104225352;0.050704225
PH012909012;0.084033613;0.056022409
PH012909013;0.072815534;0.063106796
PH012909014;0.101398601;0.094405594
PH012909015;0.116438356;0.075342466
PH012909016;0.069620253;0.079113924
PH012909017;0.069444444;0.083333333
PH012909018;0.107466853;0.075366364
PH012909019;0.082089552;0.108208955
PH012909020;0.112462006;0.069908815
PH012909021;0.108778626;0.062977099
PH012909022;0.099255583;0.089330025
PH012909023;0.102766798;0.138339921
PH012909024;0.090379009;0.093294461
PH012910001;0.11691023;0.060542797
PH012910002;0.098298677;0.081285444
PH012910003;0.106666667;0.073939394
PH012910004;0.078358209;0.108208955
PH012910005;0.089494163;0.102464332
PH012910007;0.11525974;0.086038961
PH012910008;0.1125;0.0734375
PH012911001;0.104964539;0.082269504
