Region,Province,Municipality_City,Mun_Code,Housing_Units,Strong Roof/Strong Wall,Strong Roof/Light Wall,Strong Roof/Salvage Wall,Light Roof/Strong Wall,Light Roof/Light Wall,Light Roof/Salvage Wall,Salvaged Roof/Strong Wall,Salvaged Roof/Light Wall,Salvaged Roof/Salvage Wall
Cordillera Administrative Region (CAR),Abra,Lacub,PH140109000,647,276,354,1,0,11,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Lagangilang,PH140110000,3048,2193,759,1,3,66,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Lagayan,PH140111000,932,459,396,0,0,64,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Langiden,PH140112000,660,485,83,0,9,59,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Licuan-Baay (Licuan),PH140113000,943,486,440,0,0,10,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Luba,PH140114000,1358,953,382,0,0,13,0,0,0,1
Cordillera Administrative Region (CAR),Abra,Malibcong,PH140115000,743,257,474,0,0,9,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Manabo,PH140116000,2410,1936,414,3,1,20,1,1,0,0
Cordillera Administrative Region (CAR),Abra,Pe̱arrubia,PH140117000,1463,1064,291,0,1,91,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Pidigan,PH140118000,2600,2108,456,1,4,18,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Pilar,PH140119000,2262,1366,851,0,4,27,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Sallapadan,PH140120000,1341,854,389,0,26,68,0,0,0,0
Cordillera Administrative Region (CAR),Abra,San Isidro,PH140121000,1054,625,399,1,2,21,0,0,0,0
Cordillera Administrative Region (CAR),Abra,San Juan,PH140122000,2157,1474,543,0,2,133,0,0,0,0
Cordillera Administrative Region (CAR),Abra,San Quintin,PH140123000,1239,1055,138,0,3,38,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Tayum,PH140124000,3016,2249,570,3,8,167,0,0,1,0
Cordillera Administrative Region (CAR),Abra,Tineg,PH140125000,830,58,675,0,1,88,1,0,1,1
Cordillera Administrative Region (CAR),Abra,Tubo,PH140126000,982,786,193,0,0,2,0,0,0,0
Cordillera Administrative Region (CAR),Abra,Villaviciosa,PH140127000,1058,701,313,0,1,33,0,0,0,0
Cordillera Administrative Region (CAR),Benguet,Atok,PH141101000,4332,4077,230,3,2,17,0,0,0,0
Cordillera Administrative Region (CAR),Benguet,City of Baguio,PH141102000,87731,83249,4230,51,6,27,2,8,11,58
Cordillera Administrative Region (CAR),Benguet,Bakun,PH141103000,3347,2951,359,7,0,25,1,0,0,1
Cordillera Administrative Region (CAR),Benguet,Bokod,PH141104000,2873,2500,363,0,1,9,0,0,0,0
Cordillera Administrative Region (CAR),Benguet,Buguias,PH141105000,10863,10210,525,4,3,36,0,0,1,2
Cordillera Administrative Region (CAR),Benguet,Itogon,PH141106000,14204,13056,795,41,8,207,5,1,8,64
Cordillera Administrative Region (CAR),Benguet,Kabayan,PH141107000,3483,2604,686,8,5,95,4,0,6,9
Cordillera Administrative Region (CAR),Benguet,Kapangan,PH141108000,4194,3733,328,15,6,35,0,0,0,0
Cordillera Administrative Region (CAR),Benguet,Kibungan,PH141109000,3584,3138,227,16,6,108,0,0,0,1
Cordillera Administrative Region (CAR),Benguet,La Trinidad (Capital),PH141110000,33599,32872,631,14,10,23,1,2,0,4
Cordillera Administrative Region (CAR),Benguet,Mankayan,PH141111000,8062,6800,878,14,8,26,1,0,0,1
Cordillera Administrative Region (CAR),Benguet,Sablan,PH141112000,2599,2382,148,5,0,5,0,0,1,1
Cordillera Administrative Region (CAR),Benguet,Tuba,PH141113000,11123,10048,878,32,2,40,1,1,2,8
Cordillera Administrative Region (CAR),Benguet,Tublay,PH141114000,3854,3645,180,2,1,22,0,0,0,2
Cordillera Administrative Region (CAR),Ifugao,Banaue,PH142701000,3925,2472,1217,1,1,203,0,0,0,0
Cordillera Administrative Region (CAR),Ifugao,Hungduan,PH142702000,1939,711,1216,2,0,7,1,0,0,1
Cordillera Administrative Region (CAR),Ifugao,Kiangan,PH142703000,3479,1782,1672,3,1,9,0,0,0,0
Cordillera Administrative Region (CAR),Ifugao,Lagawe (Capital),PH142704000,3944,2398,1417,1,0,115,0,0,0,0
Cordillera Administrative Region (CAR),Ifugao,Lamut,PH142705000,5593,3947,1434,2,7,173,1,1,1,7
Cordillera Administrative Region (CAR),Ifugao,Mayoyao,PH142706000,4071,1927,1892,0,4,245,0,0,0,0
Cordillera Administrative Region (CAR),Ifugao,Alfonso Lista (Potia),PH142707000,7138,4870,1616,1,29,606,0,0,0,2
Cordillera Administrative Region (CAR),Ifugao,Aguinaldo,PH142708000,4658,1744,2627,0,5,279,0,0,1,0
Cordillera Administrative Region (CAR),Ifugao,Hingyon,PH142709000,2044,1190,815,4,2,9,0,0,0,0
Cordillera Administrative Region (CAR),Ifugao,Tinoc,PH142710000,3597,1899,1502,7,0,154,10,1,1,4
Cordillera Administrative Region (CAR),Ifugao,Asipulo,PH142711000,2829,790,1832,0,1,194,0,0,0,0
Cordillera Administrative Region (CAR),Kalinga,Balbalan,PH143201000,2301,656,1556,0,2,86,0,0,1,0
Cordillera Administrative Region (CAR),Kalinga,Lubuagan,PH143206000,1728,730,983,0,1,10,0,0,0,0
Cordillera Administrative Region (CAR),Kalinga,Pasil,PH143208000,1797,795,977,1,0,24,0,0,0,0
Cordillera Administrative Region (CAR),Kalinga,Pinukpuk,PH143209000,6258,2333,2869,6,11,1015,10,0,2,1
Cordillera Administrative Region (CAR),Kalinga,Rizal (Liwan),PH143211000,3718,2479,778,10,65,369,7,0,0,1
Cordillera Administrative Region (CAR),Kalinga,City of Tabuk (Capital),PH143213000,22350,17757,3583,93,80,730,11,2,4,14
Cordillera Administrative Region (CAR),Kalinga,Tanudan,PH143214000,1568,179,1353,0,0,36,0,0,0,0
Cordillera Administrative Region (CAR),Kalinga,Tinglayan,PH143215000,2270,1037,1160,7,0,62,1,0,0,1
Cordillera Administrative Region (CAR),Mountain Province,Barlig,PH144401000,1190,851,335,0,0,4,0,0,0,0
Cordillera Administrative Region (CAR),Mountain Province,Bauko,PH144402000,6790,5778,718,5,2,28,3,0,0,1
Cordillera Administrative Region (CAR),Mountain Province,Besao,PH144403000,1710,1235,462,1,1,5,0,0,0,0
Cordillera Administrative Region (CAR),Mountain Province,Bontoc (Capital),PH144404000,6307,5757,511,2,0,0,0,0,0,2
Cordillera Administrative Region (CAR),Mountain Province,Natonin,PH144405000,2187,1373,748,2,2,45,0,0,0,0
Cordillera Administrative Region (CAR),Mountain Province,Paracelis,PH144406000,5826,2452,2850,11,10,477,3,0,7,1
Cordillera Administrative Region (CAR),Mountain Province,Sabangan,PH144407000,2215,1665,529,1,1,2,0,0,1,0
Cordillera Administrative Region (CAR),Mountain Province,Sadanga,PH144408000,1764,1330,433,1,0,0,0,0,0,0
Cordillera Administrative Region (CAR),Mountain Province,Sagada,PH144409000,2641,1717,901,2,0,1,0,0,0,0
Cordillera Administrative Region (CAR),Mountain Province,Tadian,PH144410000,4227,3420,627,5,0,18,0,0,0,1
Cordillera Administrative Region (CAR),Apayao,Calanasan (Bayag),PH148101000,2382,885,1305,0,10,174,1,1,2,0
Cordillera Administrative Region (CAR),Apayao,Conner,PH148102000,5466,2722,2294,4,7,427,0,0,0,3
Cordillera Administrative Region (CAR),Apayao,Flora,PH148103000,4042,2103,1600,3,10,308,2,0,1,1
Cordillera Administrative Region (CAR),Apayao,Kabugao (Capital),PH148104000,3130,1258,1536,5,9,312,1,0,0,0
Cordillera Administrative Region (CAR),Apayao,Luna,PH148105000,4129,2695,727,1,92,593,1,1,1,3
Cordillera Administrative Region (CAR),Apayao,Pudtol,PH148106000,3158,1821,874,12,13,419,9,1,1,5
Cordillera Administrative Region (CAR),Apayao,Santa Marcela,PH148107000,3111,2156,638,2,23,280,1,0,0,3
Autonomous Region in Muslim Mindanao (ARMM),Basilan,City of Lamitan (Capital),PH150702000,14751,4972,6284,24,103,3244,10,6,33,23
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Lantawan,PH150703000,4440,667,1044,0,49,2674,3,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Maluso,PH150704000,6019,741,2648,2,70,2551,1,0,1,1
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Sumisip,PH150705000,7388,920,3463,17,27,2915,11,1,9,18
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Tipo-Tipo,PH150706000,3117,524,1465,0,11,1099,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Tuburan,PH150707000,2985,630,1670,0,44,625,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Akbar,PH150708000,2560,441,1230,0,127,757,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Al-Barka,PH150709000,3647,503,1853,1,24,1253,2,0,3,0
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Hadji Mohammad Ajul,PH150710000,2747,510,1218,7,10,991,5,0,1,1
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Ungkaya Pukan,PH150711000,3060,639,1630,2,22,749,10,0,1,4
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Hadji Muhtamad,PH150712000,3921,347,1309,5,30,2215,3,0,5,6
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Tabuan-Lasa,PH150713000,3069,97,758,0,13,2201,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Bacolod-Kalawi (Bacolod Grande),PH153601000,2087,821,1034,1,62,158,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Balabagan,PH153602000,4685,1923,2460,1,24,271,0,1,3,2
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Balindong (Watu),PH153603000,3960,2161,1723,0,7,17,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Bayang,PH153604000,2517,1138,1248,2,8,101,0,1,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Binidayan,PH153605000,2749,1001,1361,31,2,51,0,0,0,8
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Bubong,PH153606000,2227,889,1331,2,0,3,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Butig,PH153607000,2491,931,1546,0,2,11,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Ganassi,PH153609000,2390,744,1414,0,11,152,0,4,48,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Kapai,PH153610000,1716,361,1327,0,12,16,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Lumba-Bayabao (Maguing),PH153611000,3336,1332,1806,0,1,189,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Lumbatan,PH153612000,2263,871,1340,1,2,41,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Madalum,PH153613000,3332,745,2059,0,8,409,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Madamba,PH153614000,2263,324,1599,0,3,321,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Malabang,PH153615000,6172,1786,3983,8,11,346,2,1,8,10
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Marantao,PH153616000,4083,2561,1381,0,29,96,0,3,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,City of Marawi (Capital),PH153617000,20121,11652,7596,12,33,623,24,1,4,10
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Masiu,PH153618000,3022,1409,1564,0,5,42,0,1,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Mulondo,PH153619000,1161,646,499,0,0,3,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Pagayawan (Tatarikan),PH153620000,1331,211,1051,1,1,53,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Piagapo,PH153621000,3756,678,3041,0,0,31,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Poona Bayabao (Gata),PH153622000,2469,1032,1422,0,0,2,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Pualas,PH153623000,1415,481,897,2,1,22,0,0,2,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Ditsaan-Ramain,PH153624000,1976,971,914,3,3,84,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Saguiaran,PH153625000,2275,1058,1157,0,0,30,0,0,17,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Tamparan,PH153626000,2022,1205,652,0,4,134,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Taraka,PH153627000,1987,1455,526,0,0,5,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Tubaran,PH153628000,1685,466,866,0,1,348,0,1,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Tugaya,PH153629000,2170,1139,1028,0,0,3,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Wao,PH153630000,8900,2801,5944,4,1,101,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Marogong,PH153631000,2790,387,2327,0,1,75,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Calanogas,PH153632000,1820,184,1552,4,0,66,0,1,0,1
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Buadiposo-Buntong,PH153633000,1550,812,621,0,1,114,0,0,0,1
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Maguing,PH153634000,2954,1655,1157,2,7,80,0,0,0,15
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Picong (Sultan Gumander),PH153635000,2342,579,1297,1,9,343,4,3,35,67
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Lumbayanague,PH153636000,1782,758,969,0,5,49,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Bumbaran,PH153637000,1776,613,1109,0,3,49,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Tagoloan Ii,PH153638000,1283,83,1140,0,6,42,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Kapatagan,PH153639000,2456,397,1867,0,2,188,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Sultan Dumalondong,PH153640000,1223,220,984,0,0,3,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Lanao Del Sur,Lumbaca-Unayan,PH153641000,835,286,544,0,1,4,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Ampatuan,PH153801000,3910,1544,771,0,100,1486,0,0,2,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Buldon,PH153802000,5540,884,3881,2,25,726,2,0,5,1
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Buluan,PH153803000,7281,3062,1403,2,388,2387,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Datu Paglas,PH153805000,4642,1503,994,4,88,1996,4,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Datu Piang,PH153806000,4167,1039,2237,0,27,805,1,1,8,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Datu Odin Sinsuat (Dinaig),PH153807000,16943,6111,5471,36,273,4695,40,7,80,155
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Shariff Aguak (Maganoy) (Capital),PH153808000,4812,1808,1477,0,243,1219,12,0,2,1
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Matanog,PH153809000,4524,902,2984,16,11,438,0,13,2,146
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Pagalungan,PH153810000,6738,1594,1144,121,423,2911,90,6,77,356
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Parang,PH153811000,15262,6790,6633,22,103,1572,8,1,13,2
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Sultan Kudarat (Nuling),PH153812000,15331,4067,6828,11,109,4129,40,8,12,38
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Sultan Sa Barongis (Lambayong),PH153813000,3515,865,179,1,295,2162,3,1,0,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Kabuntalan (Tumbao),PH153814000,2401,343,1578,0,24,420,6,1,25,2
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Upi,PH153815000,10879,2108,5197,13,30,3248,5,0,9,4
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Talayan,PH153816000,4244,1252,1467,0,117,1405,0,0,2,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,South Upi,PH153817000,7418,608,2241,1,40,4475,22,0,4,1
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Barira,PH153818000,4485,922,3113,0,8,436,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Gen. S.K. Pendatun,PH153819000,4167,1039,765,3,94,2211,43,0,9,1
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Mamasapano,PH153820000,3915,1116,1514,0,54,1214,1,2,4,8
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Talitay,PH153821000,2390,381,1063,2,23,915,0,0,2,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Pagagawan,PH153822000,5608,1000,1328,3,75,3175,4,0,1,21
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Paglat,PH153823000,2455,666,375,6,69,1300,13,0,1,5
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Sultan Mastura,PH153824000,3832,2136,956,10,58,665,1,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Guindulungan,PH153825000,2992,1105,403,0,30,1453,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Datu Saudi-Ampatuan,PH153826000,4354,1015,2071,0,25,1205,0,1,2,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Datu Unsay,PH153827000,1769,378,298,0,35,1056,1,0,0,1
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Datu Abdullah Sangki,PH153828000,3768,1009,995,1,106,1568,0,1,0,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Rajah Buayan,PH153829000,3768,1370,619,0,164,1607,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Datu Blah T. Sinsuat,PH153830000,3839,326,863,0,16,2294,258,0,3,25
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Datu Anggal Midtimbang,PH153831000,3796,1447,1427,0,18,878,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Mangudadatu,PH153832000,3836,622,766,0,66,2376,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Pandag,PH153833000,3906,1174,513,1,95,2118,0,1,0,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Northern Kabuntalan,PH153834000,3069,946,1520,1,15,567,6,2,3,4
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Datu Hoffer Ampatuan,PH153835000,4308,856,571,0,166,2708,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Datu Salibo,PH153836000,2597,316,1093,0,1,1067,7,0,9,12
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Shariff Saydona Mustapha,PH153837000,3568,426,767,0,51,2313,0,0,1,2
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Indanan,PH156601000,13848,1880,4998,2,101,6756,0,2,17,16
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Jolo (Capital),PH156602000,18644,5373,9391,9,83,3368,2,23,136,13
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Kalingalan Caluang,PH156603000,5535,143,4008,0,36,1331,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Luuk,PH156604000,5279,453,2408,1,104,2298,3,0,5,2
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Maimbung,PH156605000,6346,173,2599,1,26,3431,0,0,2,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Hadji Panglima Tahil (Marunggas),PH156606000,1091,7,454,2,9,606,11,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Old Panamao,PH156607000,6234,410,2787,0,30,2863,0,1,38,7
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Pangutaran,PH156608000,5235,440,2557,0,23,2208,1,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Parang,PH156609000,9613,1084,4348,0,45,4051,0,0,4,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Pata,PH156610000,3580,187,1025,0,46,2316,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Patikul,PH156611000,10854,2459,5449,0,44,2792,1,2,4,2
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Siasi,PH156612000,12195,861,3754,0,106,7321,7,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Talipao,PH156613000,12190,486,7557,1,60,3842,2,0,4,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Tapul,PH156614000,3123,69,478,0,13,2485,19,0,1,2
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Tongkil,PH156615000,4184,150,1779,0,49,2206,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Panglima Estino (New Panamao),PH156616000,4064,293,1732,0,28,1949,1,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Lugus,PH156617000,3831,86,1443,0,10,2287,0,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Pandami,PH156618000,4870,269,1731,0,54,2807,4,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Omar,PH156619000,4367,135,2251,0,8,1961,0,0,2,0
Autonomous Region in Muslim Mindanao (ARMM),Tawi-Tawi,Panglima Sugala (Balimbing),PH157001000,6433,279,4172,0,20,1918,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Tawi-Tawi,Bongao (Capital),PH157002000,16539,3451,10798,16,31,2187,5,2,20,8
Autonomous Region in Muslim Mindanao (ARMM),Tawi-Tawi,Mapun (Cagayan De Tawi-Tawi),PH157003000,4008,548,2042,2,50,1285,6,1,1,2
Autonomous Region in Muslim Mindanao (ARMM),Tawi-Tawi,Simunul,PH157004000,3205,935,1682,1,16,555,1,0,1,0
Autonomous Region in Muslim Mindanao (ARMM),Tawi-Tawi,Sitangkai,PH157005000,5331,230,4117,1,10,967,3,0,1,1
Autonomous Region in Muslim Mindanao (ARMM),Tawi-Tawi,South Ubian,PH157006000,3707,144,2846,0,4,708,0,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Tawi-Tawi,Tandubas,PH157007000,3902,246,3026,0,5,621,0,1,0,0
Autonomous Region in Muslim Mindanao (ARMM),Tawi-Tawi,Turtle Islands,PH157008000,782,56,65,0,7,650,0,0,2,2
Autonomous Region in Muslim Mindanao (ARMM),Tawi-Tawi,Languyan,PH157009000,5051,114,2525,1,12,2301,31,0,2,2
Autonomous Region in Muslim Mindanao (ARMM),Tawi-Tawi,Sapa-Sapa,PH157010000,4770,232,3189,0,5,1338,1,0,0,0
Autonomous Region in Muslim Mindanao (ARMM),Tawi-Tawi,Sibutu,PH157011000,3910,694,2941,0,10,241,0,0,0,0
Region XIII (Caraga),Agusan Del Norte,Buenavista,PH160201000,13670,4538,4378,19,260,4271,40,3,10,14
Region XIII (Caraga),Agusan Del Norte,City of Butuan (Capital),PH160202000,74972,29785,30588,144,302,13303,91,65,301,152
Region XIII (Caraga),Agusan Del Norte,City of Cabadbaran,PH160203000,16447,7990,3100,4,650,4665,11,1,0,3
Region XIII (Caraga),Agusan Del Norte,Carmen,PH160204000,4628,1190,1902,1,27,1499,1,0,2,0
Region XIII (Caraga),Agusan Del Norte,Jabonga,PH160205000,5114,1224,1364,8,163,2325,28,0,0,2
Region XIII (Caraga),Agusan Del Norte,Kitcharao,PH160206000,4022,1625,974,3,37,1377,3,0,0,1
Region XIII (Caraga),Agusan Del Norte,Las Nieves,PH160207000,5648,1246,2454,2,43,1897,0,0,2,2
Region XIII (Caraga),Agusan Del Norte,Magallanes,PH160208000,4460,1660,1205,1,123,1454,6,0,3,1
Region XIII (Caraga),Agusan Del Norte,Nasipit,PH160209000,9079,3449,3936,19,46,1534,36,0,10,12
Region XIII (Caraga),Agusan Del Norte,Santiago,PH160210000,4491,1547,1163,10,106,1613,24,5,17,1
Region XIII (Caraga),Agusan Del Norte,Tubay,PH160211000,5180,1897,1061,3,272,1900,4,0,0,1
Region XIII (Caraga),Agusan Del Norte,Remedios T. Romualdez,PH160212000,3486,1321,726,2,75,1351,4,0,6,1
Region XIII (Caraga),Agusan Del Sur,City of Bayugan,PH160301000,22438,6473,12132,12,54,3693,7,0,11,3
Region XIII (Caraga),Agusan Del Sur,Bunawan,PH160302000,10160,1810,5526,108,19,2480,34,2,39,11
Region XIII (Caraga),Agusan Del Sur,Esperanza,PH160303000,11459,1504,3685,3,70,6186,1,0,3,1
Region XIII (Caraga),Agusan Del Sur,La Paz,PH160304000,5246,380,1003,1,34,3780,16,1,12,7
Region XIII (Caraga),Agusan Del Sur,Loreto,PH160305000,8947,1270,3062,4,70,4529,4,0,3,1
Region XIII (Caraga),Agusan Del Sur,Prosperidad (Capital),PH160306000,18290,4058,7194,61,127,6630,41,3,28,16
Region XIII (Caraga),Agusan Del Sur,Rosario,PH160307000,10068,2897,4504,14,40,2336,11,1,5,6
Region XIII (Caraga),Agusan Del Sur,San Francisco,PH160308000,16902,6631,6502,43,79,3275,18,5,19,27
Region XIII (Caraga),Agusan Del Sur,San Luis,PH160309000,6633,544,1851,2,68,4064,14,0,5,5
Region XIII (Caraga),Agusan Del Sur,Santa Josefa,PH160310000,5853,2307,2968,32,11,497,1,1,3,0
Region XIII (Caraga),Agusan Del Sur,Talacogon,PH160311000,8180,1120,2815,8,43,4077,90,0,12,4
Region XIII (Caraga),Agusan Del Sur,Trento,PH160312000,11783,3715,5706,8,38,2204,6,2,11,0
Region XIII (Caraga),Agusan Del Sur,Veruela,PH160313000,9343,1722,6331,13,27,1168,11,0,14,3
Region XIII (Caraga),Agusan Del Sur,Sibagat,PH160314000,6632,1233,4058,2,14,1246,8,0,3,3
Region XIII (Caraga),Surigao Del Norte,Alegria,PH166701000,3402,1614,637,2,54,1092,3,0,0,0
Region XIII (Caraga),Surigao Del Norte,Bacuag,PH166702000,2971,1397,436,0,140,997,1,0,0,0
Region XIII (Caraga),Surigao Del Norte,Burgos,PH166704000,910,432,97,0,47,334,0,0,0,0
Region XIII (Caraga),Surigao Del Norte,Claver,PH166706000,7201,3027,1345,14,274,2484,28,0,1,1
Region XIII (Caraga),Surigao Del Norte,Dapa,PH166707000,5129,1992,1331,1,102,1688,2,0,3,0
Region XIII (Caraga),Surigao Del Norte,Del Carmen,PH166708000,3892,1328,593,0,155,1704,13,13,59,2
Region XIII (Caraga),Surigao Del Norte,General Luna,PH166710000,3837,1686,758,3,70,1303,3,0,0,0
Region XIII (Caraga),Surigao Del Norte,Gigaquit,PH166711000,4449,1404,925,0,141,1964,10,0,2,1
Region XIII (Caraga),Surigao Del Norte,Mainit,PH166714000,5946,3344,1156,10,105,1282,6,1,8,3
