Mun_name,Mun_Code,mean_slope,mean_elevation_m,ruggedness_stdev,mean_ruggedness,slope_stdev,area_km2,poverty_perc,with_coast,coast_length,perimeter
PUGO,PH013312000,12.35,230.42,35.16,59.56,7.75,52,3.63,0,,46376
ROSARIO,PH013313000,5.80,144.08,23.07,29.77,5.17,78,4.41,1,4282,41980
CITY OF SAN FERNANDO (Capital),PH013314000,7.82,104.19,28.94,39.14,6.47,99,1.91,1,0,54243
SAN GABRIEL,PH013315000,15.18,500.58,42.58,74.84,8.78,122,7.43,0,,58267
SAN JUAN,PH013316000,5.25,42.11,25.79,26.60,5.67,51,3.56,1,6422,36656
SANTO TOMAS,PH013317000,4.56,41.56,23.15,23.38,5.15,41,4.58,1,25689,44812
SANTOL,PH013318000,14.41,371.18,48.34,73.02,9.37,114,8.29,0,,55995
SUDIPEN,PH013319000,11.04,171.66,41.22,54.90,8.54,90,4.64,0,,57399
TUBAO,PH013320000,7.13,85.82,31.70,35.95,6.74,54,5.10,0,,36778
AGNO,PH015501000,4.58,60.23,16.51,24.32,3.73,166,7.87,1,36607,76270
AGUILAR,PH015502000,8.77,208.29,33.22,42.57,7.38,158,6.43,0,,67578
CITY OF ALAMINOS,PH015503000,1.80,21.34,9.58,11.38,1.74,162,3.89,1,61096,165384
ALCALA,PH015504000,0.54,22.02,2.10,3.95,0.37,59,3.48,0,,36022
ANDA,PH015505000,1.76,15.86,6.23,10.23,1.35,78,5.89,1,8568,98833
ASINGAN,PH015506000,0.58,40.97,1.96,4.10,0.38,79,2.57,0,,44023
BALUNGAO,PH015507000,1.91,60.94,15.52,10.91,3.02,68,3.96,0,,46151
BANI,PH015508000,2.54,70.57,15.65,14.14,3.36,182,5.64,1,15579,76468
BASISTA,PH015509000,0.83,14.50,2.53,5.68,0.50,26,5.01,0,,23442
BAUTISTA,PH015510000,0.55,19.23,2.41,4.12,0.41,41,4.60,0,,37212
BAYAMBANG,PH015511000,0.85,17.99,3.42,5.74,0.68,137,5.53,0,,69075
BINALONAN,PH015512000,0.95,45.96,5.96,5.75,1.28,57,2.60,0,,32989
BINMALEY,PH015513000,0.76,5.44,2.79,5.86,0.48,64,4.14,1,6832,37109
BOLINAO,PH015514000,2.51,62.33,10.32,13.73,2.25,206,4.47,1,58141,119115
BUGALLON,PH015515000,7.34,153.77,35.64,37.10,7.62,179,6.00,0,,80172
BURGOS,PH015516000,2.71,53.38,11.87,14.99,2.59,115,6.01,1,7484,65848
CALASIAO,PH015517000,0.72,8.59,2.13,5.26,0.40,47,4.55,0,,37078
DAGUPAN CITY,PH015518000,0.85,5.23,3.51,6.22,0.55,43,2.47,1,11723,45023
DASOL,PH015519000,3.94,59.43,15.76,21.16,3.47,178,5.06,1,37063,103423
INFANTA,PH015520000,7.13,168.33,24.48,36.00,5.50,193,5.57,1,14907,102269
LABRADOR,PH015521000,11.40,238.43,36.17,56.99,7.96,103,4.46,1,5367,52352
LINGAYEN (Capital),PH015522000,0.79,5.80,3.07,5.71,0.55,72,4.58,1,13087,64946
MABINI,PH015523000,6.83,136.64,23.23,35.38,5.22,257,6.26,0,,90166
MALASIQUI,PH015524000,1.06,22.73,4.23,6.63,0.88,138,5.08,0,,51152
MANAOAG,PH015525000,1.01,23.68,3.93,6.43,0.83,52,3.50,0,,47717
MANGALDAN,PH015526000,0.60,6.38,2.18,4.54,0.38,48,3.11,0,,37310
MANGATAREM,PH015527000,8.12,260.25,38.46,39.42,8.39,309,6.74,0,,87262
MAPANDAN,PH015528000,0.76,14.13,2.65,5.19,0.53,20,3.21,0,,23381
NATIVIDAD,PH015529000,14.56,487.21,63.83,73.05,12.82,94,4.02,0,,42130
POZORRUBIO,PH015530000,1.33,55.76,7.38,7.68,1.63,70,3.16,0,,35837
ROSALES,PH015531000,1.09,38.60,7.82,6.82,1.67,72,3.29,0,,43733
SAN CARLOS CITY,PH015532000,0.88,10.50,2.63,6.10,0.53,148,4.20,0,,68705
SAN FABIAN,PH015533000,2.99,37.07,15.33,16.36,3.33,76,4.40,1,12672,46108
SAN JACINTO,PH015534000,1.54,25.85,7.70,9.02,1.63,42,4.20,0,,34284
SAN MANUEL,PH015535000,6.90,176.58,39.78,34.99,8.30,138,4.00,0,,59891
SAN NICOLAS,PH015536000,12.58,407.90,47.29,62.44,9.98,225,4.63,0,,61857
SAN QUINTIN,PH015537000,8.22,275.88,56.35,41.51,11.39,86,4.26,0,,61153
SANTA BARBARA,PH015538000,0.69,11.45,2.34,4.80,0.46,63,3.73,0,,41198
SANTA MARIA,PH015539000,0.53,42.69,1.92,3.74,0.37,47,3.45,0,,41051
SANTO TOMAS,PH015540000,0.57,25.86,2.28,4.09,0.41,12,3.39,0,,15014
SISON,PH015541000,9.40,280.41,39.34,46.01,8.41,155,3.36,0,,63188
SUAL,PH015542000,6.02,88.04,23.80,31.06,5.17,133,6.07,1,44951,95774
TAYUG,PH015543000,0.60,59.91,1.84,4.10,0.36,44,2.66,0,,30683
UMINGAN,PH015544000,3.79,149.99,34.59,19.80,6.99,259,4.41,0,,86468
URBIZTONDO,PH015545000,0.93,14.12,2.88,6.20,0.58,40,5.58,0,,31928
CITY OF URDANETA,PH015546000,0.73,26.78,2.85,4.95,0.57,96,2.92,0,,50138
VILLASIS,PH015547000,0.79,32.39,3.27,5.16,0.67,81,3.09,0,,47237
LAOAC,PH015548000,0.71,27.94,2.20,4.81,0.43,42,4.79,0,,36164
BASCO (Capital),PH020901000,15.58,206.83,61.88,78.25,11.92,33,0.00,1,32371,36088
ITBAYAT,PH020902000,6.24,102.57,33.65,33.99,6.91,89,0.00,1,7831,105529
IVANA,PH020903000,11.16,132.14,27.43,57.78,5.93,15,0.00,1,12175,20846
MAHATAO,PH020904000,11.00,103.21,29.80,56.62,6.41,12,0.00,1,15227,23416
SABTANG,PH020905000,11.80,104.54,38.93,61.91,8.20,41,0.00,1,38350,53855
UYUGAN,PH020906000,10.72,113.48,23.56,55.79,5.36,11,0.00,1,9494,17450
ABULUG,PH021501000,0.82,7.03,4.76,5.31,0.98,133,3.07,1,9860,61313
ALCALA,PH021502000,3.62,51.74,16.65,19.89,3.41,180,3.09,0,,67184
ALLACAPAN,PH021503000,3.12,34.58,12.40,17.56,2.66,231,2.72,0,,72973
AMULUNG,PH021504000,2.25,45.87,11.94,13.00,2.41,287,3.47,0,,104253
APARRI,PH021505000,1.81,32.21,12.20,9.73,2.70,261,3.13,1,24571,148270
BAGGAO,PH021506000,9.39,199.97,39.71,47.10,8.28,927,3.42,1,40966,158583
BALLESTEROS,PH021507000,1.46,13.96,7.47,8.68,1.59,129,2.78,1,9929,52624
BUGUEY,PH021508000,1.34,16.16,8.60,7.81,1.81,129,3.21,1,16193,69483
CALAYAN,PH021509000,10.77,202.18,37.79,52.62,7.78,503,6.60,1,45357,276645
CAMALANIUGAN,PH021510000,1.17,9.96,7.71,7.01,1.66,89,2.35,0,,48687
CLAVERIA,PH021511000,8.17,70.12,36.52,40.37,7.92,129,1.87,1,17641,64459
ENRILE,PH021512000,2.22,55.24,11.60,12.21,2.51,152,2.51,0,,61288
GATTARAN,PH021513000,9.31,211.86,39.71,47.45,8.36,639,2.83,1,17789,163288
GONZAGA,PH021514000,12.22,328.45,44.17,61.20,9.26,527,2.84,1,48260,124042
IGUIG,PH021515000,2.43,49.65,8.92,13.58,1.87,78,2.35,0,,46528
LAL-LO,PH021516000,9.70,243.12,41.31,49.04,8.76,641,2.09,1,14319,182059
LASAM,PH021517000,4.27,51.88,22.10,22.66,4.74,207,2.79,0,,68843
PAMPLONA,PH021518000,5.26,49.85,29.84,27.70,6.30,213,3.53,1,17489,69828
PEï¿½ï¿½ABLANCA,PH021519000,15.99,538.29,53.81,80.46,10.88,1138,2.75,1,45942,156137
PIAT,PH021520000,1.81,45.71,8.12,10.74,1.65,132,2.62,0,,62844
RIZAL,PH021521000,11.05,284.57,33.85,55.26,7.37,340,4.56,0,,107287
SANCHEZ-MIRA,PH021522000,6.73,60.99,30.14,35.20,6.45,138,2.83,1,16798,60391
SANTA ANA,PH021523000,10.79,147.29,37.11,54.17,7.95,434,3.16,1,100848,198705
SANTA PRAXEDES,PH021524000,17.37,274.86,41.81,85.79,9.02,86,2.38,1,17751,55536
SANTA TERESITA,PH021525000,3.96,52.66,18.71,21.11,4.06,128,2.72,1,811,51187
SANTO NIï¿½ï¿½O (FAIRE),PH021526000,6.81,139.04,25.62,34.54,5.57,361,4.34,0,,91453
SOLANA,PH021527000,1.60,40.12,10.07,9.04,2.15,273,3.48,0,,83137
TUAO,PH021528000,1.33,53.87,7.97,7.93,1.67,188,3.03,0,,69331
TUGUEGARAO CITY (Capital),PH021529000,1.76,37.58,9.45,10.01,1.98,120,0.61,0,,62766
ALICIA,PH023101000,0.61,73.46,2.42,4.30,0.49,158,2.40,0,,58414
ANGADANAN,PH023102000,1.90,70.86,7.33,11.59,1.46,195,3.77,0,,79302
AURORA,PH023103000,0.62,60.80,2.35,4.47,0.44,75,1.94,0,,50327
BENITO SOLIVEN,PH023104000,3.10,97.31,10.61,18.98,2.22,177,4.71,0,,83459
BURGOS,PH023105000,0.69,51.07,2.31,4.65,0.50,77,3.22,0,,44122
CABAGAN,PH023106000,11.35,389.70,59.21,58.04,11.84,308,3.39,0,,141253
CABATUAN,PH023107000,0.56,62.63,2.24,4.19,0.39,64,1.95,0,,35004
CITY OF CAUAYAN,PH023108000,1.57,68.64,8.12,9.67,1.59,337,1.97,0,,120271
CORDON,PH023109000,5.42,197.99,28.51,28.45,6.04,225,3.17,0,,83774
DINAPIGUE,PH023110000,17.88,590.76,46.68,89.40,9.75,952,4.88,1,63645,168800
DIVILACAN,PH023111000,12.27,274.16,40.02,60.88,8.52,528,6.30,1,98230,156494
ECHAGUE,PH023112000,4.39,189.41,31.63,23.48,6.51,444,2.43,0,,144193
GAMU,PH023113000,1.39,52.97,6.23,8.31,1.27,97,2.29,0,,55414
ILAGAN CITY (Capital),PH023114000,10.25,300.70,43.65,51.80,9.25,962,2.66,0,,174862
JONES,PH023115000,6.57,274.60,32.78,33.94,7.06,465,2.16,0,,125871
LUNA,PH023116000,0.60,53.51,2.31,4.22,0.44,46,2.40,0,,30811
MACONACON,PH023117000,21.36,561.98,54.62,109.07,11.07,464,6.42,1,48659,117719
DELFIN ALBANO (MAGSAYSAY),PH023118000,1.92,67.24,10.49,10.92,2.14,178,3.32,0,,62557
MALLIG,PH023119000,1.37,75.87,6.75,8.34,1.34,116,3.17,0,,55893
NAGUILIAN,PH023120000,2.07,63.80,6.46,12.28,1.40,163,3.44,0,,73259
PALANAN,PH023121000,7.89,120.41,34.11,40.27,7.20,374,7.47,1,69688,131075
QUEZON,PH023122000,2.66,128.24,13.28,14.67,2.81,216,3.35,0,,69594
QUIRINO,PH023123000,1.30,52.83,4.81,7.85,1.02,125,3.13,0,,70600
RAMON,PH023124000,1.60,114.06,12.63,9.01,2.67,126,2.23,0,,51810
REINA MERCEDES,PH023125000,0.93,47.58,3.54,5.87,0.74,52,2.31,0,,34261
ROXAS,PH023126000,0.90,64.29,3.55,5.83,0.76,119,2.26,0,,66557
SAN AGUSTIN,PH023127000,4.16,166.15,20.54,21.84,4.53,188,2.17,0,,67199
SAN GUILLERMO,PH023128000,10.28,324.95,48.08,53.54,9.97,386,5.64,0,,111486
SAN ISIDRO,PH023129000,0.59,76.86,2.46,4.17,0.50,64,2.30,0,,37430
SAN MANUEL,PH023130000,0.85,71.87,5.13,5.41,1.05,104,3.10,0,,49662
SAN MARIANO,PH023131000,12.15,394.14,40.07,61.00,8.63,1396,8.02,0,,190221
SAN MATEO,PH023132000,0.60,81.93,2.14,4.42,0.40,110,1.97,0,,51915
SAN PABLO,PH023133000,16.07,557.63,63.10,82.29,12.40,450,5.26,0,,96884
SANTA MARIA,PH023134000,2.30,61.65,11.10,13.03,2.26,119,4.89,0,,54817
CITY OF SANTIAGO,PH023135000,0.96,88.30,4.07,5.85,0.89,152,1.33,0,,70565
SANTO TOMAS,PH023136000,1.61,51.11,9.61,9.29,2.04,77,3.73,0,,43159
TUMAUINI,PH023137000,9.75,324.74,49.00,49.21,10.12,400,3.85,0,,104937
AMBAGUIO,PH025001000,20.60,932.73,45.09,103.05,9.39,178,4.55,0,,61588
ARITAO,PH025002000,13.67,682.82,39.01,66.87,8.47,292,2.26,0,,85880
BAGABAG,PH025003000,4.74,279.53,24.21,24.15,5.35,147,2.07,0,,64926
BAMBANG,PH025004000,11.48,523.33,45.23,56.83,9.47,230,1.96,0,,70409
BAYOMBONG (Capital),PH025005000,9.96,501.06,44.38,48.23,9.36,143,2.10,0,,52680
DIADI,PH025006000,9.70,366.62,29.52,48.94,6.74,211,6.29,0,,80016
DUPAX DEL NORTE,PH025007000,12.61,823.64,37.26,62.12,8.14,298,2.42,0,,127181
DUPAX DEL SUR,PH025008000,15.21,930.78,39.94,74.14,8.45,412,3.31,0,,131186
KASIBU,PH025009000,13.78,837.00,35.91,68.25,7.79,616,6.82,0,,112117
KAYAPA,PH025010000,21.58,1296.01,45.29,108.23,9.48,518,8.54,0,,116364
QUEZON,PH025011000,12.97,506.79,40.87,64.90,8.75,212,3.11,0,,66555
SANTA FE,PH025012000,18.98,944.37,41.50,94.90,8.83,247,5.51,0,,87250
SOLANO,PH025013000,4.78,330.06,35.80,24.28,7.41,89,1.37,0,,54744
VILLAVERDE,PH025014000,7.70,448.60,36.03,37.53,7.71,68,2.36,0,,41115
ALFONSO CASTANEDA,PH025015000,20.82,845.85,46.25,105.99,9.67,467,5.25,0,,91243
AGLIPAY,PH025701000,8.75,335.60,34.98,43.73,7.67,280,4.82,0,,122387
CABARROGUIS (Capital),PH025702000,10.10,296.77,28.26,48.68,6.52,189,4.27,0,,78529
DIFFUN,PH025703000,9.23,304.13,34.27,45.82,7.60,288,4.37,0,,87522
MADDELA,PH025704000,15.35,555.57,51.29,77.20,10.42,770,2.49,0,,157038
SAGUDAY,PH025705000,1.21,102.22,3.98,7.36,0.84,50,3.76,0,,35187
NAGTIPUNAN,PH025706000,17.79,754.42,45.35,88.48,9.36,1190,7.81,0,,178478
ABUCAY,PH030801000,6.50,232.23,37.28,33.53,7.50,77,2.09,1,6116,46095
BAGAC,PH030802000,9.89,272.91,34.13,49.42,7.07,189,4.83,1,34911,84451
CITY OF BALANGA (Capital),PH030803000,5.99,180.10,35.40,30.98,6.97,90,1.28,1,6413,60736
DINALUPIHAN,PH030804000,4.70,65.89,25.15,25.05,5.27,76,2.85,0,,60061
HERMOSA,PH030805000,6.28,144.64,26.50,32.16,5.77,149,3.14,0,,85880
LIMAY,PH030806000,8.49,259.60,34.88,42.62,7.06,61,2.06,1,13511,46113
MARIVELES,PH030807000,10.82,295.60,39.00,54.36,7.99,195,1.26,1,7,112201
MORONG,PH030808000,11.61,279.41,40.56,58.99,8.35,174,4.32,1,29331,68139
ORANI,PH030809000,3.56,129.96,22.23,18.79,4.63,54,2.53,1,19534,66771
ORION,PH030810000,7.39,235.36,35.03,37.84,7.03,90,2.77,1,15820,61499
PILAR,PH030811000,5.83,122.29,30.66,29.28,6.57,46,2.12,1,6823,47894
SAMAL,PH030812000,4.82,177.65,33.64,25.52,6.58,48,2.25,1,8958,52241
ANGAT,PH031401000,2.12,47.95,8.27,11.85,1.76,49,2.27,1,8764,61524
BALAGTAS (BIGAA),PH031402000,0.63,6.81,3.45,4.85,0.52,21,2.23,0,,31861
BALIUAG,PH031403000,0.64,15.89,2.77,4.54,0.56,46,1.22,0,,44173
BOCAUE,PH031404000,0.82,8.06,3.10,5.57,0.59,26,1.97,0,,32853
BULACAN,PH031405000,0.74,4.12,3.41,5.57,0.52,72,2.24,1,19987,51308
BUSTOS,PH031406000,1.08,23.54,3.76,6.43,0.80,40,2.08,1,1874,34195
CALUMPIT,PH031407000,0.61,6.55,2.62,4.49,0.42,47,2.08,0,,35614
GUIGUINTO,PH031408000,0.72,8.38,2.25,4.87,0.45,22,1.39,0,,27395
HAGONOY,PH031409000,0.71,4.38,3.04,5.48,0.46,83,2.52,1,22376,59736
CITY OF MALOLOS (Capital),PH031410000,0.71,6.14,2.67,5.17,0.45,71,1.24,1,12855,67578
MARILAO,PH031411000,1.16,18.68,4.55,7.25,0.90,28,1.14,0,,44282
CITY OF MEYCAUAYAN,PH031412000,1.14,16.39,5.14,7.26,0.97,32,1.52,0,,52105
NORZAGARAY,PH031413000,12.39,410.06,39.58,62.58,8.57,297,3.05,1,18700,129322
OBANDO,PH031414000,1.11,3.11,6.07,7.90,0.96,16,1.22,1,7803,27635
PANDI,PH031415000,1.41,31.97,4.78,7.86,1.06,50,3.05,0,,44563
PAOMBONG,PH031416000,0.69,4.42,2.90,5.31,0.45,45,2.54,1,8087,44506
PLARIDEL,PH031417000,0.75,11.66,3.09,5.05,0.59,36,1.29,0,,39788
PULILAN,PH031418000,0.66,10.69,2.79,4.67,0.53,43,2.04,0,,36880
SAN ILDEFONSO,PH031419000,1.77,45.45,7.20,9.94,1.50,167,2.65,0,,79696
CITY OF SAN JOSE DEL MONTE,PH031420000,4.10,121.49,16.14,22.04,3.40,108,2.57,0,,65871
SAN MIGUEL,PH031421000,1.29,37.43,5.89,7.37,1.26,232,3.20,0,,92226
SAN RAFAEL,PH031422000,1.47,37.16,5.64,8.29,1.21,102,2.25,1,8129,75089
SANTA MARIA,PH031423000,1.65,36.10,4.96,9.42,1.04,79,1.90,0,,44737
DOï¿½ï¿½A REMEDIOS TRINIDAD,PH031424000,14.07,411.25,39.71,71.29,8.62,976,8.64,1,133964,285639
ALIAGA,PH034901000,0.51,28.10,1.75,3.87,0.31,95,4.77,0,,50066
BONGABON,PH034902000,11.48,414.40,55.13,59.06,11.04,216,4.41,0,,76221
CABANATUAN CITY,PH034903000,0.66,41.32,2.29,4.38,0.47,189,2.14,0,,82239
CABIAO,PH034904000,0.51,12.76,2.22,3.85,0.39,112,3.19,0,,74061
CARRANGLAN,PH034905000,14.26,663.96,44.98,70.55,9.38,735,6.06,1,7138,116265
CUYAPO,PH034906000,1.78,63.41,12.65,9.96,2.67,178,5.16,0,,63987
GABALDON (BITULOK & SABANI),PH034907000,16.39,489.58,56.70,83.56,11.37,368,5.62,0,,82462
CITY OF GAPAN,PH034908000,1.23,45.77,6.61,6.94,1.46,172,1.87,0,,81269
GENERAL MAMERTO NATIVIDAD,PH034909000,0.59,55.94,2.44,3.97,0.51,108,4.35,0,,66199
GENERAL TINIO (PAPAYA),PH034910000,12.27,372.50,42.38,62.23,9.03,563,3.26,0,,126326
GUIMBA,PH034911000,0.55,35.03,1.83,4.03,0.34,215,5.01,0,,96077
JAEN,PH034912000,0.58,21.28,2.17,4.31,0.39,98,5.62,0,,56570
LAUR,PH034913000,6.81,192.49,35.59,34.65,7.42,156,6.14,0,,64708
LICAB,PH034914000,0.52,23.38,1.84,3.97,0.32,64,6.25,0,,43567
LLANERA,PH034915000,0.60,72.72,2.12,3.96,0.42,100,4.21,0,,70709
LUPAO,PH034916000,3.35,155.94,26.42,17.32,5.47,117,5.76,0,,49452
SCIENCE CITY OF MUï¿½ï¿½OZ,PH034917000,0.69,69.66,2.88,4.52,0.59,130,4.85,0,,74535
NAMPICUAN,PH034918000,0.48,22.57,1.70,3.70,0.32,47,5.36,0,,31913
PALAYAN CITY (Capital),PH034919000,4.09,116.36,21.46,21.02,4.61,131,3.39,0,,94352
PANTABANGAN,PH034920000,10.18,358.28,29.28,51.16,6.44,420,4.74,1,176919,274669
PEï¿½ï¿½ARANDA,PH034921000,0.88,45.96,2.81,5.21,0.62,63,2.15,0,,59390
QUEZON,PH034922000,0.57,31.24,1.93,4.26,0.33,64,6.86,0,,43048
RIZAL,PH034923000,1.96,106.24,15.84,10.71,3.26,134,3.46,0,,68328
SAN ANTONIO,PH034924000,0.53,15.53,2.10,3.94,0.38,181,3.95,0,,80504
SAN ISIDRO,PH034925000,0.53,16.84,2.30,3.91,0.43,48,2.75,0,,41706
SAN JOSE CITY,PH034926000,2.85,140.05,21.34,14.45,4.60,192,3.10,0,,85659
SAN LEONARDO,PH034927000,0.61,26.47,2.41,4.45,0.44,51,2.85,0,,41845
SANTA ROSA,PH034928000,0.70,38.05,2.76,4.71,0.58,107,2.41,0,,88829
SANTO DOMINGO,PH034929000,0.54,44.37,1.76,4.00,0.32,86,4.15,0,,66298
TALAVERA,PH034930000,0.53,51.03,1.73,3.78,0.32,132,4.70,0,,87608
TALUGTUG,PH034931000,1.23,76.33,5.24,7.33,1.08,107,6.62,0,,51644
ZARAGOZA,PH034932000,0.51,19.92,1.79,3.92,0.31,78,4.28,0,,49185
ANGELES CITY,PH035401000,2.47,177.84,16.88,13.79,3.32,121,0.81,0,,66451
APALIT,PH035402000,0.54,7.74,2.03,4.09,0.34,58,2.81,0,,44136
ARAYAT,PH035403000,3.84,79.89,31.66,18.99,6.80,187,2.68,0,,73260
BACOLOR,PH035404000,0.68,33.09,2.23,4.60,0.45,84,2.02,0,,61048
CANDABA,PH035405000,0.51,9.73,2.00,3.91,0.33,208,4.67,0,,100790
FLORIDABLANCA,PH035406000,2.57,58.95,19.51,14.26,4.00,135,1.78,0,,67578
GUAGUA,PH035407000,0.70,14.56,2.98,5.01,0.48,45,1.94,0,,47366
