rid,Season,STORMNAME,YYYYMMDDHH,TY,LAT,LON,VMAX,ty_year,tyid
293,2013,TRAMI,201308240000, TS,25.3,108.5,0,trami2013,12
294,2013,TRAMI,201308240600, TS,24.3,107.3,0,trami2013,12
295,2013,USAGI,201309160000, TS,17.3,132,0,usagi2013,16
296,2013,USAGI,201309160600, TS,17.3,132.3,0,usagi2013,16
297,2013,USAGI,201309161200, TS,17,132.4,0,usagi2013,16
298,2013,USAGI,201309161800, TS,17,132.1,35,usagi2013,16
299,2013,USAGI,201309170000, TS,17,131.9,35,usagi2013,16
300,2013,USAGI,201309170600, TS,17.2,131.4,35,usagi2013,16
301,2013,USAGI,201309171200, TS,17.2,131.1,40,usagi2013,16
302,2013,USAGI,201309171800, TS,17.2,130.7,45,usagi2013,16
303,2013,USAGI,201309180000, TS,17,130.5,50,usagi2013,16
304,2013,USAGI,201309180600, TS,17.1,130.2,55,usagi2013,16
305,2013,USAGI,201309181200, TS,17.3,129.6,65,usagi2013,16
306,2013,USAGI,201309181800, TS,17.1,128.6,70,usagi2013,16
307,2013,USAGI,201309190000, TS,16.9,128.3,80,usagi2013,16
308,2013,USAGI,201309190600, TS,17.5,128,95,usagi2013,16
309,2013,USAGI,201309191200, TS,18.1,127.3,105,usagi2013,16
310,2013,USAGI,201309191800, TS,18.7,126.4,110,usagi2013,16
311,2013,USAGI,201309200000, TS,19.3,125.5,110,usagi2013,16
312,2013,USAGI,201309200600, TS,19.7,124.6,110,usagi2013,16
313,2013,USAGI,201309201200, TS,20.1,123.8,110,usagi2013,16
314,2013,USAGI,201309201800, TS,20.4,122.6,105,usagi2013,16
315,2013,USAGI,201309210000, TS,20.6,121.8,100,usagi2013,16
316,2013,USAGI,201309210600, TS,20.8,120.8,90,usagi2013,16
317,2013,USAGI,201309211200, TS,21.1,119.7,85,usagi2013,16
318,2013,USAGI,201309211800, TS,21.4,118.9,85,usagi2013,16
319,2013,USAGI,201309220000, TS,21.8,117.9,85,usagi2013,16
320,2013,USAGI,201309220600, TS,22.4,116.8,85,usagi2013,16
321,2013,USAGI,201309221200, TS,22.9,115.4,80,usagi2013,16
322,2013,USAGI,201309221800, TS,23.1,113.9,50,usagi2013,16
323,2013,USAGI,201309230000, TS,23.6,112.5,40,usagi2013,16
324,2013,USAGI,201309230600, TS,24.3,111.2,0,usagi2013,16
325,2013,USAGI,201309231200, TS,24.6,110.2,0,usagi2013,16
326,2013,USAGI,201309231800, TS,24.9,109.4,0,usagi2013,16
327,2013,USAGI,201309240000, TS,25.1,108.5,0,usagi2013,16
328,2013,NARI,201310081200, TS,14,131.6,0,nari2013,20
329,2013,NARI,201310081800, TS,14.1,131.1,0,nari2013,20
330,2013,NARI,201310090000, TS,14.1,130.3,0,nari2013,20
331,2013,NARI,201310090600, TS,14.2,129.5,0,nari2013,20
332,2013,NARI,201310091200, TS,14.5,128.9,35,nari2013,20
333,2013,NARI,201310091800, TS,14.8,128.3,40,nari2013,20
334,2013,NARI,201310100000, TS,15.1,127.8,45,nari2013,20
335,2013,NARI,201310100600, TS,15.3,126.9,50,nari2013,20
336,2013,NARI,201310101200, TS,15.3,126.1,60,nari2013,20
337,2013,NARI,201310101800, TS,15.3,125.4,65,nari2013,20
338,2013,NARI,201310110000, TS,15.3,124.5,70,nari2013,20
339,2013,NARI,201310110600, TS,15.3,123.3,70,nari2013,20
340,2013,NARI,201310111200, TS,15.4,122.4,70,nari2013,20
341,2013,NARI,201310111800, TS,15.5,120.5,65,nari2013,20
342,2013,NARI,201310120000, TS,15.2,119,65,nari2013,20
343,2013,NARI,201310120600, TS,15.2,118.2,70,nari2013,20
344,2013,NARI,201310121200, TS,15,117,70,nari2013,20
345,2013,NARI,201310121800, TS,15.1,115.7,75,nari2013,20
346,2013,NARI,201310130000, TS,15.3,114.7,75,nari2013,20
347,2013,NARI,201310130600, TS,15.3,113.6,75,nari2013,20
348,2013,NARI,201310131200, TS,15.2,112.8,75,nari2013,20
349,2013,NARI,201310131800, TS,15.3,112.1,75,nari2013,20
350,2013,NARI,201310140000, TS,15.5,111.3,75,nari2013,20
351,2013,NARI,201310140600, TS,15.9,110.7,75,nari2013,20
352,2013,NARI,201310141200, TS,16.3,110,70,nari2013,20
353,2013,NARI,201310141800, TS,16,109.2,65,nari2013,20
354,2013,NARI,201310150000, TS,15.5,108.4,50,nari2013,20
355,2013,NARI,201310150600, TS,15.5,107.5,40,nari2013,20
356,2013,NARI,201310151200, TS,15.4,106.4,35,nari2013,20
357,2013,NARI,201310151800, TS,15.4,105.1,0,nari2013,20
358,2013,NARI,201310160000, TS,15.5,104.1,0,nari2013,20
359,2013,NARI,201310160600, TS,15.8,103.3,0,nari2013,20
360,2013,NARI,201310161200, TS,16.5,102.4,0,nari2013,20
361,2013,KROSA,201310271800, TS,12.9,142.3,0,krosa2013,21
362,2013,KROSA,201310280000, TS,13.9,140.5,0,krosa2013,21
363,2013,KROSA,201310280600, TS,14.6,138.8,0,krosa2013,21
364,2013,KROSA,201310281200, TS,15.4,137.2,0,krosa2013,21
365,2013,KROSA,201310281800, TS,15.5,135.7,0,krosa2013,21
366,2013,KROSA,201310290000, TS,15.4,134.5,0,krosa2013,21
367,2013,KROSA,201310290600, TS,15.5,133.4,0,krosa2013,21
368,2013,KROSA,201310291200, TS,15.8,132.4,0,krosa2013,21
369,2013,KROSA,201310291800, TS,16.1,131.1,35,krosa2013,21
370,2013,KROSA,201310300000, TS,16.4,129.8,40,krosa2013,21
371,2013,KROSA,201310300600, TS,16.9,128.4,45,krosa2013,21
372,2013,KROSA,201310301200, TS,17.2,126.8,50,krosa2013,21
373,2013,KROSA,201310301800, TS,17.5,125.4,55,krosa2013,21
374,2013,KROSA,201310310000, TS,17.6,124.2,60,krosa2013,21
375,2013,KROSA,201310310600, TS,18,123.1,65,krosa2013,21
376,2013,KROSA,201310311200, TS,18.3,121.8,70,krosa2013,21
377,2013,KROSA,201310311800, TS,18.5,120.6,70,krosa2013,21
378,2013,KROSA,201311010000, TS,18.9,119.3,70,krosa2013,21
379,2013,KROSA,201311010600, TS,19.1,118.2,70,krosa2013,21
380,2013,KROSA,201311011200, TS,19.4,117.3,70,krosa2013,21
381,2013,KROSA,201311011800, TS,19.4,116.4,75,krosa2013,21
382,2013,KROSA,201311020000, TS,19.6,115.9,75,krosa2013,21
383,2013,KROSA,201311020600, TS,19.9,115.4,75,krosa2013,21
384,2013,KROSA,201311021200, TS,20.1,115,70,krosa2013,21
385,2013,KROSA,201311021800, TS,20.2,114.8,65,krosa2013,21
